osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,bridge,ref,tunnel
568475196,True,5,East 3rd Street,primary,25 mph,yes,False,71.466,"LINESTRING (-84.5075024 39.0993972, -84.5075839 39.0993854, -84.5083164 39.0992788)",,,
"[30735672, 567780625, 567780626, 567780607]",True,"['4', '3', '5']",East 2nd Street,primary,25 mph,yes,False,142.602,"LINESTRING (-84.5121642 39.0979541, -84.5120264 39.097975, -84.5117513 39.098017, -84.511599 39.0980402, -84.5114541 39.0980623, -84.5111293 39.0981119, -84.5106772 39.0981789, -84.5105556 39.0981971, -84.5105421 39.0981989)",,,
"[567780633, 729369990, 495559382, 97913542]",True,4,Vine Street,secondary,25 mph,yes,False,81.7,"LINESTRING (-84.5121642 39.0979541, -84.5121918 39.0980554, -84.5122029 39.0980961, -84.5122836 39.0984017, -84.5123129 39.0985136, -84.5123248 39.098559, -84.5123514 39.0986743)",yes,,
"[567780810, 567780818]",True,"['4', '3']",West 3rd Street,primary,25 mph,yes,False,141.13599999999997,"LINESTRING (-84.5155715 39.0982081, -84.5156901 39.0981901, -84.5162274 39.0981193, -84.5170521 39.0979858, -84.517177 39.097967)",,,
"[567780827, 568905086]",True,4,Elm Street,secondary,25 mph,yes,False,143.86800000000002,"LINESTRING (-84.5155715 39.0982081, -84.5155943 39.0983031, -84.5156483 39.0985264, -84.515727 39.098846, -84.5157567 39.0989498, -84.51577 39.098996, -84.515793 39.0990903, -84.5158645 39.0993837, -84.5158876 39.0994784)",,,
568611976,True,3,Broadway Street,secondary,25 mph,yes,False,13.177,"LINESTRING (-84.507231 39.105325, -84.5072568 39.1054418)",,,
19053448,True,3,East 8th Street,primary,25 mph,,False,63.376999999999995,"LINESTRING (-84.507231 39.105325, -84.5073995 39.1053413, -84.50746 39.105348, -84.5076056 39.1053505, -84.5077701 39.1053264, -84.5079577 39.1053005)",,US 22;SR 3,
"[23047705, 568915467]",True,"['3', '2']",Plum Street,tertiary,25 mph,yes,False,69.111,"LINESTRING (-84.517662 39.099846, -84.5175852 39.0995448, -84.5175303 39.0993295, -84.5175065 39.0992363)",,,
19052377,True,4,West 9th Street,primary,25 mph,,False,142.27599999999998,"LINESTRING (-84.5140414 39.1053787, -84.5141371 39.1053647, -84.514492 39.105312, -84.5147561 39.1052724, -84.515232 39.105201, -84.5153942 39.1051766, -84.5155688 39.1051506, -84.5156605 39.1051366)",,US 22;SR 3,
"[1063099568, 1063099567, 568916711]",True,3,Race Street,tertiary,25 mph,yes,False,84.227,"LINESTRING (-84.5156605 39.1051366, -84.5156568 39.1051232, -84.5156382 39.1050485, -84.5155503 39.104699, -84.5155329 39.1046297, -84.5155034 39.1045127, -84.515486 39.1044438, -84.5154733 39.1043932)",,,
"[568905077, 1051478495]",True,4,West 9th Street,primary,25 mph,,False,141.011,"LINESTRING (-84.5156605 39.1051366, -84.5157725 39.1051194, -84.516122 39.105066, -84.5167495 39.1049686, -84.5168191 39.1049578, -84.5169463 39.1049386, -84.5170577 39.1049218, -84.5171582 39.1049066, -84.5172637 39.1048906)",,US 22;SR 3,
"[208935330, 568905075]",True,4,Elm Street,primary,25 mph,yes,False,102.03,"LINESTRING (-84.5172637 39.1048906, -84.5172809 39.1049597, -84.5173776 39.1053425, -84.5174143 39.1054883, -84.5174463 39.105615, -84.5174529 39.1056413, -84.5174708 39.105712, -84.5174907 39.1057911)",,US 42,
19052869,True,3,West 6th Street,tertiary,25 mph,yes,False,72.345,"LINESTRING (-84.5133015 39.1024379, -84.5134392 39.1024184, -84.5140425 39.1023331, -84.5141263 39.1023212)",,,
"[568804492, 208935645]",True,3,Vine Street,secondary,25 mph,yes,False,141.912,"LINESTRING (-84.5133015 39.1024379, -84.5133327 39.1025619, -84.5134342 39.1029656, -84.5134611 39.1030725, -84.5134755 39.1031299, -84.5135528 39.1034371, -84.5135967 39.1036116, -84.5136166 39.1036905)",,,
"[568869457, 19052869]",True,3,West 6th Street,tertiary,25 mph,yes,False,69.88900000000001,"LINESTRING (-84.5141263 39.1023212, -84.5145889 39.1022558, -84.5148134 39.102224, -84.5149231 39.1022085)",,,
