osmid,oneway,lanes,highway,reversed,length,ref,name,maxspeed,geometry,bridge
534348235,True,1,trunk_link,False,22.175,,,,"LINESTRING (-77.2320904 38.9195938, -77.2322271 38.9194251)",
227892683,True,3,trunk,False,72.982,VA 7,Leesburg Pike,35 mph,"LINESTRING (-77.2320904 38.9195938, -77.2321736 38.9196738, -77.2326135 38.9200019, -77.2326848 38.9200586)",
128825843,True,1,trunk_link,False,100.78899999999999,,,,"LINESTRING (-77.23112 38.917864, -77.2309728 38.9179477, -77.2308938 38.9179827, -77.2308194 38.918006, -77.2307404 38.9180167, -77.2306557 38.9180151, -77.2306431 38.9180131, -77.23057 38.9180016, -77.2304798 38.9179689, -77.2303777 38.9179179, -77.2301041 38.917763)",
535658887,True,2,trunk_link,False,56.59499999999999,,,,"LINESTRING (-77.23112 38.917864, -77.230893 38.918066, -77.2307604 38.9181726, -77.230678 38.918239)",
227892591,True,,trunk_link,False,40.375,,,,"LINESTRING (-77.230678 38.918239, -77.2306466 38.9182822, -77.2306405 38.9183217, -77.2306417 38.9183463, -77.2306544 38.9183895, -77.2306641 38.9184073, -77.2306934 38.9184446, -77.2307998 38.9185596)",
572980990,True,3,trunk,False,72.574,VA 7,Leesburg Pike,35 mph,"LINESTRING (-77.230678 38.918239, -77.2306447 38.9182118, -77.2303354 38.9179589, -77.2301041 38.917763)",
"[136339523, 50534307, 38263374, 468895807]",True,"['4', '2']",primary,False,404.01300000000003,VA 123,Chain Bridge Road,35 mph,"LINESTRING (-77.2319222 38.9186591, -77.2318188 38.9187, -77.2316729 38.9187511, -77.2314618 38.918825, -77.2312832 38.9188815, -77.2310833 38.9189415, -77.2309415 38.9189803, -77.2306405 38.9190522, -77.2304151 38.9190982, -77.2301631 38.9191446, -77.2299124 38.9191844, -77.2296127 38.9192315, -77.2290336 38.9193187, -77.2283862 38.919415, -77.2277588 38.9195228, -77.2274184 38.9195671)",yes
"[468895809, 227895247]",True,"['5', '6']",primary,False,98.22400000000002,VA 123,Chain Bridge Road,35 mph,"LINESTRING (-77.2274184 38.9195671, -77.2269655 38.9196144, -77.226815 38.9196349, -77.2264272 38.9196899, -77.2262979 38.9197082)",
227892589,True,4,trunk,False,45.471,VA 7,Leesburg Pike,35 mph,"LINESTRING (-77.2326629 38.9196537, -77.2322271 38.9194251)",
8800814,True,1,trunk_link,False,299.724,,,,"LINESTRING (-77.2326629 38.9196537, -77.2324529 38.9194839, -77.2324095 38.9194426, -77.2323867 38.9194138, -77.2323599 38.9193691, -77.2323452 38.919335, -77.2323305 38.9192946, -77.2323282 38.9192693, -77.232322 38.9192152, -77.232329 38.9191347, -77.2323479 38.9190574, -77.2323882 38.9189839, -77.2324295 38.918929, -77.2325328 38.9188347, -77.23312 38.918372, -77.233341 38.918204, -77.2335366 38.918057, -77.2341633 38.9176476)",
