osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed,tunnel
620247499,3rd Street,secondary,False,False,108.29400000000001,"LINESTRING (-122.7188391 38.4371628, -122.7185225 38.437311, -122.7178946 38.4376194, -122.7177828 38.4376764)",,,,
7719841,E Street,tertiary,False,False,221.858,"LINESTRING (-122.7084506 38.4387918, -122.7085214 38.4388918, -122.7086817 38.4391155, -122.7090121 38.4395785, -122.7090756 38.4396667, -122.7092496 38.4399087, -122.7096438 38.4404565, -122.7096978 38.4405315)",,,,
31715739,Sonoma Avenue,tertiary,False,True,158.553,"LINESTRING (-122.7084506 38.4387918, -122.7085646 38.4387444, -122.7092388 38.438466, -122.7094991 38.438336, -122.7099632 38.4380134)",,,,
"[7707762, 1248683549, 620247495]",Santa Rosa Avenue,secondary,False,"[False, True]",174.238,"LINESTRING (-122.7134366 38.4396657, -122.7133541 38.4395617, -122.713 38.439111, -122.712955 38.4390528, -122.7129059 38.4389759, -122.7127822 38.4387723, -122.7125638 38.4384115, -122.712552 38.4383797, -122.712521 38.4382792)","['4', '2']",,,
"[473205154, 692098974]",3rd Street,secondary,False,False,163.77,"LINESTRING (-122.7134366 38.4396657, -122.7133239 38.43972, -122.7129924 38.4398642, -122.712886 38.4399118, -122.712495 38.4400942, -122.7124414 38.4401179, -122.712316 38.4401775, -122.7119154 38.4403533, -122.7118076 38.440401)","['4', '2']",,,
620247494,3rd Street,secondary,False,True,165.771,"LINESTRING (-122.7134366 38.4396657, -122.7135646 38.439609, -122.7137912 38.439503, -122.7138824 38.4394602, -122.7139912 38.4394087, -122.7144306 38.4392047, -122.7146928 38.4390807, -122.7149639 38.4389534, -122.7150723 38.4389035)",,,,
7716242,1st Street,residential,False,False,173.729,"LINESTRING (-122.712521 38.4382792, -122.7123884 38.4383102, -122.7121571 38.4383643, -122.7119549 38.4384407, -122.7118322 38.4384959, -122.711295 38.4387375, -122.7112235 38.4387699, -122.7108763 38.438928, -122.7107556 38.4389913)",,,,
"[620247492, 692098982]",Santa Rosa Avenue,secondary,False,False,121.901,"LINESTRING (-122.712521 38.4382792, -122.7124977 38.4381715, -122.7124405 38.4378369, -122.7124077 38.437582, -122.7123979 38.4374994, -122.7123562 38.4371908)",4,,,
"[7707762, 1248683549, 620247495]",Santa Rosa Avenue,secondary,False,"[False, True]",174.238,"LINESTRING (-122.712521 38.4382792, -122.712552 38.4383797, -122.7125638 38.4384115, -122.7127822 38.4387723, -122.7129059 38.4389759, -122.712955 38.4390528, -122.713 38.439111, -122.7133541 38.4395617, -122.7134366 38.4396657)","['4', '2']",,,
620247496,1st Street,residential,False,True,158.608,"LINESTRING (-122.712521 38.4382792, -122.7126821 38.4382323, -122.713243 38.4380749, -122.7137968 38.4379185, -122.7142273 38.4377815)",,,,
