osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,access
19892255,True,1,Rue Stanley,residential,30,False,173.046,"LINESTRING (-73.5772902 45.5011122, -73.5771724 45.5010587, -73.5766042 45.5007834, -73.5762768 45.5006248, -73.5762432 45.5006085, -73.5755846 45.5002895, -73.5755392 45.5002675, -73.5754604 45.5002308)",,,
165257881,False,4,Rue Sherbrooke Ouest,primary,50,False,98.792,"LINESTRING (-73.5772902 45.5011122, -73.5772416 45.5011592, -73.5772256 45.5011753, -73.5768014 45.5016024, -73.5766585 45.5017441, -73.5766356 45.5017699, -73.5765662 45.5018414)",138,,
"[134811809, 111771059]",False,"['4', '2']",Rue Sherbrooke Ouest,primary,50,True,169.496,"LINESTRING (-73.5734869 45.5049654, -73.5735124 45.5049396, -73.5735397 45.504912, -73.5735586 45.5048957, -73.5740776 45.5043638, -73.5745146 45.5039158, -73.5745813 45.5038474, -73.5746588 45.5037719, -73.5747217 45.5037107)",138,,
245655774,True,,Rue University,secondary,30,False,281.734,"LINESTRING (-73.5734869 45.5049654, -73.5735881 45.5050151, -73.5745753 45.5054991, -73.574852 45.5056348, -73.5753799 45.5058936, -73.576387 45.5063874, -73.5764491 45.5064179)",,,
465413249,False,2,Rue Sherbrooke Ouest,primary,50,False,77.828,"LINESTRING (-73.5734869 45.5049654, -73.573431 45.5050203, -73.573411 45.5050409, -73.5732105 45.5052504, -73.5731138 45.505361, -73.5730203 45.5054758, -73.5729673 45.5055615)",138,,
465413236,False,2,Rue Sherbrooke Ouest,primary,50,True,14.6,"LINESTRING (-73.5725463 45.5062475, -73.572618 45.5061262)",138,,
13501273,True,,Rue Aylmer,residential,30,False,264.089,"LINESTRING (-73.5725463 45.5062475, -73.5726766 45.5062983, -73.5736033 45.5067265, -73.5740038 45.5069249, -73.5749642 45.5073978, -73.5752811 45.5075536, -73.5753464 45.5075841)",,8.7,
465585477,False,2,Rue Sherbrooke Ouest,primary,50,False,48.75,"LINESTRING (-73.5725463 45.5062475, -73.5725106 45.506305, -73.5724955 45.5063292, -73.572302 45.5066511)",138,,
329384213,True,2,Rue Sainte-Catherine Ouest,tertiary,40,False,64.701,"LINESTRING (-73.5687475 45.5042528, -73.5683029 45.5047442)",,,
19891896,True,,Rue Aylmer,residential,,False,118.64200000000001,"LINESTRING (-73.5687475 45.5042528, -73.5687908 45.5042865, -73.5688432 45.5043274, -73.5692208 45.5045091, -73.5695252 45.5046556, -73.5697108 45.5047449, -73.5699802 45.5048746)",,,
