osmid,name,highway,oneway,reversed,length,ref,lanes,geometry,maxspeed,access
11503105,Harding Road,residential,False,False,94.093,,,"LINESTRING (-76.6116249 39.1590815, -76.6110551 39.1598032)",,
424994159,Baltimore Annapolis Boulevard,secondary,False,False,9.476,MD 648,,"LINESTRING (-76.6116249 39.1590815, -76.6117282 39.1591106)",,
"[424994161, 424994162]",Baltimore Annapolis Boulevard,secondary,False,True,177.403,MD 648,"['3', '2']","LINESTRING (-76.6116249 39.1590815, -76.6115854 39.1590652, -76.6113956 39.1589869, -76.6113272 39.1589587, -76.611081 39.1588594, -76.6109602 39.1588107, -76.6108476 39.158767, -76.6105646 39.1586578, -76.610347 39.1585536, -76.6103348 39.1585472, -76.6101978 39.1584753, -76.6098428 39.1582889)",,
11503105,Harding Road,residential,False,False,88.142,,,"LINESTRING (-76.6110551 39.1598032, -76.6105609 39.1604971)",,
11503105,Harding Road,residential,False,True,94.093,,,"LINESTRING (-76.6110551 39.1598032, -76.6116249 39.1590815)",,
11503257,Bunch Avenue,residential,False,True,64.183,,,"LINESTRING (-76.6110551 39.1598032, -76.6117042 39.1600858)",,
11503105,Harding Road,residential,False,True,88.142,,,"LINESTRING (-76.6105609 39.1604971, -76.6110551 39.1598032)",,
11515879,Marley Avenue,residential,False,True,61.496,,,"LINESTRING (-76.6105609 39.1604971, -76.6111778 39.1607747)",,
11508396,Kuethe Road,residential,False,False,59.010999999999996,,2,"LINESTRING (-76.6191202 39.1588125, -76.6190089 39.1588988, -76.6188784 39.1591381, -76.6188037 39.1592752)",25 mph,
546445009,5th Avenue Southeast,tertiary,False,True,23.073,,3,"LINESTRING (-76.6186647 39.1582912, -76.6189065 39.1582023)",25 mph,
425186163,Ritchie Highway,primary,True,False,70.021,MD 2,3,"LINESTRING (-76.6186647 39.1582912, -76.6187633 39.1583998, -76.6189853 39.1586566, -76.6191202 39.1588125)",45 mph,
"[546445008, 424993453]",Ritchie Highway,primary,True,False,110.19999999999999,MD 2,"['4', '3']","LINESTRING (-76.6179443 39.1574726, -76.6183366 39.1579184, -76.6185757 39.1581866, -76.6186647 39.1582912)",45 mph,
11503257,Bunch Avenue,residential,False,False,64.183,,,"LINESTRING (-76.6117042 39.1600858, -76.6110551 39.1598032)",,
11518218,Stiemly Avenue,residential,False,True,110.24499999999999,,,"LINESTRING (-76.6101774 39.1632212, -76.6103088 39.1623259, -76.6103477 39.1622407)",,
"[424997568, 424994156]",Baltimore Annapolis Boulevard,secondary,False,True,261.471,MD 648,"['3', '2']","LINESTRING (-76.6205063 39.1621256, -76.6204698 39.162113, -76.619277 39.1617005, -76.6190585 39.161625, -76.6179624 39.1612459, -76.6177381 39.1611652)",30 mph,
