osmid,ref,name,highway,oneway,reversed,length,geometry,tunnel,maxspeed,lanes
111972146,NC 161,South 13th Street,secondary,False,True,26.22,"LINESTRING (-81.286207 35.284621, -81.286265 35.28439)",,,
16549362,NC 161,,secondary_link,True,False,53.010999999999996,"LINESTRING (-81.286207 35.284621, -81.286306 35.284562, -81.286396 35.284527, -81.28653 35.284504, -81.286752 35.284475)",,,
"[111972026, 512717243, 512717237]",NC 161,South 13th Street,secondary,False,False,58.665,"LINESTRING (-81.286207 35.284621, -81.2861949 35.2846691, -81.2861638 35.2847929, -81.286145 35.284868, -81.286067 35.285136)",yes,,
111972189,NC 161,West Pennsylvania Avenue,secondary,False,False,45.203,"LINESTRING (-81.286752 35.284475, -81.286265 35.28439)",,,
16566651,NC 161,West Pennsylvania Avenue,secondary,False,True,177.67299999999997,"LINESTRING (-81.286752 35.284475, -81.2869208 35.2845046, -81.286969 35.284513, -81.287066 35.284525, -81.287315 35.284537, -81.287416 35.284538, -81.287617 35.2845279, -81.287674 35.284525, -81.287882 35.284494, -81.288072 35.284452, -81.288364 35.284359, -81.288478 35.284318, -81.28864 35.28425)",,,
16563729,,East Georgia Avenue,residential,False,True,199.902,"LINESTRING (-81.284669 35.281944, -81.28252 35.281551)",,,
16552327,,West Georgia Avenue,residential,False,False,200.956,"LINESTRING (-81.284669 35.281944, -81.285822 35.28217, -81.286827 35.282347)",,,
16559738,,South 12th Street,residential,False,False,116.64,"LINESTRING (-81.284669 35.281944, -81.284477 35.282649, -81.284396 35.282969)",,,
16559738,,South 12th Street,residential,False,True,116.705,"LINESTRING (-81.284669 35.281944, -81.284693 35.281883, -81.284955 35.280921)",,,
16552327,,West Georgia Avenue,residential,False,True,200.956,"LINESTRING (-81.286827 35.282347, -81.285822 35.28217, -81.284669 35.281944)",,,
16560253,,South 13th Street,residential,False,False,116.431,"LINESTRING (-81.286827 35.282347, -81.28668 35.282898, -81.286548 35.283369)",,,
16560253,,South 13th Street,residential,False,True,120.988,"LINESTRING (-81.286827 35.282347, -81.286907 35.282075, -81.287111 35.281284)",,,
16555844,,South 14th Street,tertiary,False,True,52.765,"LINESTRING (-81.28864 35.28425, -81.288624 35.284209, -81.288622 35.284133, -81.288641 35.284015, -81.2886852 35.283832, -81.288697 35.283783)",,35 mph,
16566651,NC 161,West Pennsylvania Avenue,secondary,False,False,177.67299999999997,"LINESTRING (-81.28864 35.28425, -81.288478 35.284318, -81.288364 35.284359, -81.288072 35.284452, -81.287882 35.284494, -81.287674 35.284525, -81.287617 35.2845279, -81.287416 35.284538, -81.287315 35.284537, -81.287066 35.284525, -81.286969 35.284513, -81.2869208 35.2845046, -81.286752 35.284475)",,,
16555844,,South 14th Street,tertiary,False,False,263.144,"LINESTRING (-81.289332 35.281474, -81.289048 35.282506, -81.2888797 35.283125, -81.288728 35.283683, -81.2887104 35.2837397, -81.288697 35.283783)",,35 mph,
16572219,,Park Terrace Drive,residential,False,False,43.748999999999995,"LINESTRING (-81.289332 35.281474, -81.289147 35.281444, -81.288868 35.28137)",,,
16555844,,South 14th Street,tertiary,False,False,52.765,"LINESTRING (-81.288697 35.283783, -81.2886852 35.283832, -81.288641 35.284015, -81.288622 35.284133, -81.288624 35.284209, -81.28864 35.28425)",,35 mph,
16555844,,South 14th Street,tertiary,False,True,263.144,"LINESTRING (-81.288697 35.283783, -81.2887104 35.2837397, -81.288728 35.283683, -81.2888797 35.283125, -81.289048 35.282506, -81.289332 35.281474)",,35 mph,
16562478,1307,West Alabama Avenue,secondary,False,True,122.16900000000001,"LINESTRING (-81.288697 35.283783, -81.2878932 35.2836238, -81.287434 35.2835329, -81.287389 35.283524)",,,
16562014,NC 274,West Virginia Avenue,secondary,False,True,200.235,"LINESTRING (-81.288217 35.285539, -81.286211 35.285159, -81.286067 35.285136)",,,
16571916,NC 274,North 14th Street,secondary,False,False,115.67,"LINESTRING (-81.288217 35.285539, -81.2881923 35.285629, -81.287938 35.286554)",,35 mph,
16571370,,North 12th Street,residential,False,True,116.183,"LINESTRING (-81.28278 35.288811, -81.283063 35.287792)",,35 mph,
16557992,,West Lee Avenue,residential,False,False,201.848,"LINESTRING (-81.28278 35.288811, -81.282863 35.288817, -81.283068 35.288864, -81.283724 35.28899, -81.284197 35.289069, -81.284872 35.289199, -81.284945 35.28922)",,,
16559407,,East Lee Avenue,residential,False,False,93.5,"LINESTRING (-81.28278 35.288811, -81.282215 35.288713, -81.28193 35.288656, -81.281852 35.288646, -81.281772 35.288642)",,,
16557992,,West Lee Avenue,residential,False,True,201.84799999999998,"LINESTRING (-81.284945 35.28922, -81.284872 35.289199, -81.284197 35.289069, -81.283724 35.28899, -81.283068 35.288864, -81.282863 35.288817, -81.28278 35.288811)",,,
16571645,,North 13th Street,residential,False,True,117.927,"LINESTRING (-81.284945 35.28922, -81.284959 35.289154, -81.285027 35.28894, -81.285117 35.288582, -81.285227 35.288185)",,,
16558537,,South 10th Street,residential,False,False,116.253,"LINESTRING (-81.280358 35.281154, -81.280142 35.281949, -81.280072 35.282173)",,,
