osmid,name,highway,oneway,reversed,length,geometry,ref,tunnel,bridge,lanes,maxspeed
16270212,Vine Street,residential,False,False,25.767,"LINESTRING (-83.710034 37.574083, -83.710306 37.574168)",,,,,
16268231,Walnut Street,residential,False,False,81.72,"LINESTRING (-83.710034 37.574083, -83.710105 37.574008, -83.710155 37.573919, -83.710482 37.573441)",,,,,
"[16270212, 16269262]","['Vine Street', 'Center Street']","['residential', 'unclassified']",False,True,134.364,"LINESTRING (-83.710034 37.574083, -83.709845 37.574044, -83.709676 37.573975, -83.709511 37.57389, -83.7097708 37.573466, -83.70993 37.573221)",,,,,
16269110,Main Street,tertiary,False,False,50.763,"LINESTRING (-83.710482 37.573441, -83.711001 37.573639)",KY 52,,,,
16269110,Main Street,tertiary,False,True,54.452,"LINESTRING (-83.710482 37.573441, -83.70993 37.573221)",KY 52,,,,
16268231,Walnut Street,residential,False,True,81.72,"LINESTRING (-83.710482 37.573441, -83.710155 37.573919, -83.710105 37.574008, -83.710034 37.574083)",,,,,
"[16269586, 436940956, 436940957]",Elm Street,residential,False,False,98.896,"LINESTRING (-83.7105417 37.5744404, -83.7105489 37.5744135, -83.7105755 37.5743144, -83.7105873 37.5742703, -83.7107222 37.5741314, -83.71082 37.573931, -83.711001 37.573639)",,yes,,,
16269238,East Center Street,residential,False,True,61.609,"LINESTRING (-83.701546 37.573439, -83.701659 37.57335, -83.702004 37.573021)",,,,,
16269110,Main Street,tertiary,False,True,50.763,"LINESTRING (-83.711001 37.573639, -83.710482 37.573441)",KY 52,,,,
16268966,River Drive,residential,False,False,184.78,"LINESTRING (-83.711001 37.573639, -83.711158 37.573417, -83.711348 37.573146, -83.711414 37.572873, -83.71139 37.572803, -83.71135 37.572735, -83.711237 37.572612, -83.711115 37.572509, -83.71079 37.572232)",,,,,
16269110,Main Street,tertiary,False,False,54.495000000000005,"LINESTRING (-83.711001 37.573639, -83.711285 37.573755, -83.711356 37.573786, -83.711387 37.573807, -83.711457 37.57385, -83.711519 37.5739)",KY 52,,,,
"[16269586, 436940956, 436940957]",Elm Street,residential,False,True,98.89600000000002,"LINESTRING (-83.711001 37.573639, -83.71082 37.573931, -83.7107222 37.5741314, -83.7105873 37.5742703, -83.7105755 37.5743144, -83.7105489 37.5744135, -83.7105417 37.5744404)",,yes,,,
16268966,River Drive,residential,False,False,45.855,"LINESTRING (-83.71079 37.572232, -83.710433 37.571932)",,,,,
16268966,River Drive,residential,False,True,184.78,"LINESTRING (-83.71079 37.572232, -83.711115 37.572509, -83.711237 37.572612, -83.71135 37.572735, -83.71139 37.572803, -83.711414 37.572873, -83.711348 37.573146, -83.711158 37.573417, -83.711001 37.573639)",,,,,
16269262,Center Street,unclassified,False,False,134.33599999999998,"LINESTRING (-83.71079 37.572232, -83.710654 37.572329, -83.710491 37.572492, -83.71009 37.573051, -83.70993 37.573221)",,,,,
16268966,River Drive,residential,False,True,45.855,"LINESTRING (-83.710433 37.571932, -83.71079 37.572232)",,,,,
16268966,River Drive,residential,False,False,65.962,"LINESTRING (-83.710433 37.571932, -83.710254 37.571771, -83.71015 37.571678, -83.709947 37.571481)",,,,,
16269853,Locust Street,residential,False,False,150.411,"LINESTRING (-83.710433 37.571932, -83.710351 37.571987, -83.710248 37.572072, -83.710125 37.572173, -83.709926 37.572377, -83.709599 37.572795, -83.709452 37.573027)",,,,,
