osmid,lanes,ref,name,highway,width,oneway,reversed,length,maxspeed,geometry,bridge
1024671387,2,MA 28,Broadway,primary,20.1,False,True,7.263,,"LINESTRING (-71.187871 42.728106, -71.1878151 42.7280552)",
9070486,2,MA 28,Broadway,primary,,False,False,108.904,30 mph,"LINESTRING (-71.187871 42.728106, -71.187948 42.728175, -71.188003 42.728229, -71.188434 42.72865, -71.188656 42.728897)",
9071694,1,MA 113,Hampshire Street,primary,15.2,True,False,51.269999999999996,,"LINESTRING (-71.187871 42.728106, -71.187975 42.728014, -71.188047 42.727976, -71.188191 42.727926, -71.188401 42.727886)",
9071943,2,,Park Street,secondary,13.7,True,False,51.303,,"LINESTRING (-71.185145 42.725446, -71.1849965 42.7258943)",
271045582,2,MA 28,Broadway,primary,20.1,False,False,29.244,,"LINESTRING (-71.185145 42.725446, -71.1853342 42.7256379, -71.185355 42.725659)",
847866764,2,,Railroad Street,secondary,12.2,False,True,34.817,,"LINESTRING (-71.188907 42.724358, -71.1886244 42.7241236)",
9072234,2,,Railroad Street,secondary,18.3,False,False,271.772,,"LINESTRING (-71.188907 42.724358, -71.189304 42.724667, -71.190706 42.725818, -71.191032 42.726052, -71.1911678 42.72615)",
9072502,2,,Union Street,tertiary,15.2,False,True,273.416,,"LINESTRING (-71.188907 42.724358, -71.189153 42.724386, -71.189709 42.724444, -71.190029 42.724497, -71.190437 42.724575, -71.190928 42.724693, -71.191146 42.72475, -71.191608 42.724928, -71.191799 42.725005, -71.191913 42.725062, -71.192008 42.725158)",
"[9071768, 9072141]",2,,"['School Street', 'Edgewood Avenue']",residential,12.2,False,True,282.78900000000004,,"LINESTRING (-71.194864 42.7232579, -71.1967098 42.7240787, -71.1967523 42.724085, -71.1968002 42.7240796, -71.1968365 42.7240549, -71.1968539 42.7240283, -71.1968551 42.7240041, -71.1966405 42.7232192)",
"[9070738, 9072595]",2,,Orchard Street,residential,12.2,False,False,142.702,,"LINESTRING (-71.194864 42.7232579, -71.1950523 42.7238035, -71.1953123 42.7244982)",
9072595,2,,Orchard Street,residential,12.2,False,True,94.881,,"LINESTRING (-71.194864 42.7232579, -71.1948339 42.7231862, -71.1947976 42.7231175, -71.1947516 42.7230665, -71.1946258 42.7230032, -71.194029 42.722703)",
9070486,2,MA 28,Broadway,primary,,False,True,207.899,30 mph,"LINESTRING (-71.1899955 42.7306785, -71.189496 42.72993, -71.1892983 42.7296689, -71.189072 42.72937, -71.188793 42.72905, -71.188782 42.729037)",
"[625182997, 9071215]","['3', '2']",,Hampshire Street,secondary,,False,True,142.204,,"LINESTRING (-71.1899955 42.7306785, -71.190139 42.73054, -71.1902779 42.7304156, -71.1903854 42.7303158, -71.1903316 42.7300074, -71.190324 42.729964, -71.190254 42.72952, -71.190253 42.729505)",
271045582,2,MA 28,Broadway,primary,20.1,False,False,111.79599999999998,,"LINESTRING (-71.185355 42.725659, -71.1854931 42.7257993, -71.1856724 42.7259815, -71.1857744 42.7260851, -71.1858848 42.7261973, -71.185916 42.726229, -71.1861493 42.7264585, -71.186162 42.726471)",
271045582,2,MA 28,Broadway,primary,20.1,False,True,29.244,,"LINESTRING (-71.185355 42.725659, -71.1853342 42.7256379, -71.185145 42.725446)",
9072602,2,MA 113,Lowell Street,primary,15.2,False,False,32.656,,"LINESTRING (-71.194605 42.721984, -71.194402 42.722237)",
9072332,2,,Gleason Street,residential,11.6,False,True,99.831,,"LINESTRING (-71.186162 42.726471, -71.187178 42.725972)",
271045582,2,MA 28,Broadway,primary,20.1,False,False,35.256,,"LINESTRING (-71.186162 42.726471, -71.1864234 42.7267233)",
