osmid,lanes,ref,name,highway,oneway,reversed,length,width,geometry
24076137,4,IL 83,South Main Street,primary,False,True,8.329,,"LINESTRING (-87.9367731 42.0630361, -87.9367721 42.0629612)"
457829076,1,,West Prospect Avenue,tertiary,True,False,128.838,"18'8""","LINESTRING (-87.9367731 42.0630361, -87.936911 42.0630991, -87.9381024 42.0636432)"
"[602327979, 428517838]","['4', '5']",IL 83,South Main Street,primary,False,False,68.051,,"LINESTRING (-87.9367731 42.0630361, -87.9367696 42.0631479, -87.9367672 42.0632262, -87.9367659 42.0632681, -87.9367642 42.0633214, -87.9367635 42.06344, -87.9367622 42.0635357, -87.9367598 42.063648)"
1151663769,,,South Emerson Street,residential,False,False,8.129,,"LINESTRING (-87.9353637 42.0624224, -87.9353627 42.0623493)"
1039983253,1,,East Prospect Avenue,tertiary,True,False,134.886,,"LINESTRING (-87.9353637 42.0624224, -87.9354798 42.0624711, -87.9366554 42.0629847, -87.9367731 42.0630361)"
1151663769,,,South Emerson Street,residential,False,True,68.589,,"LINESTRING (-87.9353637 42.0624224, -87.9353647 42.0625012, -87.9353651 42.0625282, -87.9353648 42.0626096, -87.9353667 42.0626547, -87.9353686 42.0628042, -87.935369 42.0628361, -87.9353703 42.0629291, -87.9353717 42.0630392)"
24072644,,,North Maple Street,residential,False,False,201.775,,"LINESTRING (-87.9340198 42.0662636, -87.9340194 42.0663484, -87.9340122 42.0679981, -87.9340119 42.0680782)"
24102152,2,,South Maple Street,residential,False,False,195.833,,"LINESTRING (-87.9340198 42.0662636, -87.934019 42.0661823, -87.9340029 42.0645833, -87.9340006 42.0645025)"
428527744,4,,East Central Road,secondary,False,False,115.601,,"LINESTRING (-87.9340198 42.0662636, -87.9339072 42.0662632, -87.9327336 42.0662593, -87.9326194 42.0662589)"
"[428527744, 435828123]","['4', '5']",,East Central Road,secondary,False,True,61.49100000000001,,"LINESTRING (-87.9340198 42.0662636, -87.9341269 42.066264, -87.9347153 42.0662659, -87.9347647 42.0662661)"
