osmid,highway,oneway,reversed,length,name,geometry,ref,maxspeed,junction
21383709,residential,False,False,46.761,,"LINESTRING (-81.446473 41.100698, -81.447031 41.100692)",,,
21394189,residential,False,True,161.245,Baron Court,"LINESTRING (-81.446473 41.100698, -81.4462102 41.1006751, -81.4458639 41.100672, -81.4457634 41.1006711, -81.44554 41.1006691, -81.4452483 41.1006665, -81.4449271 41.1006616, -81.444826 41.10066, -81.444551 41.100672)",,,
21411953,residential,False,True,91.217,Sperry Avenue,"LINESTRING (-81.446473 41.100698, -81.446468 41.100929, -81.446462 41.1010502, -81.4464423 41.1014497, -81.4464389 41.1015179)",,,
21383709,residential,False,True,46.761,,"LINESTRING (-81.447031 41.100692, -81.446473 41.100698)",,,
275634258,primary,True,False,42.766,Northeast Avenue,"LINESTRING (-81.440134 41.102001, -81.4403418 41.1019151, -81.4403813 41.1019025, -81.4404298 41.1018935, -81.4404841 41.1018891, -81.4405484 41.101892, -81.440609 41.1019)",SR 261,,
275634259,primary,False,False,339.70000000000005,Northeast Avenue,"LINESTRING (-81.440134 41.102001, -81.4401007 41.1020222, -81.4398047 41.1022105, -81.4397093 41.1022712, -81.4394571 41.1024317, -81.4391361 41.1026359, -81.4385798 41.1029898, -81.4380504 41.1033267, -81.4376967 41.1035517, -81.437463 41.1037004, -81.4370363 41.1039719)",SR 261,25 mph,
21430781,residential,False,False,169.339,Highland Drive,"LINESTRING (-81.4370363 41.1039719, -81.437215 41.104129, -81.437398 41.10428, -81.43752 41.104359, -81.437765 41.104478, -81.437824 41.104521, -81.437859 41.104583, -81.437873 41.10463, -81.437877 41.104677, -81.437859 41.105223)",,,
275634259,primary,False,True,339.70000000000005,Northeast Avenue,"LINESTRING (-81.4370363 41.1039719, -81.437463 41.1037004, -81.4376967 41.1035517, -81.4380504 41.1033267, -81.4385798 41.1029898, -81.4391361 41.1026359, -81.4394571 41.1024317, -81.4397093 41.1022712, -81.4398047 41.1022105, -81.4401007 41.1020222, -81.440134 41.102001)",SR 261,25 mph,
21394189,residential,False,False,161.245,Baron Court,"LINESTRING (-81.444551 41.100672, -81.444826 41.10066, -81.4449271 41.1006616, -81.4452483 41.1006665, -81.44554 41.1006691, -81.4457634 41.1006711, -81.4458639 41.100672, -81.4462102 41.1006751, -81.446473 41.100698)",,,
21400309,residential,False,False,112.44500000000002,Wright Road,"LINESTRING (-81.444551 41.100672, -81.444512 41.100445, -81.444471 41.100304, -81.444371 41.100117, -81.444259 41.099969, -81.4442085 41.0999135, -81.444169 41.09987, -81.4441424 41.0998465, -81.4440447 41.099758)",,,
21400309,residential,False,True,90.27499999999999,Wright Road,"LINESTRING (-81.444551 41.100672, -81.444541 41.100865, -81.4445397 41.100916, -81.4445357 41.1010704, -81.4445304 41.1012761, -81.4445251 41.1014836)",,,
21400309,residential,False,False,90.275,Wright Road,"LINESTRING (-81.4445251 41.1014836, -81.4445304 41.1012761, -81.4445357 41.1010704, -81.4445397 41.100916, -81.444541 41.100865, -81.444551 41.100672)",,,
275634030,primary,False,False,128.32899999999998,West Avenue,"LINESTRING (-81.4445251 41.1014836, -81.4434337 41.1014641, -81.4432076 41.10146, -81.442994 41.1014562)",SR 261,25 mph,
521801363,primary,False,True,160.405,West Avenue,"LINESTRING (-81.4445251 41.1014836, -81.4448718 41.10149, -81.4451511 41.1014952, -81.4452687 41.1014974, -81.445422 41.1015003, -81.4455416 41.1015025, -81.4460646 41.1015122, -81.4463006 41.1015166, -81.4464389 41.1015179)",SR 261,35 mph,
21400309,residential,False,True,112.44500000000001,Wright Road,"LINESTRING (-81.4440447 41.099758, -81.4441424 41.0998465, -81.444169 41.09987, -81.4442085 41.0999135, -81.444259 41.099969, -81.444371 41.100117, -81.444471 41.100304, -81.444512 41.100445, -81.444551 41.100672)",,,
