osmid,highway,oneway,reversed,length,name,geometry,maxspeed,lanes
10751154,secondary,False,False,203.25599999999997,Olivehurst Avenue,"LINESTRING (-121.5515245 39.0979917, -121.5515231 39.0980754, -121.5515207 39.0981653, -121.5514902 39.0993935, -121.5514869 39.0995276, -121.5514835 39.0997497, -121.5514782 39.0998192)",,2
10751154,secondary,False,True,302.324,Olivehurst Avenue,"LINESTRING (-121.5515245 39.0979917, -121.551526 39.0979191, -121.5515302 39.0978432, -121.5515363 39.0976678, -121.5515388 39.0976188, -121.5515408 39.0975558, -121.5515575 39.0971237, -121.551563 39.0969396, -121.5515714 39.0966513, -121.5515855 39.0961831, -121.5516047 39.0955361, -121.5516104 39.0953883, -121.5516123 39.0953465, -121.5516155 39.0952738)",,2
10750792,residential,False,False,201.48600000000002,Fleming Way,"LINESTRING (-121.5470297 39.0915473, -121.5470275 39.0916006, -121.5469559 39.0933584)",,
10751338,residential,False,False,205.49200000000002,9th Avenue,"LINESTRING (-121.5470297 39.0915473, -121.548377 39.0915773, -121.5494098 39.0915995)",,
10750792,residential,False,False,102.222,Fleming Way,"LINESTRING (-121.5469559 39.0933584, -121.5469402 39.0938335, -121.5469256 39.0942774)",,
10750792,residential,False,True,201.48600000000002,Fleming Way,"LINESTRING (-121.5469559 39.0933584, -121.5470275 39.0916006, -121.5470297 39.0915473)",,
10750807,residential,False,True,408.33099999999996,8th Avenue,"LINESTRING (-121.5469559 39.0933584, -121.5482735 39.0933883, -121.5488043 39.0933992, -121.5495651 39.093414, -121.5500791 39.0934287, -121.5504986 39.0934378, -121.5507012 39.0934466, -121.550858 39.093447, -121.5515602 39.0934533, -121.5515967 39.0934546, -121.5516854 39.0934579)",,
10750792,residential,False,False,99.466,Fleming Way,"LINESTRING (-121.5469256 39.0942774, -121.5468949 39.0951716)",,
10750792,residential,False,True,102.222,Fleming Way,"LINESTRING (-121.5469256 39.0942774, -121.5469402 39.0938335, -121.5469559 39.0933584)",,
10750792,residential,False,True,99.466,Fleming Way,"LINESTRING (-121.5468949 39.0951716, -121.5469256 39.0942774)",,
10751116,residential,False,True,407.606,7th Avenue,"LINESTRING (-121.5468949 39.0951716, -121.5478328 39.0951903, -121.5481154 39.0952012, -121.5485621 39.0952134, -121.5487166 39.0952177, -121.548874 39.0952308, -121.5489941 39.0952313, -121.5492573 39.0952323, -121.5497438 39.0952399, -121.5507398 39.0952616, -121.5514413 39.0952685, -121.5514891 39.09527, -121.5516155 39.0952738)",25 mph,
10750807,residential,False,False,29.303,8th Avenue,"LINESTRING (-121.5573656 39.0935695, -121.5570261 39.093574)",,
10750807,residential,False,False,393.57,8th Avenue,"LINESTRING (-121.5562442 39.0935518, -121.5561769 39.0935505, -121.5549909 39.0935293, -121.5537324 39.0935068, -121.5518465 39.0934639, -121.5517923 39.0934619, -121.5516854 39.0934579)",,
10750807,residential,False,True,67.524,8th Avenue,"LINESTRING (-121.5562442 39.0935518, -121.5563386 39.0935543, -121.5570261 39.093574)",,
10751659,residential,False,False,203.497,Western Avenue,"LINESTRING (-121.5562442 39.0935518, -121.55622 39.0942771, -121.5561861 39.0952934, -121.5562182 39.0953777)",,
10751659,residential,False,True,200.82,Western Avenue,"LINESTRING (-121.5562442 39.0935518, -121.5562849 39.0926832, -121.5562856 39.0926685, -121.5562906 39.091803, -121.5562925 39.0917464)",,
10750807,residential,False,False,408.33099999999996,8th Avenue,"LINESTRING (-121.5516854 39.0934579, -121.5515967 39.0934546, -121.5515602 39.0934533, -121.550858 39.093447, -121.5507012 39.0934466, -121.5504986 39.0934378, -121.5500791 39.0934287, -121.5495651 39.093414, -121.5488043 39.0933992, -121.5482735 39.0933883, -121.5469559 39.0933584)",,
