osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,bridge
713547440,Harper Street,residential,False,False,65.994,"LINESTRING (-101.795425 33.165695, -101.796134 33.1656953)",,,
718766397,Avenue H,residential,False,True,62.17,"LINESTRING (-101.795425 33.165695, -101.795412 33.165136)",,,
"[713547440, 21087363]","['Harper Street', 'Kington Street']",residential,False,True,124.048,"LINESTRING (-101.795425 33.165695, -101.795107 33.1656939, -101.7947666 33.1656937, -101.7947747 33.1651293)",,,
718766397,Avenue H,residential,False,False,83.586,"LINESTRING (-101.795425 33.165695, -101.7954218 33.1660983, -101.7954223 33.1664467)",,,
21090721,Main Street,secondary,False,False,83.108,"LINESTRING (-101.796134 33.1656953, -101.7961291 33.1664427)",Loop 472,,
21090721,Main Street,secondary,False,True,58.212,"LINESTRING (-101.796134 33.1656953, -101.7961375 33.1651718)",Loop 472,,
713547440,Harper Street,residential,False,False,65.948,"LINESTRING (-101.796134 33.1656953, -101.7968425 33.1656949)",,,
713547440,Harper Street,residential,False,True,65.994,"LINESTRING (-101.796134 33.1656953, -101.795425 33.165695)",,,
45903625,Avenue J,residential,False,False,83.908,"LINESTRING (-101.7968425 33.1656949, -101.7968397 33.1664495)",,,
45903625,Avenue J,residential,False,True,57.256,"LINESTRING (-101.7968425 33.1656949, -101.7968466 33.16518)",,,
713547440,Harper Street,residential,False,False,59.907,"LINESTRING (-101.7968425 33.1656949, -101.7974861 33.1656933)",,,
713547440,Harper Street,residential,False,True,65.948,"LINESTRING (-101.7968425 33.1656949, -101.796134 33.1656953)",,,
21091338,Conway Street,residential,False,True,61.247,"LINESTRING (-101.7974861 33.1656933, -101.797484 33.1651425)",,,
713547440,Harper Street,residential,False,True,59.907,"LINESTRING (-101.7974861 33.1656933, -101.7968425 33.1656949)",,,
21091338,Conway Street,residential,False,False,83.96100000000001,"LINESTRING (-101.7974861 33.1656933, -101.7974871 33.16575, -101.7974993 33.1664483)",,,
21087402,Black Street,residential,False,False,131.094,"LINESTRING (-101.7954399 33.1635232, -101.7968481 33.163541)",,,
21090718,Avenue H,residential,False,False,63.515,"LINESTRING (-101.7954399 33.1635232, -101.7954268 33.1640943)",,,
21090718,Avenue H,residential,False,True,83.753,"LINESTRING (-101.7954399 33.1635232, -101.7954355 33.16277)",,,
21087402,Black Street,residential,False,False,59.964,"LINESTRING (-101.7968481 33.163541, -101.7974923 33.1635409)",,,
21087402,Black Street,residential,False,True,131.094,"LINESTRING (-101.7968481 33.163541, -101.7954399 33.1635232)",,,
21090799,Avenue J,secondary,False,False,56.96,"LINESTRING (-101.7968481 33.163541, -101.7968394 33.1640532)",Loop 472,,
