osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,junction,width
133453450,A64,Westborough,trunk,False,False,44.629,"LINESTRING (-0.4052888 54.2804508, -0.4054145 54.2803759, -0.4055109 54.2803184, -0.4057735 54.2801662)",30 mph,,,
5202327,B1364,Victoria Road,secondary,True,False,60.013,"LINESTRING (-0.4076502 54.2804372, -0.4075398 54.2805149, -0.4072824 54.2807133, -0.407083 54.2808633)",,,,
27712169,,Hanover Road,residential,False,True,115.044,"LINESTRING (-0.407083 54.2808633, -0.4057735 54.2801662)",,,,
5202327,B1364,Victoria Road,secondary,True,False,48.515,"LINESTRING (-0.407083 54.2808633, -0.4069392 54.2809713, -0.4068093 54.2810987, -0.4067638 54.2811433, -0.4066749 54.281228)",,,,
1181709021,B1364,Victoria Road,secondary,True,False,7.41,"LINESTRING (-0.4066749 54.281228, -0.4066184 54.2812859)",,,,
1181709017,A165,Northway,primary,True,False,95.376,"LINESTRING (-0.4066749 54.281228, -0.4068215 54.2812918, -0.407216 54.2814517, -0.4078969 54.2817036)",30 mph,,,
5408292,,New Queen Street,residential,False,True,62.760000000000005,"LINESTRING (-0.3999061 54.2857296, -0.3999969 54.2858221, -0.4000934 54.2859411, -0.4001042 54.2860663, -0.4001256 54.2862667)",,,,
66000462,,Queen Street,residential,True,False,66.34400000000001,"LINESTRING (-0.3999061 54.2857296, -0.3997403 54.2855739, -0.399642 54.2853381, -0.3995736 54.2851722)",,,,
300903978,,Castle Road,residential,False,False,73.19,"LINESTRING (-0.3999061 54.2857296, -0.3993402 54.2858948, -0.3992557 54.2859195, -0.3988976 54.286024)",,,,
300903978,,Castle Road,residential,False,True,52.553999999999995,"LINESTRING (-0.3999061 54.2857296, -0.4000861 54.2856882, -0.4004391 54.2855992, -0.400644 54.2855361)",,,,
66000462,,Queen Street,residential,True,False,49.103,"LINESTRING (-0.3995736 54.2851722, -0.3993775 54.2847457)",,,,
63614462,,Marias Court,residential,False,True,46.451,"LINESTRING (-0.3995736 54.2851722, -0.4000512 54.2851079, -0.4002709 54.2850783)",,,,
63614470,,Market Street,residential,False,False,87.7,"LINESTRING (-0.3982902 54.2834663, -0.3970342 54.2837569)",,,,
66000462,,Queen Street,residential,True,False,50.999,"LINESTRING (-0.3982902 54.2834663, -0.3979642 54.283049)",,,,
5202343,,Newborough,residential,True,False,86.729,"LINESTRING (-0.3979642 54.283049, -0.3985362 54.282908, -0.3988011 54.2828361, -0.3990483 54.2827733, -0.3991831 54.2827305)",,,,
65100369,,King Street,residential,False,False,118.73099999999998,"LINESTRING (-0.3979642 54.283049, -0.3977601 54.2827516, -0.3976794 54.2826341, -0.39754 54.2823022, -0.3975212 54.2822333, -0.3974765 54.2820691, -0.3974649 54.2820266)",,,,
185589583,,Newborough,residential,False,False,88.369,"LINESTRING (-0.3979642 54.283049, -0.3973797 54.2831805, -0.3966768 54.2833058)",,,,
63615330,,Globe Street,residential,False,True,62.406,"LINESTRING (-0.3950674 54.2835438, -0.3954475 54.2840593)",,,,
65100380,,Eastborough,residential,False,False,12.689,"LINESTRING (-0.3950674 54.2835438, -0.3948819 54.2835798)",,,,
65100380,,Eastborough,residential,False,True,50.084,"LINESTRING (-0.3950674 54.2835438, -0.3958141 54.2834304)",,,,
37962668,,,tertiary,True,False,6.946,"LINESTRING (-0.3977806 54.2792876, -0.3978086 54.2792496, -0.397828 54.2792318)",,,roundabout,
5215656,,,unclassified,True,False,27.766000000000002,"LINESTRING (-0.397828 54.2792318, -0.3978189 54.2791723, -0.3978387 54.2791057, -0.3978445 54.279066, -0.3978849 54.2789869)",,,,
363046530,,,tertiary,True,False,10.95,"LINESTRING (-0.397828 54.2792318, -0.3979153 54.2792149, -0.3979891 54.2792027)",,,roundabout,
67808918,,,tertiary,True,False,92.403,"LINESTRING (-0.3981659 54.279243, -0.3983786 54.2792018, -0.3985387 54.2791493, -0.3988343 54.2790349, -0.3990659 54.2789452, -0.3992708 54.2788613, -0.3993329 54.2787928)",,,,
1086221377,,,tertiary,True,False,16.763,"LINESTRING (-0.3981659 54.279243, -0.3981978 54.2792695, -0.398228 54.2793093, -0.3982271 54.2793397, -0.3982144 54.2793835)",,,roundabout,
"[1185203254, 1086221375]",,,tertiary,True,False,9.036999999999999,"LINESTRING (-0.399548 54.2789576, -0.3994738 54.2789477, -0.3994138 54.2789363)",,,roundabout,
5202391,,,tertiary,True,False,92.806,"LINESTRING (-0.3994138 54.2789363, -0.3993957 54.2789367, -0.3993135 54.2789654, -0.3990878 54.2790469, -0.3989241 54.2791099, -0.3986283 54.2792237, -0.3984153 54.2792978, -0.3982786 54.2793421, -0.3982144 54.2793835)",,,,
1086221374,,,tertiary,True,False,17.264,"LINESTRING (-0.3994138 54.2789363, -0.3993752 54.2789039, -0.3993495 54.2788782, -0.3993378 54.2788345, -0.3993329 54.2787928)",,,roundabout,
1086221378,,,tertiary,True,False,19.223,"LINESTRING (-0.3993329 54.2787928, -0.3993955 54.2787442, -0.3994461 54.2787158, -0.3995059 54.2787002, -0.3995618 54.2786965)",,,roundabout,
5202352,,,tertiary,True,False,11.758,"LINESTRING (-0.3995618 54.2786965, -0.3996171 54.2787022, -0.3996739 54.2787195, -0.3997165 54.2787449)",,,roundabout,
5202352,,,tertiary,True,False,15.863,"LINESTRING (-0.3997165 54.2787449, -0.3997432 54.2787759, -0.3997722 54.278811, -0.3997595 54.2788796)",,,roundabout,
5202376,,Vernon Road,residential,True,False,23.682,"LINESTRING (-0.3997595 54.2788796, -0.3997293 54.2789394, -0.3997167 54.2790493, -0.3997121 54.2790897)",,,,
