osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,junction,access,width
787988270,2,Avenue Lazare Carnot,tertiary,False,False,71.924,"LINESTRING (5.9245216 43.1284696, 5.9245605 43.1283987, 5.9245723 43.1283766, 5.9245907 43.1283383, 5.9246358 43.1282487, 5.9247862 43.1279315, 5.9248207 43.1278608)",,,,,
787988271,2,Avenue des Dardanelles,primary,True,False,84.791,"LINESTRING (5.9245216 43.1284696, 5.9246405 43.1285084, 5.9254411 43.1288311)",,,,,
"[588683374, 26830679]",,Rue Sergent Marius Varence,residential,True,False,68.478,"LINESTRING (5.9254411 43.1288311, 5.9254624 43.128811, 5.9254862 43.1287981, 5.9255882 43.1287744, 5.9261236 43.1287058, 5.9262469 43.1286788)",,,,,
302260646,2,Avenue des Dardanelles,primary,True,False,80.76,"LINESTRING (5.9254411 43.1288311, 5.9261262 43.1291113, 5.9261535 43.129123, 5.9263115 43.1291831)",,,,,
4520714,,Boulevard du Commandant Nicolas,primary,False,True,19.728,"LINESTRING (5.9268431 43.1299462, 5.9269281 43.1299171, 5.9270627 43.1298701)",,,,,
30833633,,Avenue Émile Vincent,tertiary,False,False,7.566000000000001,"LINESTRING (5.9268431 43.1299462, 5.9268075 43.1299687, 5.9267769 43.1299939)",,,,,
"[27008148, 27008149, 795726415]",,"['Pont Louis Armand', 'Boulevard du Commandant Nicolas', ""Avenue de l'Amiral Collet""]",primary,True,False,117.911,"LINESTRING (5.9268431 43.1299462, 5.9267887 43.1299388, 5.9267503 43.1299239, 5.9267309 43.1299077, 5.9267219 43.1298949, 5.9264054 43.1294485, 5.9263049 43.1293817, 5.9262801 43.1293708, 5.9262328 43.1293561, 5.9261853 43.12934, 5.9261242 43.1293329, 5.9260769 43.1293301, 5.9259899 43.1293342, 5.9258414 43.1293545)",yes,,,,
787898500,2,Boulevard du Commandant Nicolas,primary,False,True,31.845,"LINESTRING (5.9286826 43.1292436, 5.9283363 43.1293783)",,,,,
23113964,2,Boulevard du Commandant Nicolas,primary,True,False,194.47899999999998,"LINESTRING (5.9286826 43.1292436, 5.9287965 43.1291912, 5.9308074 43.1284355)",,,,,
11638060,2,Rue François Fabié,primary,True,False,22.256999999999998,"LINESTRING (5.9363556 43.1262476, 5.9362956 43.1262282, 5.936273 43.1262209, 5.9361892 43.1261884, 5.9361172 43.1261502)",,50,,,
30833649,,Boulevard Pierre Toesca,primary,True,False,21.115,"LINESTRING (5.9258414 43.1293545, 5.9256405 43.129414, 5.9255985 43.1294219)",,,,,
30833650,,Square Lieutenant Émile Bouchard,unclassified,True,False,82.019,"LINESTRING (5.9255985 43.1294219, 5.925475 43.1294891, 5.9247148 43.1297773)",,,,,
875689659,,Avenue de l'Amiral Collet,primary,True,False,59.398,"LINESTRING (5.9255985 43.1294219, 5.9255073 43.1294209, 5.9254317 43.1294066, 5.9250421 43.1293102, 5.9250046 43.1293013, 5.9248982 43.1292762)",,,,,
23113963,2,Boulevard du Commandant Nicolas,primary,True,False,86.31199999999998,"LINESTRING (5.9350675 43.126841, 5.9352954 43.1267612, 5.9357207 43.1265676, 5.9358206 43.1265302, 5.9359949 43.1264628)",,,,,
26700749,,Boulevard du Commandant Nicolas,primary,False,False,19.56,"LINESTRING (5.9350675 43.126841, 5.9350897 43.126865, 5.9351391 43.126896, 5.9351887 43.1269257, 5.9352113 43.1269411, 5.9352408 43.126962)",,,,,
