osmid,highway,oneway,reversed,length,name,geometry,lanes,ref,maxspeed,access,bridge
14196742,residential,False,False,11.331,,"LINESTRING (-96.044281 41.157333, -96.0442804 41.1574349)",,,,,
14205241,residential,False,False,69.745,West 2nd Street,"LINESTRING (-96.044281 41.157333, -96.045114 41.157342)",,,,,
"[14208312, 14212608]",residential,False,True,201.37000000000003,"['North Adams Street', 'West 1st Street']","LINESTRING (-96.044281 41.157333, -96.0442951 41.1569059, -96.044297 41.156847, -96.044287 41.156593, -96.0442359 41.156512, -96.0441491 41.1564606, -96.0440523 41.1564439, -96.043626 41.1564405, -96.043095 41.1564323, -96.0429592 41.1564311)",,,,,
14196742,residential,False,True,11.331,,"LINESTRING (-96.0442804 41.1574349, -96.044281 41.157333)",,,,,
14205243,residential,False,True,110.251,West 2nd Street,"LINESTRING (-96.0442804 41.1574349, -96.0441521 41.1574332, -96.0436123 41.1574246, -96.0430788 41.1574264, -96.0429638 41.157431)",,,,,
"[14208317, 14196750]",residential,False,False,111.509,North Adams Street,"LINESTRING (-96.0442804 41.1574349, -96.0442652 41.1579261, -96.044254 41.158342, -96.0442547 41.1584375)",,,,,
"[14208317, 14196750]",residential,False,True,111.509,North Adams Street,"LINESTRING (-96.0442547 41.1584375, -96.044254 41.158342, -96.0442652 41.1579261, -96.0442804 41.1574349)",,,,,
14208803,residential,False,False,102.755,East Grant Street,"LINESTRING (-96.0416643 41.1535027, -96.040437 41.1535017)",,,,,
14208803,residential,False,True,107.202,East Grant Street,"LINESTRING (-96.0416643 41.1535027, -96.0428096 41.1535033, -96.0429447 41.1535017)",,,,,
14212500,residential,False,False,39.138999999999996,South Jefferson Street,"LINESTRING (-96.0416643 41.1535027, -96.041703 41.153337, -96.041713 41.153295, -96.0417186 41.153154)",,,,,
14212500,residential,False,True,101.1,South Jefferson Street,"LINESTRING (-96.0416643 41.1535027, -96.0416654 41.1539381, -96.0416628 41.1542587, -96.041662 41.1543604, -96.0416616 41.1544119)",,,,,
14212500,residential,False,True,39.138999999999996,South Jefferson Street,"LINESTRING (-96.0417186 41.153154, -96.041713 41.153295, -96.041703 41.153337, -96.0416643 41.1535027)",,,,,
14205475,residential,False,True,91.21300000000001,East Halleck Street,"LINESTRING (-96.0393351 41.1507317, -96.039417 41.1507314, -96.0401006 41.1507289, -96.0404245 41.1507286)",,,,,
14205241,residential,False,True,69.745,West 2nd Street,"LINESTRING (-96.045114 41.157342, -96.044281 41.157333)",,,,,
14205243,residential,False,False,110.25099999999999,West 2nd Street,"LINESTRING (-96.0429638 41.157431, -96.0430788 41.1574264, -96.0436123 41.1574246, -96.0441521 41.1574332, -96.0442804 41.1574349)",,,,,
14208062,residential,False,False,98.338,East 2nd Street,"LINESTRING (-96.0429638 41.157431, -96.0428129 41.1574312, -96.0426826 41.1574313, -96.0426114 41.157428, -96.0425403 41.1574183, -96.0424097 41.157379, -96.0421102 41.1572776, -96.0418527 41.1571933)",,,,,
14211633,primary,False,False,111.333,North Washington Street,"LINESTRING (-96.0429638 41.157431, -96.042963 41.1575467, -96.042958 41.157906, -96.042952 41.1584322)",4,NE 85,25 mph,yes,
14211633,primary,False,True,111.185,North Washington Street,"LINESTRING (-96.0429638 41.157431, -96.0429645 41.1573407, -96.0429599 41.1565439, -96.0429592 41.1564311)",4,NE 85,25 mph,yes,
14205289,residential,False,False,106.1,Sherman Street,"LINESTRING (-96.0481581 41.1525504, -96.0480924 41.1525508, -96.0470154 41.152557, -96.0468909 41.1525577)",,,,,
14209477,residential,False,False,105.658,South Harrison Street,"LINESTRING (-96.0481581 41.1525504, -96.0481583 41.1524876, -96.0481606 41.1516002)",,,,,
14209477,residential,False,True,105.324,South Harrison Street,"LINESTRING (-96.0481581 41.1525504, -96.0481583 41.1525965, -96.048162 41.1534976)",,,,,
14205289,residential,False,False,109.274,Sherman Street,"LINESTRING (-96.0468909 41.1525577, -96.0467485 41.1525568, -96.0462455 41.1525534, -96.0456937 41.1525518, -96.0455858 41.1525532)",,,,,
14205289,residential,False,True,106.1,Sherman Street,"LINESTRING (-96.0468909 41.1525577, -96.0470154 41.152557, -96.0480924 41.1525508, -96.0481581 41.1525504)",,,,,
14211457,residential,False,False,106.236,South Madison Street,"LINESTRING (-96.0468909 41.1525577, -96.0468913 41.1524493, -96.0468938 41.1516534, -96.046894 41.1516023)",,,,,
14211457,residential,False,True,104.93499999999999,South Madison Street,"LINESTRING (-96.0468909 41.1525577, -96.046891 41.1526465, -96.0468916 41.1531175, -96.0468918 41.153253, -96.0468919 41.1533972, -96.0468917 41.1535014)",,,,,
14205289,residential,False,False,111.26200000000001,Sherman Street,"LINESTRING (-96.0455858 41.1525532, -96.045454 41.1525521, -96.0449202 41.1525531, -96.0443799 41.1525626, -96.0442571 41.1525648)",,,,,
14205289,residential,False,True,109.274,Sherman Street,"LINESTRING (-96.0455858 41.1525532, -96.0456937 41.1525518, -96.0462455 41.1525534, -96.0467485 41.1525568, -96.0468909 41.1525577)",,,,,
14206328,residential,False,False,104.991,South Jackson Street,"LINESTRING (-96.0455858 41.1525532, -96.045584 41.151832, -96.0455837 41.1516567, -96.0455836 41.151609)",,,,,
14206328,residential,False,True,105.30499999999999,South Jackson Street,"LINESTRING (-96.0455858 41.1525532, -96.0455855 41.1526485, -96.045595 41.1535002)",,,,,
14205289,residential,False,False,108.29299999999998,Sherman Street,"LINESTRING (-96.0442571 41.1525648, -96.0441316 41.1525685, -96.043631 41.1525678, -96.0430825 41.1525707, -96.0429638 41.1525714)",,,,,
14205289,residential,False,True,111.262,Sherman Street,"LINESTRING (-96.0442571 41.1525648, -96.0443799 41.1525626, -96.0449202 41.1525531, -96.045454 41.1525521, -96.0455858 41.1525532)",,,,,
14208083,residential,False,False,106.51700000000001,South Adams Street,"LINESTRING (-96.0442571 41.1525648, -96.0442663 41.1516606, -96.0442668 41.1516069)",,,,,
14208083,residential,False,True,104.434,South Adams Street,"LINESTRING (-96.0442571 41.1525648, -96.0442573 41.1526539, -96.0442594 41.153504)",,,,,
141821829,primary,False,False,97.885,South Washington Street,"LINESTRING (-96.0429638 41.1525714, -96.0429633 41.1516911)",,NE 85,35 mph,,
141821829,primary,False,True,103.457,South Washington Street,"LINESTRING (-96.0429638 41.1525714, -96.0429447 41.1535017)",,NE 85,35 mph,,
