osmid,lanes,name,highway,width,oneway,reversed,length,ref,maxspeed,geometry,bridge
9631464,2,Jerry Lane,residential,6.1,False,True,106.12,,,"LINESTRING (-71.335384 41.80928, -71.336455 41.808757)",
9631534,2,Fall River Avenue,secondary,18.3,False,False,136.52,MA 114A,35 mph,"LINESTRING (-71.3329716 41.8061965, -71.3327858 41.8060736, -71.3325609 41.8059251, -71.3321205 41.8056323, -71.3320702 41.8055981, -71.33174 41.8053813)",
9631534,2,Fall River Avenue,secondary,18.3,False,True,64.434,MA 114A,35 mph,"LINESTRING (-71.3329716 41.8061965, -71.333231 41.8063686, -71.3333553 41.8064499, -71.333552 41.806582)",
966957660,2,,residential,15.2,False,True,15.296,,,"LINESTRING (-71.3329716 41.8061965, -71.3330215 41.8061405, -71.3330694 41.8060799)",
9632174,2,Luther Street,residential,9.1,False,True,87.685,,,"LINESTRING (-71.3379948 41.8088645, -71.337618 41.808383, -71.337458 41.808185)",
9632268,2,County Street,secondary,12.2,False,False,102.171,,35 mph,"LINESTRING (-71.3379948 41.8088645, -71.337373 41.8091059, -71.3372526 41.8091561, -71.337206 41.809175, -71.337099 41.8092191, -71.336908 41.809298)",
"[279667342, 9632268, 616212574]",2,"['Warren Avenue', 'County Street']",secondary,12.2,False,"[False, True]",148.027,,35 mph,"LINESTRING (-71.3379948 41.8088645, -71.338739 41.8086345, -71.3392119 41.8085154, -71.3394467 41.8084617, -71.3396469 41.808419, -71.3396732 41.8084134)",yes
9631429,2,County Street,tertiary,12.2,False,True,75.839,,35 mph,"LINESTRING (-71.332732 41.811128, -71.333129 41.810961, -71.333526 41.810789)",
"[9631480, 9631638, 9631807]",2,"['East Avenue', 'Chappell Street']",residential,"['24.4', '21.3']",False,"[False, True]",420.42900000000003,,,"LINESTRING (-71.332732 41.811128, -71.332645 41.811044, -71.332368 41.810794, -71.33202 41.810507, -71.331773 41.810296, -71.331604 41.810151, -71.331437 41.81001, -71.331425 41.809949, -71.331694 41.809763, -71.332123 41.809479, -71.332423 41.80927, -71.332622 41.809165, -71.332735 41.809164, -71.332888 41.809256, -71.332916 41.809273, -71.333254 41.809559, -71.333621 41.80987)",
9631809,,,residential,,False,False,433.232,,,"LINESTRING (-71.334072 41.80961, -71.334332 41.809464, -71.3346017 41.8093243, -71.3349105 41.8091644, -71.334917 41.809161, -71.335253 41.808979, -71.335343 41.808882, -71.335347 41.808788, -71.335268 41.808663, -71.335109 41.808452, -71.334992 41.808348, -71.334869 41.808304, -71.334715 41.808308, -71.334558 41.808362, -71.33437 41.808478, -71.334096 41.808655, -71.333811 41.808851, -71.333605 41.808977, -71.333534 41.809063, -71.333535 41.809145, -71.3336 41.809233, -71.333773 41.809385, -71.33393 41.809507, -71.333985 41.809553, -71.334072 41.80961)",
