osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge
11439227,Appleton Street,tertiary,False,True,58.035,,,"LINESTRING (-69.6307085 44.5515114, -69.6308291 44.5514661, -69.6309444 44.5514262, -69.6312934 44.5513474, -69.6313674 44.5512976)",,
11441677,Main Street,secondary,False,False,107.739,US 201;ME 104,25 mph,"LINESTRING (-69.6307085 44.5515114, -69.630684 44.5514523, -69.6303143 44.5505841)",2,
11441677,Main Street,secondary,False,True,57.044999999999995,US 201;ME 104,25 mph,"LINESTRING (-69.6307085 44.5515114, -69.6307451 44.5515729, -69.6309734 44.5519884)",2,
11444800,Exchange Square,residential,False,False,59.938,,,"LINESTRING (-69.6300315 44.5517168, -69.6297941 44.551205)",,
39841958,Appleton Street,residential,True,False,17.377,,,"LINESTRING (-69.6300315 44.5517168, -69.6302406 44.5516697)",,
39841958,Appleton Street,residential,True,False,86.285,,,"LINESTRING (-69.6284972 44.5517285, -69.6291016 44.5517404, -69.6293132 44.5517445, -69.6295857 44.5517499)",,
52385359,Front Street,primary,False,False,62.856,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6284972 44.5517285, -69.6284906 44.5520201, -69.6284844 44.5522937)",2,
52385359,Front Street,primary,False,True,114.5,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6284972 44.5517285, -69.628506 44.5513187, -69.6285193 44.5506989)",2,
11442977,Sanger Avenue,residential,False,False,45.595,,25 mph,"LINESTRING (-69.6366915 44.556857, -69.6361283 44.5567728)",,
11439796,Harris Street,residential,False,True,112.94200000000001,,25 mph,"LINESTRING (-69.6366915 44.556857, -69.6369266 44.5562856, -69.6372407 44.5559299)",,
11440015,Common Street,residential,True,False,98.23,,,"LINESTRING (-69.629873 44.5494221, -69.6296154 44.5494688, -69.6286624 44.5493261)",,
11441677,Main Street,secondary,False,False,101.069,US 201;ME 104,25 mph,"LINESTRING (-69.629873 44.5494221, -69.6296834 44.5489763, -69.6296128 44.5488103, -69.6295125 44.5485503)",2,
11441677,Main Street,secondary,False,True,133.858,US 201;ME 104,25 mph,"LINESTRING (-69.629873 44.5494221, -69.6299829 44.5497183, -69.6300783 44.5499654, -69.6303143 44.5505841)",2,
52385359,Front Street,primary,False,False,153.08900000000003,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6286624 44.5493261, -69.6286265 44.5496165, -69.628575 44.5500332, -69.628571 44.5500713, -69.6285638 44.5501397, -69.6285484 44.5503203, -69.6285217 44.550633, -69.6285193 44.5506989)",2,
52385359,Front Street,primary,False,True,113.23599999999999,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6286624 44.5493261, -69.6287283 44.5489375, -69.628761 44.5487444, -69.6288338 44.5483151)",2,
11442460,Pleasant Street,residential,False,False,138.282,,,"LINESTRING (-69.6372105 44.5484862, -69.6365851 44.5494643, -69.636488 44.5496182)",,
11444374,Temple Street,tertiary,False,True,142.928,,25 mph,"LINESTRING (-69.6285193 44.5506989, -69.6286247 44.5506918, -69.6289633 44.550669, -69.6290582 44.5506626, -69.6296758 44.5506209, -69.629892 44.5506063, -69.6301749 44.5505798, -69.6303143 44.5505841)",,
52385359,Front Street,primary,False,False,114.5,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6285193 44.5506989, -69.628506 44.5513187, -69.6284972 44.5517285)",2,
52385359,Front Street,primary,False,True,153.089,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6285193 44.5506989, -69.6285217 44.550633, -69.6285484 44.5503203, -69.6285638 44.5501397, -69.628571 44.5500713, -69.628575 44.5500332, -69.6286265 44.5496165, -69.6286624 44.5493261)",2,
1258805469,Temple Street,residential,False,False,33.747,,25 mph,"LINESTRING (-69.6285193 44.5506989, -69.6283464 44.5507125, -69.6281793 44.550718, -69.6280956 44.550727)",,
11442720,Leighton Street,residential,False,False,88.515,,,"LINESTRING (-69.6284844 44.5522937, -69.6296007 44.5523232)",,
52385359,Front Street,primary,False,False,25.186,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6284844 44.5522937, -69.628471 44.55252)",2,
52385359,Front Street,primary,False,True,62.856,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6284844 44.5522937, -69.6284906 44.5520201, -69.6284972 44.5517285)",2,
11445020,Center Street,residential,True,False,24.541,,,"LINESTRING (-69.6330947 44.5529186, -69.633398 44.5529633)",2,
11440569,Center Place,residential,False,False,68.62299999999999,,,"LINESTRING (-69.6330947 44.5529186, -69.6330999 44.5529, -69.6332649 44.5523135)",,
1264377622,Center Place,residential,False,False,19.329,,,"LINESTRING (-69.6332649 44.5523135, -69.6330309 44.5522644)",,
1264377622,Center Place,residential,False,True,19.195,,,"LINESTRING (-69.6332649 44.5523135, -69.6335031 44.5523449)",,
11440569,Center Place,residential,False,True,68.62299999999999,,,"LINESTRING (-69.6332649 44.5523135, -69.6330999 44.5529, -69.6330947 44.5529186)",,
11441677,Main Street,secondary,False,False,25.61,US 201;ME 104,25 mph,"LINESTRING (-69.6312885 44.5528783, -69.6312649 44.5526486)",2,
301637937,Elm Street,primary,False,True,25.267,ME 11;ME 104,25 mph,"LINESTRING (-69.6312885 44.5528783, -69.6314479 44.5526815)",2,
52385357,Main Street,primary,False,False,39.985,ME 104,,"LINESTRING (-69.6312885 44.5528783, -69.6313278 44.5530299, -69.6313692 44.5532332)",4,
