osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
23505346,True,NY 117,North Bedford Road,secondary,False,71.249,"LINESTRING (-73.7259388 41.2076526, -73.7266194 41.2074658, -73.7267354 41.2074265)",,
768046311,False,NY 117,North Bedford Road,secondary,True,58.242999999999995,"LINESTRING (-73.7259388 41.2076526, -73.7254513 41.2079023, -73.7253633 41.2079474)",2,
23469604,True,NY 117,,secondary_link,False,62.214,"LINESTRING (-73.726615 41.206952, -73.726559 41.207099, -73.726518 41.2071685, -73.72651 41.207182, -73.7264733 41.2072333, -73.72645 41.207277, -73.726375 41.207355, -73.72628 41.207444)",,
23530517,False,NY 117,Main Street,secondary,True,144.248,"LINESTRING (-73.726615 41.206952, -73.726642 41.206813, -73.726699 41.206676, -73.726829 41.206412, -73.7270034 41.2060696, -73.7271379 41.2058076, -73.7271775 41.2057289)",,
49851530,False,NY 117,Main Street,secondary,False,38.546,"LINESTRING (-73.726615 41.206952, -73.726615 41.20707, -73.72664 41.207188, -73.7266627 41.2072374, -73.726681 41.2072926)",,
666565424,True,NY 117,North Bedford Road,secondary,False,36.778999999999996,"LINESTRING (-73.72628 41.207444, -73.7260543 41.207582, -73.7259388 41.2076526)",,
49851530,False,NY 117,Main Street,secondary,True,15.569,"LINESTRING (-73.7267354 41.2074265, -73.726681 41.2072926)",,
1104506235,False,NY 133,East Main Street,secondary,True,23.978,"LINESTRING (-73.7267354 41.2074265, -73.7267641 41.2074741, -73.726886 41.2076093)",,
163881916,False,NY 133,East Main Street,secondary,False,32.861,"LINESTRING (-73.726886 41.2076093, -73.7271958 41.207791)",2,
1104506235,False,NY 133,East Main Street,secondary,False,23.978,"LINESTRING (-73.726886 41.2076093, -73.7267641 41.2074741, -73.7267354 41.2074265)",,
163881916,False,NY 133,East Main Street,secondary,True,32.861,"LINESTRING (-73.7271958 41.207791, -73.726886 41.2076093)",2,
163881916,False,NY 133,East Main Street,secondary,False,105.84499999999998,"LINESTRING (-73.7271958 41.207791, -73.7273549 41.2078782, -73.7275174 41.2079779, -73.7276538 41.208063, -73.7277845 41.2081604, -73.7280141 41.2083546, -73.7280422 41.2083823, -73.7280958 41.2084509)",2,
23473820,False,,Green Street,tertiary,False,142.031,"LINESTRING (-73.727446 41.204406, -73.7275128 41.2044013, -73.7275696 41.2044046, -73.7275857 41.2044056, -73.7276591 41.204419, -73.7281663 41.2045777, -73.7281956 41.2045868, -73.7285895 41.2047101, -73.7289752 41.2048307, -73.7290275 41.2048471)",,
23530517,False,NY 117,Main Street,secondary,False,150.375,"LINESTRING (-73.727446 41.204406, -73.727468 41.204552, -73.727468 41.2045825, -73.727468 41.204716, -73.727444 41.204923, -73.727412 41.205116, -73.727347 41.20535, -73.727246 41.205599, -73.7271775 41.2057289)",,
667321807,False,NY 117,Main Street,secondary,True,67.69,"LINESTRING (-73.727446 41.204406, -73.7274232 41.2043269, -73.727394 41.204263, -73.727306 41.204124, -73.7271697 41.203957, -73.727093 41.203863)",,
