osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,tunnel,width
"[402510969, 402510954, 402511006]",5,South Glenoaks Boulevard,secondary,False,True,120.96099999999998,30 mph,"LINESTRING (-118.3032443 34.1810231, -118.303333 34.1810885, -118.3033533 34.1811034, -118.3035662 34.1812591, -118.303759 34.1814031, -118.3039376 34.181533, -118.3040768 34.1816356, -118.3042287 34.1817443)",,
"[402511010, 402511004, 402510982]",5,South Glenoaks Boulevard,secondary,False,False,116.925,,"LINESTRING (-118.3032443 34.1810231, -118.303199 34.1809905, -118.3031735 34.1809719, -118.3030572 34.1808867, -118.302967 34.1808165, -118.302775 34.1806735, -118.3025385 34.180509, -118.3022916 34.1803272)",,
"[402525357, 402525358, 402525359]","['4', '3', '2']",East Verdugo Avenue,secondary,False,False,171.84300000000002,,"LINESTRING (-118.3032443 34.1810231, -118.303343 34.18093, -118.3035169 34.1807658, -118.3042768 34.1800476, -118.3044036 34.1799278, -118.3044745 34.1798601)",,
"[1265650409, 167711486]","['3', '2']",East Verdugo Avenue,tertiary,False,False,169.516,,"LINESTRING (-118.3032443 34.1810231, -118.303171 34.181092, -118.3031582 34.1811042, -118.3029848 34.1812705, -118.3029229 34.1813304, -118.3020379 34.1821755)",,
523787411,,South Front Street,secondary,False,False,13.441,,"LINESTRING (-118.3096956 34.1773494, -118.3095887 34.177267)",,
185735918,2,South San Fernando Boulevard,tertiary,False,True,120.69800000000001,,"LINESTRING (-118.3057268 34.1786942, -118.3058319 34.1787704, -118.3061835 34.1790251, -118.3062304 34.1790591, -118.3067138 34.1794094)",,
"[405560401, 405560402, 185887420, 758045733]","['4', '3']",East Verdugo Avenue,primary,False,False,178.234,,"LINESTRING (-118.3057268 34.1786942, -118.3058129 34.178613, -118.3059556 34.1784784, -118.3062642 34.1781873, -118.3065654 34.1779031, -118.3065841 34.1778853, -118.3066358 34.1778358, -118.3067435 34.1777351, -118.3067612 34.1777184, -118.3069123 34.1775759, -118.3070039 34.1774888)",,
402513675,5,South San Fernando Boulevard,primary,False,True,45.218,,"LINESTRING (-118.3057268 34.1786942, -118.3056448 34.1786318, -118.3053684 34.1784159)",,
"[405560403, 405560404, 167711548]","['4', '2']",East Verdugo Avenue,secondary,False,True,173.42999999999998,,"LINESTRING (-118.3057268 34.1786942, -118.3056482 34.1787675, -118.3054954 34.1789098, -118.305067 34.1793089, -118.3046752 34.1796738, -118.3045415 34.1797983, -118.3044745 34.1798601)",,
185735918,2,South San Fernando Boulevard,tertiary,False,False,120.441,,"LINESTRING (-118.3077032 34.1801188, -118.3075794 34.18003, -118.3067138 34.1794094)",,
604086209,,East Angeleno Avenue,tertiary,False,True,175.42600000000002,,"LINESTRING (-118.3077032 34.1801188, -118.3077596 34.1800664, -118.3080828 34.1797664, -118.308149 34.1797015, -118.3081908 34.1796605, -118.3083221 34.1795317, -118.3084528 34.1794036, -118.3088153 34.179048, -118.308862 34.1790022, -118.3089445 34.1789213)",,
606531614,,East Angeleno Avenue,tertiary,False,False,174.14100000000002,,"LINESTRING (-118.3077032 34.1801188, -118.3076222 34.1801927, -118.3073655 34.1804268, -118.3071085 34.1806617, -118.3064903 34.1812224, -118.3064321 34.1812793)",,
1110133181,2,South San Fernando Boulevard,unclassified,False,False,126.887,,"LINESTRING (-118.3077032 34.1801188, -118.307804 34.1801972, -118.3081996 34.180495, -118.3086112 34.1808054, -118.3087203 34.1808896)",,
31726841,,East Palm Avenue,residential,False,False,174.35299999999998,,"LINESTRING (-118.3107396 34.1823444, -118.3106675 34.1824127, -118.3103643 34.1827001, -118.3102871 34.1827731, -118.310043 34.1830038, -118.3099432 34.1830981, -118.309556 34.183464, -118.3094918 34.1835247)",,
"[521623194, 508461788]",2,North San Fernando Boulevard,unclassified,True,False,119.865,,"LINESTRING (-118.3107396 34.1823444, -118.3108146 34.1823988, -118.3112207 34.1826937, -118.3116264 34.1830015, -118.3117093 34.1830644)",,
167710851,,North Sixth Street,residential,False,True,10.782,,"LINESTRING (-118.3037711 34.1854887, -118.3038344 34.1855357, -118.3038583 34.1855535)",,
1085220558,2,South Sixth Street,residential,False,False,122.984,,"LINESTRING (-118.3037711 34.1854887, -118.3037005 34.185442, -118.3032909 34.1851553, -118.3028539 34.1848371, -118.3027579 34.1847672)",,
172237275,1,East Olive Avenue,tertiary,True,False,171.593,,"LINESTRING (-118.3062719 34.1832211, -118.3061478 34.1832927, -118.3059691 34.1833957, -118.3056795 34.1836714, -118.305044 34.1842811, -118.3049937 34.1843343)",,
"[402510962, 402510942, 402510943]",5,South Glenoaks Boulevard,secondary,False,False,129.571,,"LINESTRING (-118.3062719 34.1832211, -118.306149 34.1831311, -118.3060748 34.1830768, -118.3058886 34.1829381, -118.3058131 34.1828842, -118.3057332 34.1828272, -118.3055331 34.1826831, -118.3053256 34.1825323, -118.3052144 34.1824514)",,
"[402511001, 402510988, 402510997]",5,North Glenoaks Boulevard,secondary,False,True,125.348,,"LINESTRING (-118.3062719 34.1832211, -118.3063685 34.1832898, -118.3066305 34.1834794, -118.3068119 34.1836107, -118.3070646 34.1837936, -118.3072027 34.1839021, -118.3072897 34.1839704)",,
"[402525330, 402525334]",5,East Olive Avenue,secondary,False,True,172.95200000000003,,"LINESTRING (-118.3062719 34.1832211, -118.3063619 34.1831328, -118.3064373 34.1830589, -118.306544 34.1829517, -118.3065991 34.1829045, -118.3068506 34.1826898, -118.3071906 34.1823638, -118.3074301 34.1821376, -118.3075165 34.182056)",,
172065394,,Ikea Way,unclassified,False,True,116.291,,"LINESTRING (-118.3070039 34.1774888, -118.3069143 34.1774255, -118.3065924 34.1771842, -118.3061335 34.176818, -118.30608 34.1767753)",,
"[405560401, 405560402, 185887420, 758045733]","['4', '3']",East Verdugo Avenue,primary,False,True,178.234,,"LINESTRING (-118.3070039 34.1774888, -118.3069123 34.1775759, -118.3067612 34.1777184, -118.3067435 34.1777351, -118.3066358 34.1778358, -118.3065841 34.1778853, -118.3065654 34.1779031, -118.3062642 34.1781873, -118.3059556 34.1784784, -118.3058129 34.178613, -118.3057268 34.1786942)",,
"[405560406, 405561847, 405561848, 524480313, 405561846, 185887421, 185887422]","['3', '2']","['East Verdugo Avenue', 'South Front Street']",secondary,False,True,327.18600000000004,,"LINESTRING (-118.3070039 34.1774888, -118.3070957 34.1774031, -118.3072155 34.1772913, -118.3073734 34.177144, -118.3075468 34.1769821, -118.3075719 34.1769587, -118.3076827 34.1768553, -118.3081365 34.176431, -118.3081881 34.1764097, -118.3082334 34.1763909, -118.3083449 34.1763982, -118.3084093 34.1764337, -118.3090128 34.1768601, -118.3092313 34.1770145, -118.3095887 34.177267)",,
"[405561032, 405561034, 405561037]","['4', '5']",Ikea Way,primary,False,False,120.626,,"LINESTRING (-118.3070039 34.1774888, -118.3071157 34.1775703, -118.3073932 34.1777727, -118.3075092 34.1778573, -118.3076273 34.1779434, -118.3079686 34.1781918, -118.3079876 34.1782061)",,
402525328,5,East Olive Avenue,secondary,False,True,176.832,,"LINESTRING (-118.31001 34.1797122, -118.3099047 34.1797875, -118.3098342 34.1798444, -118.3095123 34.1801351, -118.3092389 34.1804025, -118.3091588 34.1804817, -118.308797 34.1808227, -118.3087203 34.1808896)",,
"[402531658, 402531659, 402531666]","['4', '6']",North First Street,primary,False,False,124.27,,"LINESTRING (-118.31001 34.1797122, -118.3101374 34.1798014, -118.310164 34.1798201, -118.3104467 34.1800145, -118.310583 34.1801154, -118.3109387 34.1803789, -118.3110313 34.1804435)",,
"[405561033, 405561038, 402531678]","['4', '5']",South First Street,primary,False,True,131.692,,"LINESTRING (-118.31001 34.1797122, -118.3098785 34.179614, -118.3096953 34.1794723, -118.3094976 34.1793272, -118.3094577 34.1792979, -118.3093758 34.1792378, -118.309264 34.1791558, -118.3090413 34.1789923, -118.3089445 34.1789213)",,
"[405560403, 167711548, 405560404]","['4', '2']",East Verdugo Avenue,secondary,False,False,173.43,,"LINESTRING (-118.3044745 34.1798601, -118.3045415 34.1797983, -118.3046752 34.1796738, -118.305067 34.1793089, -118.3054954 34.1789098, -118.3056482 34.1787675, -118.3057268 34.1786942)",,
205424195,,3rd Street,residential,False,False,117.376,,"LINESTRING (-118.3044745 34.1798601, -118.3043915 34.1798028, -118.3039741 34.1795025, -118.3035932 34.1792271, -118.3035112 34.1791679)",,
"[402525357, 402525358, 402525359]","['4', '3', '2']",East Verdugo Avenue,secondary,False,True,171.84300000000002,,"LINESTRING (-118.3044745 34.1798601, -118.3044036 34.1799278, -118.3042768 34.1800476, -118.3035169 34.1807658, -118.303343 34.18093, -118.3032443 34.1810231)",,
524872033,,3rd Street,residential,False,False,120.77699999999999,,"LINESTRING (-118.3044745 34.1798601, -118.3045798 34.1799436, -118.3049881 34.1802509, -118.3054533 34.1805838)",,
133801384,,3rd Street,residential,False,True,124.44399999999999,,"LINESTRING (-118.3075165 34.182056, -118.3076088 34.182126, -118.3080129 34.1824327, -118.3085159 34.1828103)",,
"[402525330, 402525334]",5,East Olive Avenue,secondary,False,False,172.95199999999997,,"LINESTRING (-118.3075165 34.182056, -118.3074301 34.1821376, -118.3071906 34.1823638, -118.3068506 34.1826898, -118.3065991 34.1829045, -118.306544 34.1829517, -118.3064373 34.1830589, -118.3063619 34.1831328, -118.3062719 34.1832211)",,
"[402525336, 402525333]",5,East Olive Avenue,secondary,False,False,170.63,,"LINESTRING (-118.3075165 34.182056, -118.3075655 34.1820014, -118.3077082 34.1818423, -118.3079632 34.1815954, -118.3081548 34.181417, -118.308275 34.1813075, -118.3084056 34.181187, -118.3086684 34.1809386, -118.3087203 34.1808896)",,
606531613,,3rd Street,residential,False,True,131.948,,"LINESTRING (-118.3075165 34.182056, -118.3073831 34.1819617, -118.3069596 34.1816625, -118.3065593 34.1813717, -118.3064321 34.1812793)",,
172065456,1,,motorway_link,True,False,176.18800000000002,,"LINESTRING (-118.3079785 34.1768953, -118.3081105 34.1771566, -118.3083006 34.1774032, -118.3087409 34.1777475, -118.3090785 34.1779579, -118.3092242 34.1780599)",,
"[402525345, 77557391]",4,East Orange Grove Avenue,secondary,False,False,91.745,,"LINESTRING (-118.3110313 34.1804435, -118.3111239 34.1803634, -118.3111869 34.1803046, -118.3112593 34.1802378, -118.3116966 34.1798289)",,
"[402525354, 402525341]",4,East Orange Grove Avenue,tertiary,False,False,177.67499999999998,,"LINESTRING (-118.3110313 34.1804435, -118.3109234 34.1805348, -118.3108004 34.1806477, -118.3101589 34.1812471, -118.3098125 34.181573, -118.3097457 34.1816358)",,
"[402531666, 402531659, 402531658]","['4', '6']",North First Street,primary,False,True,124.27,,"LINESTRING (-118.3110313 34.1804435, -118.3109387 34.1803789, -118.310583 34.1801154, -118.3104467 34.1800145, -118.310164 34.1798201, -118.3101374 34.1798014, -118.31001 34.1797122)",,
"[402531667, 402531668, 402531669, 402531660]","['4', '5', '6']",North First Street,primary,False,False,119.164,,"LINESTRING (-118.3110313 34.1804435, -118.3111205 34.1805133, -118.3113164 34.1806579, -118.3115208 34.1808051, -118.3117514 34.1809746, -118.3120019 34.1811531)",,
167711466,,Santa Anita Avenue,residential,False,False,170.89200000000002,,"LINESTRING (-118.3035112 34.1791679, -118.303445 34.1792309, -118.3023943 34.1802296, -118.3022916 34.1803272)",,
167711466,,Santa Anita Avenue,residential,False,True,170.017,,"LINESTRING (-118.3035112 34.1791679, -118.3035691 34.1791134, -118.3043262 34.1784007, -118.3046708 34.1780634, -118.3047223 34.178013)",,
205424195,,3rd Street,residential,False,False,113.974,,"LINESTRING (-118.3035112 34.1791679, -118.3034587 34.179129, -118.3030495 34.178826, -118.3026508 34.1785527, -118.3025726 34.1784991)",,
205424195,,3rd Street,residential,False,True,117.37599999999999,,"LINESTRING (-118.3035112 34.1791679, -118.3035932 34.1792271, -118.3039741 34.1795025, -118.3043915 34.1798028, -118.3044745 34.1798601)",,
"[405541475, 405541476, 172065299, 418565723, 885106908]","['1', '2']",,motorway_link,True,False,239.11799999999997,65 mph,"LINESTRING (-118.3112495 34.1788658, -118.310881 34.1785129, -118.3102903 34.1780726, -118.3101435 34.1779413, -118.3101358 34.1779344, -118.3100354 34.1778556, -118.3098057 34.1777265, -118.3096691 34.1776498, -118.3095989 34.1775885, -118.3095739 34.177541, -118.30958 34.1774921, -118.3096478 34.1774126, -118.3096956 34.1773494)",,
172065394,,Ikea Way,unclassified,False,False,116.291,,"LINESTRING (-118.30608 34.1767753, -118.3061335 34.176818, -118.3065924 34.1771842, -118.3069143 34.1774255, -118.3070039 34.1774888)",,
1023148259,,Santa Anita Avenue,residential,False,False,176.715,,"LINESTRING (-118.30608 34.1767753, -118.3059818 34.1768656, -118.3058934 34.176947, -118.3056154 34.177203, -118.3052515 34.1775381, -118.3048486 34.1778992, -118.3047893 34.1779523)",,
1023148254,,East Cedar Avenue,residential,False,True,9.688,,"LINESTRING (-118.3031095 34.176834, -118.3031816 34.1767705)",,
"[402513667, 185735919]","['3', '2']",South San Fernando Boulevard,primary,True,False,83.978,,"LINESTRING (-118.3031095 34.176834, -118.3035905 34.1771813, -118.3037158 34.1772757, -118.3037934 34.1773342)",,
178102863,,Angeleno Avenue,secondary,False,False,49.505,,"LINESTRING (-118.3089445 34.1789213, -118.3090487 34.1788283, -118.3093123 34.1785963)",,
"[405561035, 405561036, 405561031]","['4', '5']",Ikea Way,primary,False,True,118.63,,"LINESTRING (-118.3089445 34.1789213, -118.3088513 34.1788517, -118.3086104 34.1786717, -118.3084636 34.178562, -118.3082445 34.1783983, -118.3080082 34.1782217, -118.3079876 34.1782061)",,
"[405561033, 405561038, 402531678]","['4', '5']",South First Street,primary,False,False,131.69199999999998,,"LINESTRING (-118.3089445 34.1789213, -118.3090413 34.1789923, -118.309264 34.1791558, -118.3093758 34.1792378, -118.3094577 34.1792979, -118.3094976 34.1793272, -118.3096953 34.1794723, -118.3098785 34.179614, -118.31001 34.1797122)",,
604086209,,East Angeleno Avenue,tertiary,False,False,175.42600000000002,,"LINESTRING (-118.3089445 34.1789213, -118.308862 34.1790022, -118.3088153 34.179048, -118.3084528 34.1794036, -118.3083221 34.1795317, -118.3081908 34.1796605, -118.308149 34.1797015, -118.3080828 34.1797664, -118.3077596 34.1800664, -118.3077032 34.1801188)",,
"[77557419, 1093036277, 1093036278]",2,East Orange Grove Avenue,tertiary,False,False,172.791,,"LINESTRING (-118.3097457 34.1816358, -118.3096948 34.1816846, -118.3092809 34.182082, -118.3092397 34.1821216, -118.3090136 34.1823389, -118.3089515 34.1823991, -118.308739 34.1825928, -118.308583 34.1827449, -118.3085159 34.1828103)",building_passage,
"[402525354, 402525341]",4,East Orange Grove Avenue,tertiary,False,True,177.675,,"LINESTRING (-118.3097457 34.1816358, -118.3098125 34.181573, -118.3101589 34.1812471, -118.3108004 34.1806477, -118.3109234 34.1805348, -118.3110313 34.1804435)",,
"[522497633, 508461785]",2,North San Fernando Boulevard,unclassified,True,False,120.69800000000001,,"LINESTRING (-118.3097457 34.1816358, -118.3098367 34.1817017, -118.3102621 34.1820096, -118.3106684 34.1822945, -118.3107396 34.1823444)",,
167711466,,Santa Anita Avenue,residential,False,True,9.14,,"LINESTRING (-118.3047223 34.178013, -118.3047893 34.1779523)",,
167711466,,Santa Anita Avenue,residential,False,False,170.01700000000002,,"LINESTRING (-118.3047223 34.178013, -118.3046708 34.1780634, -118.3043262 34.1784007, -118.3035691 34.1791134, -118.3035112 34.1791679)",,
"[402513674, 1023154132, 402513677]",2,South San Fernando Boulevard,primary,True,False,75.328,,"LINESTRING (-118.3047223 34.178013, -118.3048904 34.1781371, -118.3052364 34.178382, -118.3053684 34.1784159)",,
133801384,,3rd Street,residential,False,False,124.44399999999999,,"LINESTRING (-118.3085159 34.1828103, -118.3080129 34.1824327, -118.3076088 34.182126, -118.3075165 34.182056)",,
133801384,,3rd Street,residential,False,True,119.87299999999999,,"LINESTRING (-118.3085159 34.1828103, -118.3086025 34.1828745, -118.3090264 34.1831884, -118.3094187 34.1834719, -118.3094918 34.1835247)",,
"[402525340, 402525343]","['3', '2']",East Orange Grove Avenue,tertiary,False,False,171.36800000000002,,"LINESTRING (-118.3085159 34.1828103, -118.3084467 34.1828744, -118.307968 34.1833176, -118.3076101 34.1836561, -118.3075038 34.1837579, -118.3073878 34.183873, -118.3072897 34.1839704)",,
"[77557419, 1093036277, 1093036278]",2,East Orange Grove Avenue,tertiary,False,True,172.791,,"LINESTRING (-118.3085159 34.1828103, -118.308583 34.1827449, -118.308739 34.1825928, -118.3089515 34.1823991, -118.3090136 34.1823389, -118.3092397 34.1821216, -118.3092809 34.182082, -118.3096948 34.1816846, -118.3097457 34.1816358)",building_passage,
"[402510953, 402510987, 402511005]",5,North Glenoaks Boulevard,secondary,False,True,118.38399999999999,,"LINESTRING (-118.3072897 34.1839704, -118.3073748 34.1840296, -118.3075991 34.1841857, -118.3077791 34.184319, -118.308101 34.1845581, -118.3082569 34.1846726)",,
"[402511001, 402510988, 402510997]",5,North Glenoaks Boulevard,secondary,False,False,125.348,,"LINESTRING (-118.3072897 34.1839704, -118.3072027 34.1839021, -118.3070646 34.1837936, -118.3068119 34.1836107, -118.3066305 34.1834794, -118.3063685 34.1832898, -118.3062719 34.1832211)",,
"[402525340, 402525343]","['3', '2']",East Orange Grove Avenue,tertiary,False,True,171.368,,"LINESTRING (-118.3072897 34.1839704, -118.3073878 34.183873, -118.3075038 34.1837579, -118.3076101 34.1836561, -118.307968 34.1833176, -118.3084467 34.1828744, -118.3085159 34.1828103)",,
"[967730264, 402525351]",2,East Orange Grove Avenue,tertiary,False,False,170.13000000000002,,"LINESTRING (-118.3072897 34.1839704, -118.3071951 34.1840548, -118.3071305 34.1841196, -118.307104 34.1841445, -118.3070485 34.1841962, -118.3068158 34.1844125, -118.3065585 34.1846528, -118.3061255 34.1850563, -118.3060625 34.185115)",,
5135508,,North 5th Street,residential,False,False,119.068,,"LINESTRING (-118.3060625 34.185115, -118.3059856 34.1850587, -118.3055727 34.1847567, -118.3055553 34.1847431, -118.3051563 34.1844541, -118.3050913 34.1844071)",,
"[967730264, 402525351]",2,East Orange Grove Avenue,tertiary,False,True,170.13,,"LINESTRING (-118.3060625 34.185115, -118.3061255 34.1850563, -118.3065585 34.1846528, -118.3068158 34.1844125, -118.3070485 34.1841962, -118.307104 34.1841445, -118.3071305 34.1841196, -118.3071951 34.1840548, -118.3072897 34.1839704)",,
172237274,2,East Angeleno Avenue,residential,False,False,172.04600000000002,,"LINESTRING (-118.3039933 34.1836055, -118.303938 34.1836575, -118.3035168 34.1840538, -118.3032173 34.1843355, -118.3028271 34.1847022, -118.3027579 34.1847672)",,
172237274,2,East Angeleno Avenue,residential,False,True,170.556,,"LINESTRING (-118.3039933 34.1836055, -118.3040599 34.1835454, -118.3042722 34.1833423, -118.3043416 34.183271, -118.304762 34.1828762, -118.3051207 34.1825394, -118.3052144 34.1824514)",,
179747324,,South 5th Street,residential,False,False,122.62299999999999,,"LINESTRING (-118.3039933 34.1836055, -118.3040887 34.1836751, -118.304503 34.1839763, -118.304632 34.1840701, -118.304929 34.184284, -118.3049937 34.1843343)",,"36'0"""
179747324,,South 5th Street,residential,False,True,118.965,,"LINESTRING (-118.3039933 34.1836055, -118.3039207 34.1835533, -118.3034917 34.1832452, -118.3030982 34.1829519, -118.3030244 34.1828969)",,"36'0"""
"[1265650409, 167711486]","['3', '2']",East Verdugo Avenue,tertiary,False,True,169.51599999999996,,"LINESTRING (-118.3020379 34.1821755, -118.3029229 34.1813304, -118.3029848 34.1812705, -118.3031582 34.1811042, -118.303171 34.181092, -118.3032443 34.1810231)",,
179747324,,South 5th Street,residential,False,False,121.116,,"LINESTRING (-118.3020379 34.1821755, -118.3021422 34.1822517, -118.3025489 34.1825487, -118.3029594 34.1828493, -118.3030244 34.1828969)",,"36'0"""
167711466,,Santa Anita Avenue,residential,False,True,170.89200000000002,,"LINESTRING (-118.3022916 34.1803272, -118.3023943 34.1802296, -118.303445 34.1792309, -118.3035112 34.1791679)",,
"[402510941, 402510974]","['4', '5']",South Glenoaks Boulevard,secondary,False,False,57.958,30 mph,"LINESTRING (-118.3022916 34.1803272, -118.3021629 34.1802338, -118.3021255 34.1802066, -118.302024 34.1801281, -118.3019118 34.1800413, -118.3018267 34.1799755)",,
"[402511010, 402511004, 402510982]",5,South Glenoaks Boulevard,secondary,False,True,116.925,,"LINESTRING (-118.3022916 34.1803272, -118.3025385 34.180509, -118.302775 34.1806735, -118.302967 34.1808165, -118.3030572 34.1808867, -118.3031735 34.1809719, -118.303199 34.1809905, -118.3032443 34.1810231)",,
31726841,,East Palm Avenue,residential,False,True,170.86599999999999,,"LINESTRING (-118.3082569 34.1846726, -118.3083616 34.1845753, -118.3088671 34.1841054, -118.3094175 34.1835938, -118.3094918 34.1835247)",,
"[402510953, 402510987, 402511005]",5,North Glenoaks Boulevard,secondary,False,False,118.38399999999999,,"LINESTRING (-118.3082569 34.1846726, -118.308101 34.1845581, -118.3077791 34.184319, -118.3075991 34.1841857, -118.3073748 34.1840296, -118.3072897 34.1839704)",,
"[402510985, 402510970, 402511009]",5,North Glenoaks Boulevard,secondary,False,True,121.05999999999999,,"LINESTRING (-118.3082569 34.1846726, -118.3084715 34.1848285, -118.3085696 34.1849048, -118.3087352 34.1850202, -118.3089393 34.1851678, -118.3091553 34.185324, -118.3092466 34.1853901)",,
606531613,,3rd Street,residential,False,False,131.94799999999998,,"LINESTRING (-118.3064321 34.1812793, -118.3065593 34.1813717, -118.3069596 34.1816625, -118.3073831 34.1819617, -118.3075165 34.182056)",,
606531614,,East Angeleno Avenue,tertiary,False,True,174.14100000000002,,"LINESTRING (-118.3064321 34.1812793, -118.3064903 34.1812224, -118.3071085 34.1806617, -118.3073655 34.1804268, -118.3076222 34.1801927, -118.3077032 34.1801188)",,
