osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,tunnel,access
182583063,False,2,Praça do Comércio,secondary,False,144.908,"LINESTRING (-9.1359722 38.7084961, -9.135982 38.7084937, -9.13629 38.7084195, -9.1363919 38.7083949, -9.1367612 38.7083056, -9.1373293 38.7081669, -9.1374361 38.7081388, -9.1375665 38.7081082)",,,
"[99714005, 695507710]",False,2,Rua da Alfândega,secondary,False,74.732,"LINESTRING (-9.1359722 38.7084961, -9.1359471 38.7085024, -9.1359268 38.7085085, -9.1358971 38.7085175, -9.1358513 38.7085373, -9.1357928 38.7085647, -9.1357478 38.7085839, -9.1357059 38.7085961, -9.1356283 38.7086176, -9.1353087 38.7086978, -9.1352797 38.7087049, -9.1352542 38.7087084, -9.1352276 38.7087103, -9.135164 38.7087119)",50,,
8493651,False,,Rua da Assunção,residential,True,35.101,"LINESTRING (-9.1388728 38.7114759, -9.1389345 38.7114609, -9.1392592 38.7113824)",,,
"[628571873, 309407908]",True,2,Rua Áurea,secondary,False,242.38299999999998,"LINESTRING (-9.1388728 38.7114759, -9.138602 38.7107814, -9.1384802 38.710469, -9.1383309 38.7100861, -9.1380823 38.7094488, -9.1380623 38.7093975, -9.1380596 38.7093905)",,,
98385796,False,2,Rua da Conceição,tertiary,False,36.101,"LINESTRING (-9.1380596 38.7093905, -9.1379859 38.7094084, -9.1376619 38.7094859)",,,
394623347,True,2,Rua Áurea,secondary,False,42.216,"LINESTRING (-9.1380596 38.7093905, -9.1380562 38.7093818, -9.1379411 38.7090867, -9.1379179 38.7090273)",,,
1018266314,False,2,Rua da Conceição,tertiary,False,37.279999999999994,"LINESTRING (-9.1380596 38.7093905, -9.1381125 38.7093777, -9.1384711 38.7092941)",,,
5011571,True,,Rua de São Julião,residential,False,220.129,"LINESTRING (-9.1379179 38.7090273, -9.1378262 38.7090495, -9.1371124 38.7092227, -9.1364129 38.7093925, -9.1363274 38.7094132, -9.1363092 38.7094176, -9.1362426 38.7094338, -9.1355734 38.7095962, -9.1355106 38.7096117, -9.1354954 38.7096152)",,,
394623347,True,2,Rua Áurea,secondary,False,44.456,"LINESTRING (-9.1379179 38.7090273, -9.1378 38.7087248, -9.1377688 38.7086448)",,,
394617825,True,2,Rua Áurea,secondary,False,62.20399999999999,"LINESTRING (-9.1377688 38.7086448, -9.1376608 38.7083678, -9.1376114 38.7082412, -9.1375665 38.7081082)",,,
