osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,lanes
15634446,Lakeview Drive,residential,False,False,15.395,"LINESTRING (-82.0164262 38.4282262, -82.0165528 38.4283228)",,,
15631028,Midland Trail,unclassified,False,False,133.769,"LINESTRING (-82.019678 38.4319402, -82.0196908 38.4317742, -82.0196892 38.4317121, -82.0196812 38.4315609, -82.0196825 38.4313318, -82.0196919 38.4311511, -82.0197013 38.4309536, -82.0196597 38.4307404)",,,
15632459,,secondary,False,False,70.872,"LINESTRING (-82.019678 38.4319402, -82.0197295 38.4319932, -82.0197543 38.4320242, -82.0198883 38.4322306, -82.0199829 38.4323766, -82.0200279 38.4324244, -82.0200674 38.4324559, -82.0201073 38.4324724)",WV 34 Alternate,,
15632459,,secondary,False,True,37.813,"LINESTRING (-82.019678 38.4319402, -82.0196249 38.4318976, -82.0195598 38.4318603, -82.0194921 38.4318356, -82.0194217 38.4318156, -82.019301 38.4317825)",WV 34 Alternate,,
15631028,Midland Trail,unclassified,False,True,133.769,"LINESTRING (-82.0196597 38.4307404, -82.0197013 38.4309536, -82.0196919 38.4311511, -82.0196825 38.4313318, -82.0196812 38.4315609, -82.0196892 38.4317121, -82.0196908 38.4317742, -82.019678 38.4319402)",,,
1003830797,Midland Trail,primary,False,False,44.283,"LINESTRING (-82.0196597 38.4307404, -82.0196879 38.4305124, -82.0196946 38.4303433)",WV 34,,
1003830797,Midland Trail,primary,False,True,120.244,"LINESTRING (-82.0196597 38.4307404, -82.0196141 38.4309274, -82.0195806 38.4310682, -82.019539 38.4312047, -82.0194706 38.4313676, -82.019413 38.4315346, -82.019301 38.4317825)",WV 34,,
1003830797,Midland Trail,primary,False,False,75.957,"LINESTRING (-82.0196946 38.4303433, -82.0197154 38.4296604)",WV 34,,
15636650,Adams Avenue,residential,False,False,59.786,"LINESTRING (-82.0196946 38.4303433, -82.0193559 38.4304452, -82.0190502 38.4305282)",,,
1003830797,Midland Trail,primary,False,True,44.283,"LINESTRING (-82.0196946 38.4303433, -82.0196879 38.4305124, -82.0196597 38.4307404)",WV 34,,
15636593,5th Street,residential,False,True,74.422,"LINESTRING (-82.0197509 38.4284112, -82.0203041 38.4284189, -82.0206012 38.4283807)",,,
1003830797,Midland Trail,primary,False,True,130.522,"LINESTRING (-82.0197509 38.4284112, -82.0197375 38.4287043, -82.0197187 38.4295847)",WV 34,,
15634724,Lynn Street,residential,False,False,91.476,"LINESTRING (-82.0179881 38.4345697, -82.0187217 38.4351584)",,,
15634724,Lynn Street,residential,False,True,24.052,"LINESTRING (-82.0179881 38.4345697, -82.017791 38.4344182)",,,
15635798,Putnam Avenue,residential,False,False,233.952,"LINESTRING (-82.0179881 38.4345697, -82.0182357 38.4341943, -82.0199524 38.4331849)",,,
15632459,,secondary,False,False,37.813,"LINESTRING (-82.019301 38.4317825, -82.0194217 38.4318156, -82.0194921 38.4318356, -82.0195598 38.4318603, -82.0196249 38.4318976, -82.019678 38.4319402)",WV 34 Alternate,,
