osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction,access
6136803,Washington Avenue,residential,False,True,56.645,"LINESTRING (-122.3052072 47.9460517, -122.3053595 47.9465508)",,,,,,
"[6132306, 6136803]","['Washington Avenue', '4th Street']",residential,False,"[False, True]",189.22,"LINESTRING (-122.3052072 47.9460517, -122.3050895 47.9456949, -122.3050108 47.9454565, -122.3050133 47.9453437, -122.3050873 47.9452544, -122.3063541 47.9450321)",,,,,,
"[290491633, 6127730]","['Church Avenue', '3rd Street']",residential,False,"[False, True]",190.904,"LINESTRING (-122.3052072 47.9460517, -122.3064008 47.9458298, -122.3065582 47.945772, -122.3066062 47.9456735, -122.3065148 47.945441, -122.3063541 47.9450321)",,,,,,
290491633,3rd Street,residential,False,False,93.90800000000002,"LINESTRING (-122.3052072 47.9460517, -122.304854 47.946133, -122.3041791 47.9462884, -122.304009 47.9463119)",,,,,,
290491633,3rd Street,residential,False,False,7.009,"LINESTRING (-122.304009 47.9463119, -122.3039179 47.9463277)",,,,,,
290491633,3rd Street,residential,False,True,93.90800000000002,"LINESTRING (-122.304009 47.9463119, -122.3041791 47.9462884, -122.304854 47.946133, -122.3052072 47.9460517)",,,,,,
344649384,Mukilteo Speedway,primary,False,False,98.47800000000001,"LINESTRING (-122.304009 47.9463119, -122.3040394 47.9459083, -122.304131 47.9454307)",3,WA 525,25 mph,,,
344649384,Mukilteo Speedway,primary,False,True,91.002,"LINESTRING (-122.304009 47.9463119, -122.3040201 47.9467226, -122.3040654 47.9471291)",3,WA 525,25 mph,,,
42639022,Lincoln Avenue,residential,True,False,41.039,"LINESTRING (-122.3036138 47.946373, -122.3036446 47.9464617, -122.3037385 47.9467325)",2,,,,,
328728380,3rd Street,residential,False,False,155.975,"LINESTRING (-122.3036138 47.946373, -122.3034783 47.9463951, -122.303445 47.9464015, -122.3032451 47.9464356, -122.302882 47.9464975, -122.3026979 47.9465311, -122.3026286 47.9465443, -122.3018518 47.9466779, -122.301587 47.9467257)",2,,,,,
328728380,3rd Street,residential,False,True,23.209,"LINESTRING (-122.3036138 47.946373, -122.3037636 47.9463494, -122.3038449 47.9463365, -122.3039179 47.9463277)",2,,,,,
511857487,Lincoln Avenue,residential,False,False,90.326,"LINESTRING (-122.3036138 47.946373, -122.3035896 47.946284, -122.3035831 47.9462602, -122.3033489 47.9455804)",2,,,,,
6140970,Park Avenue,residential,False,True,90.74700000000001,"LINESTRING (-122.301587 47.9467257, -122.3016245 47.9468168, -122.3017616 47.9471215, -122.3019309 47.9475086)",2,,,,,
328728380,3rd Street,residential,False,False,148.81300000000002,"LINESTRING (-122.301587 47.9467257, -122.3006313 47.9468875, -122.3004527 47.9469185, -122.2997408 47.9470391, -122.2996502 47.9470544)",2,,,,,
328728380,3rd Street,residential,False,True,155.97500000000002,"LINESTRING (-122.301587 47.9467257, -122.3018518 47.9466779, -122.3026286 47.9465443, -122.3026979 47.9465311, -122.302882 47.9464975, -122.3032451 47.9464356, -122.303445 47.9464015, -122.3034783 47.9463951, -122.3036138 47.946373)",2,,,,,
6138019,Loveland Avenue,residential,False,False,89.015,"LINESTRING (-122.2996502 47.9470544, -122.2996348 47.9470169, -122.2996221 47.9469858, -122.299334 47.9462824)",,,,,,
6138019,Loveland Avenue,residential,False,True,89.41999999999999,"LINESTRING (-122.2996502 47.9470544, -122.2996889 47.9471449, -122.2998252 47.9474638, -122.2999807 47.9478275)",,,,,,
328728380,3rd Street,residential,False,True,148.813,"LINESTRING (-122.2996502 47.9470544, -122.2997408 47.9470391, -122.3004527 47.9469185, -122.3006313 47.9468875, -122.301587 47.9467257)",2,,,,,
290491636,,primary_link,False,False,6.466,"LINESTRING (-122.3040654 47.9471291, -122.3039814 47.9471438)",2,,,,,
344649384,Mukilteo Speedway,primary,False,False,91.002,"LINESTRING (-122.3040654 47.9471291, -122.3040201 47.9467226, -122.304009 47.9463119)",3,WA 525,25 mph,,,
"[344649384, 42639020, 42639021]",Mukilteo Speedway,primary,False,True,111.464,"LINESTRING (-122.3040654 47.9471291, -122.3040763 47.9472213, -122.3040789 47.9472352, -122.3041421 47.9478696, -122.304164 47.9481293)",3,WA 525,25 mph,yes,,
328728378,2nd Street,residential,False,False,149.516,"LINESTRING (-122.3019309 47.9475086, -122.2999807 47.9478275)",2,,,,,
6140970,Park Avenue,residential,False,False,90.747,"LINESTRING (-122.3019309 47.9475086, -122.3017616 47.9471215, -122.3016245 47.9468168, -122.301587 47.9467257)",2,,,,,
328728378,2nd Street,residential,False,True,158.01899999999998,"LINESTRING (-122.3019309 47.9475086, -122.3028544 47.9473407, -122.3029728 47.94732, -122.3030181 47.9473124, -122.3032656 47.947268, -122.3034703 47.9472315, -122.3038764 47.9471621, -122.3039279 47.9471531, -122.3039814 47.9471438)",2,,,,,
328728378,2nd Street,residential,False,True,149.516,"LINESTRING (-122.2999807 47.9478275, -122.3019309 47.9475086)",2,,,,,
6138019,Loveland Avenue,residential,False,False,89.42,"LINESTRING (-122.2999807 47.9478275, -122.2998252 47.9474638, -122.2996889 47.9471449, -122.2996502 47.9470544)",,,,,,
6132306,4th Street,residential,False,True,68.755,"LINESTRING (-122.3063541 47.9450321, -122.3072333 47.9448437)",,,,,,
6127730,Church Avenue,residential,False,False,91.404,"LINESTRING (-122.3063541 47.9450321, -122.3062047 47.9446721, -122.3060255 47.9442401)",,,,,,
"[290491633, 6127730]","['3rd Street', 'Church Avenue']",residential,False,"[False, True]",190.904,"LINESTRING (-122.3063541 47.9450321, -122.3065148 47.945441, -122.3066062 47.9456735, -122.3065582 47.945772, -122.3064008 47.9458298, -122.3052072 47.9460517)",,,,,,
"[6132306, 6136803]","['Washington Avenue', '4th Street']",residential,False,"[False, True]",189.22,"LINESTRING (-122.3063541 47.9450321, -122.3050873 47.9452544, -122.3050133 47.9453437, -122.3050108 47.9454565, -122.3050895 47.9456949, -122.3052072 47.9460517)",,,,,,
6127730,Church Avenue,residential,False,False,90.402,"LINESTRING (-122.3060255 47.9442401, -122.3057125 47.9434546)",,,,,,
