osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,junction,bridge,ref
23934523,True,2,North Union Street,residential,False,62.577,,"LINESTRING (-75.2156422 40.6909161, -75.2156975 40.6914773)",,,
874109014,False,2,Northampton Street,primary,False,102.703,,"LINESTRING (-75.2156422 40.6909161, -75.2144264 40.6909732)",,,
4892756,False,2,South 4th Street,tertiary,True,92.19999999999999,25 mph,"LINESTRING (-75.2111365 40.6911269, -75.2111305 40.6910574, -75.2111085 40.6908035, -75.2110736 40.6903988, -75.211065 40.6902995)",,,
145302775,False,2,Northampton Street,primary,True,164.603,,"LINESTRING (-75.2111365 40.6911269, -75.2112304 40.6911225, -75.2117825 40.6910967, -75.2130851 40.6910358)",,,
"[874109016, 799550262]",False,2,North 4th Street,tertiary,False,224.356,25 mph,"LINESTRING (-75.2111365 40.6911269, -75.2111447 40.6912222, -75.2112009 40.6918731, -75.2112025 40.6918934, -75.2112238 40.692169, -75.2112413 40.6923955, -75.2112663 40.6927178, -75.2112683 40.6927447, -75.2112801 40.6928965, -75.2112934 40.6930689, -75.211299 40.6931408)",,,
1147529746,True,1,Northampton Street,primary,False,135.406,,"LINESTRING (-75.2111365 40.6911269, -75.2110585 40.6911307, -75.2101836 40.691173, -75.2096779 40.6911975, -75.2095338 40.691205)",,,
874800961,True,2,Centre Square,primary,False,49.36,,"LINESTRING (-75.2095338 40.691205, -75.2095093 40.6911372, -75.2094566 40.6910646, -75.2093996 40.6910114, -75.2093108 40.6909663, -75.2092247 40.6909441, -75.2091299 40.6909374)",circular,,
512989473,True,2,Centre Square,primary,False,52.373,,"LINESTRING (-75.2091645 40.6915215, -75.2092145 40.6915189, -75.2092683 40.6915101, -75.2093503 40.6914787, -75.2094318 40.6914258, -75.2094962 40.6913513, -75.2095302 40.6912853, -75.2095338 40.691205)",circular,,
"[61699762, 1022526882]",False,2,North 3rd Street,primary,False,190.918,25 mph,"LINESTRING (-75.2091645 40.6915215, -75.2091768 40.691628, -75.2091773 40.691633, -75.2092073 40.6920294, -75.209249 40.6925803, -75.2092605 40.6927321, -75.209281 40.6930029, -75.2092922 40.6931496, -75.2092987 40.6932354)",,,
4483857,True,2,Centre Square,primary,False,50.384,,"LINESTRING (-75.2087626 40.6912494, -75.2087691 40.6912853, -75.2087807 40.6913262, -75.2088129 40.6913739, -75.2088719 40.6914374, -75.2089272 40.6914733, -75.208931 40.6914747, -75.2090006 40.6914994, -75.209063 40.6915153, -75.2091645 40.6915215)",circular,,
4689167,False,2,Northampton Street,primary,False,134.958,,"LINESTRING (-75.2087626 40.6912494, -75.208618 40.6912552, -75.2080996 40.691276, -75.2076646 40.691298, -75.2074385 40.6913094, -75.2072518 40.6913189, -75.2071649 40.6913233)",,,
