osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,tunnel,access,junction
"[750543292, 1005363876]",North Talbott Street,unclassified,25 mph,False,False,77.65899999999999,2,"LINESTRING (-86.155188 39.771953, -86.1551823 39.7720379, -86.1551711 39.7723249, -86.1551612 39.7725774, -86.155158 39.772651)",,,
17433166,East Tippecanoe Street,unclassified,25 mph,True,False,77.80799999999999,,"LINESTRING (-86.154278 39.771932, -86.1544151 39.771934, -86.155188 39.771953)",yes,,
425527625,North Delaware Street,primary,25 mph,True,False,77.759,4,"LINESTRING (-86.154278 39.771932, -86.1542742 39.7720294, -86.1542542 39.772549, -86.154251 39.772631)",,,
17442126,East Market Street,tertiary,25 mph,False,True,100.86399999999999,2,"LINESTRING (-86.156226 39.768478, -86.1563702 39.7684811, -86.15684 39.768491, -86.1572039 39.7685016, -86.1574055 39.7685075)",,,
"[593220513, 1049390243, 1190279108]",North Pennsylvania Street,primary,25 mph,True,False,162.908,"['4', '3']","LINESTRING (-86.156226 39.768478, -86.1562297 39.7683837, -86.156254 39.7677601, -86.1562623 39.7675565, -86.1562746 39.767285, -86.1562778 39.7672145, -86.1562778 39.7671841, -86.156278 39.7671089, -86.1562794 39.7670618, -86.1562772 39.7670136)",,,
692299916,East Market Street,tertiary,25 mph,False,False,154.84699999999998,2,"LINESTRING (-86.156226 39.768478, -86.1561035 39.7684745, -86.155321 39.768458, -86.1545801 39.7684418, -86.154415 39.768438)",,,
"[17445946, 593220510]",North Delaware Street,primary,25 mph,True,False,155.29999999999998,4,"LINESTRING (-86.154415 39.768438, -86.1544114 39.768538, -86.154387 39.76914, -86.1543645 39.7697253, -86.15436 39.769834)",,,
692299916,East Market Street,tertiary,25 mph,False,False,152.523,2,"LINESTRING (-86.154415 39.768438, -86.1542608 39.7684348, -86.1535129 39.7684181, -86.153419 39.768416, -86.1527686 39.7684014, -86.1526312 39.7683982)",,,
692299916,East Market Street,tertiary,25 mph,False,True,154.847,2,"LINESTRING (-86.154415 39.768438, -86.1545801 39.7684418, -86.155321 39.768458, -86.1561035 39.7684745, -86.156226 39.768478)",,,
"[437516994, 425527627, 696751710]",North Alabama Street,secondary,25 mph,True,False,155.9,3,"LINESTRING (-86.1526312 39.7683982, -86.152635 39.7682734, -86.1526403 39.7680049, -86.1526499 39.767735, -86.1526534 39.7676482, -86.152663 39.7674147, -86.1526637 39.7673969, -86.1526725 39.7671299, -86.1526709 39.7671051, -86.1526589 39.766997)",,,
692299916,East Market Street,tertiary,25 mph,False,True,152.523,2,"LINESTRING (-86.1526312 39.7683982, -86.1527686 39.7684014, -86.153419 39.768416, -86.1535129 39.7684181, -86.1542608 39.7684348, -86.154415 39.768438)",,,
17487262,East Vermont Street,unclassified,25 mph,False,False,77.547,2,"LINESTRING (-86.155158 39.772651, -86.1543871 39.772634, -86.154251 39.772631)",,,
17487262,East Vermont Street,unclassified,25 mph,False,True,77.498,2,"LINESTRING (-86.155158 39.772651, -86.1555254 39.7726581, -86.1559281 39.7726651, -86.1560645 39.7726686)",,,
"[1005363876, 750543292]",North Talbott Street,unclassified,25 mph,False,True,77.65899999999999,2,"LINESTRING (-86.155158 39.772651, -86.1551612 39.7725774, -86.1551711 39.7723249, -86.1551823 39.7720379, -86.155188 39.771953)",,,
425527623,East Court Street,unclassified,25 mph,False,False,77.649,2,"LINESTRING (-86.1553473 39.7677368, -86.1552038 39.767755, -86.1547272 39.7677451, -86.1545906 39.7677424, -86.154441 39.76774)",,,
17445946,North Delaware Street,primary,25 mph,True,False,84.657,4,"LINESTRING (-86.1544849 39.7669795, -86.1544734 39.7670892, -86.1544711 39.7671362, -86.1544515 39.7675273, -86.1544425 39.7677059, -86.154441 39.76774)",,,
"[437516986, 437505429]",East Washington Street,primary,25 mph,True,False,153.252,"['4', '3']","LINESTRING (-86.1544849 39.7669795, -86.1546253 39.7669789, -86.1550882 39.7669815, -86.1551867 39.7669842, -86.1554748 39.7669919, -86.1560755 39.7670078, -86.156125 39.7670092, -86.1562772 39.7670136)",,,
17445946,North Delaware Street,primary,25 mph,True,False,77.64699999999999,4,"LINESTRING (-86.154441 39.76774, -86.1544395 39.7677799, -86.1544173 39.7683347, -86.154415 39.768438)",,,
425527623,East Court Street,unclassified,25 mph,False,True,77.649,2,"LINESTRING (-86.154441 39.76774, -86.1545906 39.7677424, -86.1547272 39.7677451, -86.1552038 39.767755, -86.1553473 39.7677368)",,,
593220434,East Ohio Street,secondary,25 mph,False,False,76.876,,"LINESTRING (-86.15436 39.769834, -86.1542241 39.769831, -86.1535462 39.7698168, -86.1534609 39.7698139)",,,
593220509,North Delaware Street,primary,25 mph,True,False,77.417,4,"LINESTRING (-86.15436 39.769834, -86.1543564 39.7699483, -86.1543413 39.7702997, -86.1543359 39.7704338, -86.1543321 39.7705299)",,,
593220511,East Ohio Street,secondary,25 mph,False,False,155.016,4,"LINESTRING (-86.15436 39.769834, -86.1545047 39.7698372, -86.155275 39.769854, -86.156035 39.7698702, -86.156173 39.769874)",,,
17523142,East Miami Street,unclassified,25 mph,False,False,77.433,2,"LINESTRING (-86.1543321 39.7705299, -86.1542026 39.7705273, -86.1534264 39.7705117)",,,
593220509,North Delaware Street,primary,25 mph,True,False,77.82600000000001,4,"LINESTRING (-86.1543321 39.7705299, -86.15433 39.7705957, -86.1543143 39.7710936, -86.1543131 39.7711328, -86.1543115 39.7711815, -86.1543112 39.7711899, -86.15431 39.7712296)",,,
17487262,East Vermont Street,unclassified,25 mph,False,True,77.547,2,"LINESTRING (-86.154251 39.772631, -86.1543871 39.772634, -86.155158 39.772651)",,,
"[696556688, 696556671]",North Capitol Avenue,secondary,25 mph,True,False,85.983,5,"LINESTRING (-86.1616864 39.7679076, -86.1617012 39.7673379, -86.1617014 39.7673005, -86.1617017 39.7672385, -86.1617058 39.7671345)",,,
17446632,North Illinois Street,secondary,25 mph,True,False,160.921,3,"LINESTRING (-86.1599059 39.7671205, -86.159905 39.7672169, -86.1599037 39.7672471, -86.159886 39.76763, -86.159876 39.767865, -86.1598548 39.768438, -86.1598537 39.7684685, -86.159849 39.768567)",,,
"[437505532, 437505534]",West Washington Street,primary,25 mph,True,False,153.91400000000002,"['4', '3']","LINESTRING (-86.1599059 39.7671205, -86.160031 39.7671224, -86.1601178 39.7671237, -86.160949 39.767136, -86.1615172 39.7671444, -86.1615505 39.7671449, -86.1617058 39.7671345)",,,
687312297,North Senate Avenue,unclassified,25 mph,False,True,79.16099999999999,2,"LINESTRING (-86.1634828 39.7671807, -86.1634843 39.7673024, -86.163483 39.7673447, -86.1634697 39.7678867, -86.1634696 39.7678925)",,,
160837863,North Senate Avenue,unclassified,25 mph,False,False,72.62400000000001,2,"LINESTRING (-86.163417 39.7693875, -86.1634003 39.7696477, -86.1633916 39.7699614, -86.1634011 39.7700399)",,,
