osmid,oneway,lanes,ref,name,highway,maxspeed,width,reversed,length,geometry,junction,bridge
345096592,False,2,MA 60,High Street,secondary,25 mph,17.4,True,69.866,"LINESTRING (-71.11078 42.4185276, -71.1108505 42.4185435, -71.1112998 42.4186451, -71.1114635 42.4186815, -71.1115225 42.4186946, -71.1115942 42.4187106)",,
929704115,False,2,MA 60,High Street,secondary,,17.4,False,21.741,"LINESTRING (-71.11078 42.4185276, -71.1106563 42.4184947, -71.1105319 42.4184592)",,
9038279,True,2,,Bradlee Road,residential,,12.2,False,55.674,"LINESTRING (-71.11052 42.41899, -71.1105399 42.4189563, -71.110588 42.418875, -71.1107419 42.4185965, -71.11078 42.4185276)",,
91828503,True,1,,Salem Street Circle,trunk,,30.2,False,76.561,"LINESTRING (-71.1048617 42.4196552, -71.1049119 42.4195373, -71.1049289 42.4194125, -71.1049298 42.4193554, -71.1049234 42.4192982, -71.104903 42.4192415, -71.104879 42.4191837, -71.1048057 42.4190582, -71.1047515 42.4190017)",roundabout,
"[9038409, 1234765263]",True,2,MA 60,Salem Street,secondary,25 mph,22.9,False,147.819,"LINESTRING (-71.1048617 42.4196552, -71.1050272 42.4194979, -71.1050439 42.4194853, -71.1051239 42.419425, -71.1054227 42.4192065, -71.105507 42.4191438, -71.105847 42.41891, -71.1060345 42.4187866, -71.1061465 42.4187288)",,
94329311,True,1,,Clippership Drive,secondary,,,False,40.574999999999996,"LINESTRING (-71.1096382 42.4177578, -71.109589 42.4177213, -71.1094039 42.4176111, -71.1093271 42.4175731, -71.1092483 42.4175349)",,
518427359,True,3,MA 60,Salem Street,secondary,25 mph,,False,85.893,"LINESTRING (-71.1082205 42.4185162, -71.1083444 42.4184988, -71.108459 42.4184804, -71.1092424 42.4183504)",,
618725828,False,,,,primary_link,,,True,11.986,"LINESTRING (-71.1105927 42.415511, -71.110447 42.415518)",,
9038729,True,2,MA 38,Mystic Avenue,primary,,24.4,False,38.112,"LINESTRING (-71.1105927 42.415511, -71.110541 42.4153942, -71.1105074 42.4153093, -71.1105012 42.4152966, -71.11047 42.415233, -71.1104458 42.415186)",,
9038768,False,2,,Emerson Street,residential,,12.2,True,45.686,"LINESTRING (-71.1105927 42.415511, -71.110673 42.4155267, -71.1111306 42.4156164)",,
