osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,ref
304934415,True,1,motorway_link,False,174.608,"LINESTRING (-96.9010588 32.9264836, -96.9010996 32.9260715, -96.9010784 32.9257221, -96.9010243 32.9253477, -96.9010101 32.9249181)",,,
"[90990809, 424121071]",True,"['3', '2']",secondary,False,217.713,"LINESTRING (-96.9010101 32.9249181, -96.9009589 32.9247182, -96.9009374 32.9246345, -96.9008754 32.9243926, -96.900833 32.9242272, -96.9008002 32.924115, -96.9007529 32.9239535, -96.9006943 32.9237532, -96.9005514 32.9232647, -96.9005291 32.923193, -96.9004732 32.923013)",North Stemmons Freeway,45 mph,
419791838,True,2,secondary,False,338.09499999999997,"LINESTRING (-96.9006313 32.9270603, -96.900657 32.927202, -96.900702 32.927615, -96.9007311 32.9278823, -96.9007531 32.9280842, -96.900884 32.929285, -96.9009047 32.9294207, -96.901006 32.930084)",North Stemmons Freeway,,
9947297,True,1,motorway_link,False,70.877,"LINESTRING (-96.9006987 32.9264254, -96.9006313 32.9270603)",,,
1128433370,True,4,motorway,False,384.366,"LINESTRING (-96.9006987 32.9264254, -96.9008686 32.9276623, -96.9011656 32.9298598)",North Stemmons Freeway,70 mph,I 35E
"[600860472, 600860473]",False,2,residential,True,161.62899999999996,"LINESTRING (-96.897371 32.922499, -96.8972806 32.9225173, -96.8966878 32.9226376, -96.8966025 32.9226579, -96.8964934 32.9226802, -96.8964466 32.9226901, -96.8962344 32.9227372, -96.8956915 32.9228527)",Pike Street,,
"[1182285525, 600860471]",False,"['4', '5']",tertiary,True,125.10799999999999,"LINESTRING (-96.897371 32.922499, -96.8975658 32.9231595, -96.8976609 32.9234818, -96.8976683 32.9235078, -96.8976919 32.9235914)",Denton Drive,35 mph,
600860481,False,5,tertiary,True,13.786,"LINESTRING (-96.8976919 32.9235914, -96.8977276 32.9237117)",Denton Drive,35 mph,
"[1182285525, 600860471]",False,"['4', '5']",tertiary,False,125.108,"LINESTRING (-96.8976919 32.9235914, -96.8976683 32.9235078, -96.8976609 32.9234818, -96.8975658 32.9231595, -96.897371 32.922499)",Denton Drive,35 mph,
"[1169218861, 600860476, 600934397]",True,"['4', '3']",secondary,False,164.24300000000002,"LINESTRING (-96.8976919 32.9235914, -96.8975749 32.9236279, -96.897452 32.9236662, -96.8971789 32.9237409, -96.8969501 32.9237879, -96.8968556 32.9238035, -96.8968039 32.9238095, -96.8965879 32.9238264, -96.8965307 32.9238309, -96.8963519 32.9238338, -96.8960734 32.9238384, -96.8959727 32.92384)",Valley View Lane,35 mph,
