osmid,oneway,highway,reversed,length,geometry,bridge,ref,name,lanes
13047857,True,unclassified,False,73.30000000000001,"LINESTRING (-77.0522868 42.1442033, -77.052313 42.144139, -77.052365 42.143964, -77.052388 42.143894, -77.052415 42.143856, -77.0524484 42.1438243, -77.052473 42.143801, -77.052557 42.143772, -77.05277 42.143751)",,,,
"[13137932, 13178932]",False,primary,False,424.76499999999993,"LINESTRING (-77.0522868 42.1442033, -77.0527638 42.1470351, -77.052818 42.147372, -77.052836 42.147506, -77.052841 42.147535, -77.0529199 42.1478898, -77.052929 42.147993)",yes,NY 414,"['Centerway', 'Brisco Bridge']",4
13178948,False,primary,False,60.231,"LINESTRING (-77.0522868 42.1442033, -77.052244 42.143951, -77.052243 42.143827, -77.052258 42.143664)",,NY 414,Center Way,
13047848,True,tertiary_link,False,105.926,"LINESTRING (-77.051497 42.143511, -77.051853 42.143654, -77.051971 42.143716, -77.0520447 42.143783, -77.052124 42.143927, -77.052205 42.144103, -77.0522868 42.1442033)",,,,
68131135,False,tertiary,True,65.008,"LINESTRING (-77.051497 42.143511, -77.0521241 42.1436371, -77.052258 42.143664)",,,East Tioga Avenue,
909600460,False,secondary,True,108.696,"LINESTRING (-77.051497 42.143511, -77.0512941 42.1434686, -77.0510899 42.143426, -77.050228 42.143246)",,,East Tioga Avenue,
68131132,False,residential,False,118.776,"LINESTRING (-77.05277 42.143751, -77.0532306 42.1438353, -77.0533643 42.1438598, -77.053715 42.143924, -77.0541732 42.1439919)",,,East Tioga Avenue,
68131132,False,residential,True,43.31,"LINESTRING (-77.05277 42.143751, -77.0524236 42.1436898, -77.052258 42.143664)",,,East Tioga Avenue,
13123512,False,residential,True,173.134,"LINESTRING (-77.055448 42.140454, -77.053411 42.140076)",,,East 2nd Street,
1221729338,False,residential,False,173.514,"LINESTRING (-77.055448 42.140454, -77.057496 42.140813)",,,West 2nd Street,
13161169,False,residential,False,125.77700000000002,"LINESTRING (-77.055448 42.140454, -77.055278 42.140989, -77.055104 42.141556)",,,Pine Street,
13161169,False,residential,True,126.44399999999999,"LINESTRING (-77.055448 42.140454, -77.055628 42.139905, -77.05581 42.139349)",,,Pine Street,
1221729338,False,residential,True,173.514,"LINESTRING (-77.057496 42.140813, -77.055448 42.140454)",,,West 2nd Street,
1221729340,True,residential,False,92.395,"LINESTRING (-77.057496 42.140813, -77.058584 42.141012)",,,West 2nd Street,
13085158,False,residential,True,125.14500000000001,"LINESTRING (-77.057496 42.140813, -77.057667 42.14027, -77.0577416 42.1400329, -77.057841 42.139717)",,,Walnut Street,
