osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed,bridge,ref
9206177,2,Hill Street,residential,10.4,False,False,59.043,"LINESTRING (-71.080677 42.576641, -71.079965 42.576725)",,,
9206177,2,Hill Street,residential,10.4,False,True,77.979,"LINESTRING (-71.080677 42.576641, -71.0807377 42.5766314, -71.081125 42.57657, -71.081411 42.576523, -71.081558 42.576422)",,,
9206132,,Railroad Avenue,residential,7.3,False,False,240.457,"LINESTRING (-71.0804769 42.5722983, -71.0804174 42.5722936, -71.0801424 42.5722174, -71.0798824 42.5721729, -71.0796751 42.5721679, -71.0794892 42.5721615, -71.0793104 42.5721694, -71.0791177 42.5721687, -71.0789828 42.5721652, -71.0788077 42.5720844, -71.078523 42.572041, -71.07802 42.572033, -71.077605 42.572038)",,,
"[257047138, 257047139, 583742269, 583306494]",2,Haverhill Street,secondary,12.2,False,False,213.39100000000002,"LINESTRING (-71.0804769 42.5722983, -71.0803565 42.5724562, -71.0802559 42.5725973, -71.0799164 42.5730742, -71.0798794 42.5731278, -71.0795622 42.5735878, -71.0795457 42.5736118, -71.0794667 42.5737307, -71.0794089 42.5738177, -71.0792847 42.5740045)",35 mph,yes,
583742269,2,Haverhill Street,secondary,12.2,False,True,111.058,"LINESTRING (-71.0804769 42.5722983, -71.080632 42.572055, -71.080679 42.571992, -71.080858 42.571752, -71.0810599 42.5714837, -71.081097 42.571436, -71.0811112 42.571416)",35 mph,,
9205913,,Bow Street,residential,9.1,False,False,18.518,"LINESTRING (-71.0770575 42.5749118, -71.0768627 42.5748272)",,,
9205959,2,Bow Street,residential,9.1,True,False,48.189,"LINESTRING (-71.0770575 42.5749118, -71.077017 42.574797, -71.0770052 42.5747398, -71.0770032 42.5746694, -71.0770109 42.5745941, -71.0770148 42.5745647, -71.0770262 42.5744837)",,,
583306496,2,Bow Street,residential,9.1,False,False,128.77900000000002,"LINESTRING (-71.0770575 42.5749118, -71.0770829 42.5749343, -71.0772857 42.5751137, -71.077382 42.575197, -71.0774549 42.5752795, -71.0774968 42.5753269, -71.0775645 42.5754187, -71.077626 42.57551, -71.077655 42.575559, -71.07779 42.5757744, -71.0778335 42.5758333, -71.077877 42.5758921)",,,
9206234,2,Mount Vernon Street,residential,12.2,False,True,152.426,"LINESTRING (-71.0775616 42.5713034, -71.078363 42.571313, -71.078854 42.571324, -71.0794222 42.5713408)",,,
9206177,2,Hill Street,residential,10.4,False,False,77.97900000000001,"LINESTRING (-71.081558 42.576422, -71.081411 42.576523, -71.081125 42.57657, -71.0807377 42.5766314, -71.080677 42.576641)",,,
