osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,bridge,access
3806247,True,2,A281,Albion Way,primary,30 mph,False,40.937,"LINESTRING (-0.3309776 51.0644892, -0.330397 51.0644402)",,,,
1057452950,False,,B2237,Springfield Road,secondary,30 mph,False,12.533,"LINESTRING (-0.3309776 51.0644892, -0.3310832 51.0643981)",,,,
1057452950,False,,B2237,Springfield Road,secondary,30 mph,True,3.467,"LINESTRING (-0.3309776 51.0644892, -0.3309495 51.0645149)",,,,
33347554,False,,A281,Bishopric,primary,30 mph,False,9.17,"LINESTRING (-0.3332796 51.0638647, -0.3331617 51.0638285)",,,,
408908268,False,,A281,Bishopric,primary,30 mph,False,42.306,"LINESTRING (-0.3332796 51.0638647, -0.3333095 51.0638748, -0.3333698 51.0638961, -0.3334283 51.0639168, -0.3334907 51.063939, -0.3335222 51.0639507, -0.3338061 51.0640525)",,,,
"[3806246, 848818726]",True,2,A281,,primary,30 mph,False,138.684,"LINESTRING (-0.3332796 51.0638647, -0.3331083 51.0640124, -0.3329323 51.064159, -0.3328576 51.0642144, -0.3327539 51.064277, -0.3326543 51.0643345, -0.332499 51.0644048, -0.3324077 51.0644407, -0.3322779 51.0644771, -0.3321726 51.0644993, -0.3320999 51.0645104, -0.3320327 51.0645206, -0.3318941 51.0645312, -0.3317233 51.0645377)",,,,
3806206,True,2,A281,Park Way,primary,30 mph,False,7.479,"LINESTRING (-0.3250729 51.0628686, -0.3250224 51.0628093)",,,,
460154432,True,,B2195,Park Street,secondary,30 mph,False,22.652,"LINESTRING (-0.3250729 51.0628686, -0.3249622 51.0629001, -0.3248901 51.0629287, -0.3247999 51.0629759)",,,,
"[848818725, 461550167]",True,2,A281,Park Way,primary,30 mph,False,87.92699999999999,"LINESTRING (-0.324906 51.0626719, -0.3248878 51.0626446, -0.3248567 51.0625895, -0.3248422 51.0625336, -0.3248261 51.0624714, -0.3248149 51.0624169, -0.324814 51.0623531, -0.3248184 51.0622826, -0.3248326 51.0622036, -0.3248484 51.0621458, -0.3248762 51.0620875, -0.3249136 51.0620293, -0.3249565 51.0619762, -0.3250511 51.0619349)",,,,
15547354,True,3,A281,Park Way,primary,30 mph,False,60.208000000000006,"LINESTRING (-0.3250511 51.0619349, -0.3250565 51.0619953, -0.3250238 51.0620496, -0.3249985 51.0620988, -0.3249781 51.0621479, -0.3249623 51.0622037, -0.3249484 51.0622761, -0.3249576 51.0623635, -0.3249675 51.0624237, -0.3249792 51.0624658)",,,,
15559861,False,3,A281,Park Way,primary,30 mph,False,71.15,"LINESTRING (-0.3250511 51.0619349, -0.3252468 51.0616883, -0.3253755 51.0615213, -0.3254026 51.0614812, -0.3254215 51.0614553, -0.3254886 51.0613573)",,,,
24874696,False,,A281,Queen Street,primary,30 mph,True,17.703,"LINESTRING (-0.3233063 51.0606336, -0.3235294 51.060709)",,,,
34924903,False,,,Queensway,residential,,True,152.886,"LINESTRING (-0.3233063 51.0606336, -0.3235448 51.0604088, -0.3237532 51.0601994, -0.3238507 51.0600954, -0.3242332 51.05966, -0.3244216 51.0594516)",,,,
3806247,True,2,A281,Albion Way,primary,30 mph,False,106.321,"LINESTRING (-0.3284191 51.0642432, -0.3282907 51.0642258, -0.3275414 51.0640989, -0.3275307 51.0640966, -0.3271535 51.0640159, -0.3271037 51.064007, -0.3270413 51.0639949, -0.3269569 51.063981)",,,,
15549565,False,,,London Road,residential,,True,216.78600000000003,"LINESTRING (-0.3284191 51.0642432, -0.3284182 51.0642626, -0.328413 51.064307, -0.3284133 51.0643114, -0.3284116 51.0643362, -0.3284147 51.064352, -0.3284212 51.0643721, -0.3284325 51.0643944, -0.3284501 51.0644176, -0.3284676 51.064439, -0.3284903 51.0644609, -0.3285139 51.0644806, -0.3287045 51.064645, -0.3287283 51.0646666, -0.3287521 51.0646898, -0.3287854 51.0647255, -0.3288163 51.0647611, -0.3288471 51.0647978, -0.3288728 51.0648307, -0.3288981 51.064865, -0.3289314 51.0649096, -0.3289599 51.0649496, -0.329043 51.0650743, -0.3290806 51.0651434, -0.3291047 51.065188, -0.3291227 51.0652248, -0.3291383 51.0652594, -0.3291524 51.0652923, -0.329163 51.0653215, -0.3291707 51.0653489, -0.3291769 51.0653798, -0.3291848 51.0654229, -0.3291926 51.0654803, -0.3292137 51.0656018, -0.3292504 51.0658007, -0.329274 51.0659185, -0.3292826 51.0659531, -0.3292889 51.0659764, -0.3292975 51.0659943, -0.3293118 51.0660095, -0.3293331 51.0660187, -0.3293926 51.066037)",,,,
"[23204737, 34200263, 216772142, 1174766671, 431219728, 216865330, 460154428, 431219709]",True,,,"['Carfax', 'South Street', 'North Street']",unclassified,,False,342.40299999999996,"LINESTRING (-0.3291356 51.0620492, -0.3289959 51.0622822, -0.3289937 51.0622859, -0.3289529 51.0623417, -0.3289365 51.0623673, -0.3289339 51.0623712, -0.3288138 51.0625425, -0.3287243 51.0626592, -0.3286883 51.0627188, -0.328669 51.0627461, -0.3286289 51.0627742, -0.3285904 51.0627877, -0.3285581 51.0627935, -0.3285196 51.0627906, -0.3284826 51.06278, -0.3284533 51.0627626, -0.3284271 51.0627393, -0.3283078 51.0626079, -0.3282393 51.0625375, -0.328214 51.0625123, -0.3281923 51.0624954, -0.3281598 51.0624798, -0.3281199 51.0624642, -0.3280922 51.0624564, -0.3280472 51.0624486, -0.3280286 51.0624468, -0.3280074 51.0624447, -0.3279603 51.0624423, -0.3279305 51.0624425, -0.3278933 51.0624442, -0.3278573 51.0624468, -0.3278251 51.0624495, -0.3277861 51.0624557, -0.3277525 51.0624627, -0.3277214 51.0624715, -0.3276879 51.0624822, -0.3276596 51.0624939, -0.3274905 51.0625662, -0.3272144 51.0626841, -0.3270675 51.0627439, -0.3268104 51.0628473, -0.3267239 51.0628824, -0.3266391 51.0629159, -0.3266218 51.062922, -0.326603 51.0629275, -0.32658 51.0629323, -0.3265658 51.0629349, -0.3265523 51.0629363, -0.3265391 51.0629375, -0.3265212 51.0629378, -0.3265075 51.0629375, -0.3264904 51.0629361, -0.3264747 51.0629339, -0.3264539 51.0629294, -0.3264355 51.0629241, -0.3264233 51.06292, -0.326409 51.0629145, -0.3263935 51.0629074, -0.3263821 51.0629009, -0.3263632 51.0628884, -0.3263466 51.0628755, -0.3263219 51.0628563, -0.3261946 51.0627361, -0.3261347 51.0626824, -0.3260829 51.062639, -0.3260671 51.0626268, -0.3260512 51.0626165, -0.3260292 51.0626053, -0.3260093 51.0625966, -0.3259887 51.062589, -0.3259705 51.0625823, -0.3259399 51.0625754, -0.3259166 51.0625711, -0.3258802 51.0625639, -0.3257723 51.062539)",,,,
23515092,False,2,,South Street,unclassified,,True,33.247,"LINESTRING (-0.3291356 51.0620492, -0.3291482 51.0620181, -0.329154 51.0620034, -0.3291584 51.0619849, -0.3291603 51.0619648, -0.3291508 51.061883, -0.329148 51.0618416, -0.3291588 51.0617524)",,,,
"[460402513, 23905185, 24845946, 24976564]",False,2,,"['Worthing Road', 'Blackhorse Way']",unclassified,,True,420.8670000000001,"LINESTRING (-0.3291356 51.0620492, -0.3295591 51.0621353, -0.3296819 51.0621585, -0.3298136 51.0621821, -0.3298957 51.0621963, -0.3299641 51.062209, -0.3300127 51.0622194, -0.3300696 51.0622325, -0.3301289 51.0622476, -0.330192 51.0622648, -0.3302977 51.0622938, -0.3306709 51.0624069, -0.3310287 51.0625047, -0.331089 51.06252, -0.3311274 51.0625304, -0.3311722 51.0625445, -0.3312043 51.0625556, -0.331227 51.0625641, -0.3312568 51.062576, -0.3315266 51.0626773, -0.331772 51.0627678, -0.3317981 51.0627754, -0.3318149 51.0627794, -0.3318371 51.0627826, -0.33186 51.0627846, -0.3318832 51.0627856, -0.331914 51.0627861, -0.3319577 51.0627872, -0.3319903 51.0627885, -0.3320174 51.0627903, -0.332045 51.0627929, -0.3320686 51.0627963, -0.3320979 51.0628012, -0.3321416 51.0628106, -0.3321771 51.062818, -0.3322295 51.0628264, -0.332264 51.0628312, -0.3322911 51.0628327, -0.3323111 51.0628319, -0.3323308 51.0628305, -0.3323511 51.0628272, -0.3323714 51.0628199, -0.3323816 51.0628145, -0.3323916 51.0628084, -0.3324026 51.0627965, -0.332412 51.0627863, -0.3324225 51.0627745, -0.3324353 51.0627591, -0.3325501 51.0626209, -0.332587 51.0625874, -0.3326377 51.0625627, -0.3327343 51.0625384, -0.332822 51.0625219, -0.3328533 51.0625185, -0.3329307 51.0625111, -0.3330742 51.0624943, -0.3331487 51.0624745, -0.3332476 51.0624494, -0.3333068 51.0624274, -0.3334339 51.0623674, -0.3335595 51.0622924, -0.3336367 51.0622436, -0.3337481 51.0621593, -0.3338053 51.0620938, -0.3338996 51.0619794, -0.3339897 51.0618802, -0.3340512 51.0618159, -0.3340963 51.0617769)",,,,
4005940,False,,,Causeway,residential,,False,26.628999999999998,"LINESTRING (-0.3291588 51.0617524, -0.3291276 51.0617486, -0.3291068 51.061745, -0.3290782 51.0617373, -0.3290097 51.0617127, -0.3288208 51.0616447)",,,,
8309204,False,,,Causeway,residential,,True,49.355,"LINESTRING (-0.3291588 51.0617524, -0.3291615 51.0617312, -0.3291667 51.0617014, -0.3291789 51.061643, -0.3291848 51.0616104, -0.3292254 51.0613888, -0.3292297 51.0613736, -0.3292376 51.0613569, -0.3292632 51.0613149)",,,,
