osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge
888164222,False,2,,Green Street,tertiary,30 mph,True,58.801,"LINESTRING (-70.8640272 43.2587618, -70.8641019 43.2592878)",
18871238,False,,,Langelier Court,residential,,False,147.938,"LINESTRING (-70.8640272 43.2587618, -70.863782 43.2587853, -70.86355 43.258823, -70.863437 43.258892, -70.863373 43.259027, -70.863333 43.259166, -70.863352 43.259307, -70.863402 43.259447, -70.863462 43.259587, -70.863515 43.259734)",
888164222,False,2,,Green Street,tertiary,30 mph,True,46.124,"LINESTRING (-70.8639686 43.2583492, -70.8640272 43.2587618)",
18871559,False,,,Fayette Street,residential,,True,125.686,"LINESTRING (-70.8639686 43.2583492, -70.8634129 43.2584393, -70.8628737 43.2585244, -70.8624561 43.2586022)",
18873450,False,2,,Constitutional Way,unclassified,30 mph,True,184.37900000000002,"LINESTRING (-70.864241 43.260268, -70.8643074 43.2603754, -70.864335 43.26042, -70.864576 43.260742, -70.8651204 43.2614991, -70.865225 43.2616347, -70.8652367 43.2616498, -70.8652453 43.2616572, -70.8653225 43.2617243)",
18874058,False,2,,Washington Street,tertiary,30 mph,False,282.58799999999997,"LINESTRING (-70.864241 43.260268, -70.865036 43.259864, -70.865679 43.259531, -70.866403 43.259163, -70.8669332 43.2588938, -70.8671094 43.2588219)",
18874058,False,2,,Washington Street,tertiary,30 mph,True,72.127,"LINESTRING (-70.864241 43.260268, -70.863939 43.260418, -70.863768 43.260491, -70.863676 43.260523, -70.8634658 43.2605814)",
888164222,False,2,,Green Street,tertiary,30 mph,False,75.367,"LINESTRING (-70.864241 43.260268, -70.8642289 43.2601829, -70.8641453 43.2595938)",
888164222,False,2,,Green Street,tertiary,30 mph,False,58.801,"LINESTRING (-70.8641019 43.2592878, -70.8640272 43.2587618)",
888164222,False,2,,Green Street,tertiary,30 mph,True,34.207,"LINESTRING (-70.8641019 43.2592878, -70.8641453 43.2595938)",
18873173,False,,,Pleasant Street,residential,,False,135.305,"LINESTRING (-70.8641019 43.2592878, -70.8641866 43.2592703, -70.8655297 43.2586604)",
18873980,False,2,NH 9;NH 236,High Street,primary,30 mph,False,27.696,"LINESTRING (-70.8645601 43.2628632, -70.8647091 43.262639)",
18871922,False,,,Government Way,unclassified,,False,29.732,"LINESTRING (-70.8645601 43.2628632, -70.8645235 43.2627889, -70.8644754 43.262691, -70.8644362 43.2626115)",
18873980,False,2,NH 9;NH 236,High Street,primary,30 mph,True,84.957,"LINESTRING (-70.8645601 43.2628632, -70.864415 43.2630909, -70.8642804 43.2633052, -70.8641249 43.2635584)",
18872021,False,,,Prospect Street,residential,,False,152.396,"LINESTRING (-70.8640154 43.2642484, -70.8640988 43.2642468, -70.864118 43.2642464, -70.864293 43.264233, -70.864523 43.264189, -70.864789 43.264111, -70.864961 43.26405, -70.8652135 43.2639435, -70.8653861 43.2638569, -70.8656947 43.2636878)",
18873435,False,2,NH 9;NH 236,Market Street,primary,30 mph,False,59.596999999999994,"LINESTRING (-70.8640154 43.2642484, -70.863978 43.263972, -70.8640523 43.2637195)",
18873435,False,2,NH 9;NH 236,Market Street,primary,30 mph,True,33.222,"LINESTRING (-70.8640154 43.2642484, -70.864036 43.2643812, -70.8640386 43.2643977, -70.8640659 43.2645001, -70.8640864 43.2645417)",
18872021,False,,,Prospect Street,residential,,False,48.525,"LINESTRING (-70.8656947 43.2636878, -70.8661326 43.2634518, -70.8661764 43.2634282)",
18872021,False,,,Prospect Street,residential,,True,152.396,"LINESTRING (-70.8656947 43.2636878, -70.8653861 43.2638569, -70.8652135 43.2639435, -70.864961 43.26405, -70.864789 43.264111, -70.864523 43.264189, -70.864293 43.264233, -70.864118 43.2642464, -70.8640988 43.2642468, -70.8640154 43.2642484)",
18873528,False,,,Beacon Street,residential,,True,128.16,"LINESTRING (-70.8656947 43.2636878, -70.8655108 43.2636906, -70.8654863 43.263691, -70.8654637 43.263689, -70.8649305 43.2636409, -70.8642983 43.2635867, -70.864237 43.2635767, -70.8641249 43.2635584)",
18872021,False,,,Prospect Street,residential,,False,69.617,"LINESTRING (-70.8661764 43.2634282, -70.8663159 43.2633473, -70.8664862 43.2632632, -70.866778 43.263119, -70.8668307 43.2630883, -70.866874 43.263063)",
18872021,False,,,Prospect Street,residential,,True,48.525,"LINESTRING (-70.8661764 43.2634282, -70.8661326 43.2634518, -70.8656947 43.2636878)",
1005674860,False,,,Linden Street,residential,,True,45.288,"LINESTRING (-70.8661764 43.2634282, -70.8662244 43.2634746, -70.8662486 43.263498, -70.8663131 43.2635604, -70.8664381 43.2637111, -70.8664624 43.2637744)",
18874137,False,,,Grand Street,residential,,False,82.073,"LINESTRING (-70.866874 43.263063, -70.8673089 43.2623963)",
18872021,False,,,Prospect Street,residential,,False,90.751,"LINESTRING (-70.866874 43.263063, -70.8671 43.262949, -70.867267 43.262871, -70.867446 43.26281, -70.86788 43.262724)",
18872021,False,,,Prospect Street,residential,,True,69.617,"LINESTRING (-70.866874 43.263063, -70.8668307 43.2630883, -70.866778 43.263119, -70.8664862 43.2632632, -70.8663159 43.2633473, -70.8661764 43.2634282)",
18872021,False,,,Prospect Street,residential,,False,30.788,"LINESTRING (-70.86788 43.262724, -70.868246 43.262649)",
18872021,False,,,Prospect Street,residential,,True,90.751,"LINESTRING (-70.86788 43.262724, -70.867446 43.26281, -70.867267 43.262871, -70.8671 43.262949, -70.866874 43.263063)",
18873348,False,,,Highland Street,residential,,True,16.895,"LINESTRING (-70.86788 43.262724, -70.867834 43.262638, -70.867822 43.262579)",
18872021,False,,,Prospect Street,residential,,False,29.555,"LINESTRING (-70.868246 43.262649, -70.8685998 43.2625837)",
18872021,False,,,Prospect Street,residential,,True,30.788,"LINESTRING (-70.868246 43.262649, -70.86788 43.262724)",
18873343,False,,,Highland Street,residential,,True,35.204,"LINESTRING (-70.868246 43.262649, -70.867822 43.262579)",
18872021,False,,,Prospect Street,residential,,False,48.837999999999994,"LINESTRING (-70.8696307 43.2623637, -70.87004 43.2622609, -70.8702027 43.2622246)",
18872021,False,,,Prospect Street,residential,,True,86.994,"LINESTRING (-70.8696307 43.2623637, -70.8694299 43.2624103, -70.8689049 43.2625218, -70.8685998 43.2625837)",
18872609,False,,,Grove Street,residential,,True,175.428,"LINESTRING (-70.8696307 43.2623637, -70.869568 43.262277, -70.869502 43.262236, -70.869316 43.262167, -70.867732 43.261649)",
18872021,False,,,Prospect Street,residential,,False,44.95,"LINESTRING (-70.8702027 43.2622246, -70.8707338 43.262107)",
18872021,False,,,Prospect Street,residential,,True,48.837999999999994,"LINESTRING (-70.8702027 43.2622246, -70.87004 43.2622609, -70.8696307 43.2623637)",
18874050,False,,,Page Street,residential,,True,217.483,"LINESTRING (-70.8702027 43.2622246, -70.8703212 43.2625035, -70.8703234 43.2626566, -70.8702272 43.2627858, -70.8701794 43.2628767, -70.8700963 43.2631173, -70.8700518 43.2632635, -70.8699807 43.2634748, -70.869931 43.263627, -70.869866 43.263836, -70.8697923 43.2641112)",
18872222,False,,,Market Street,tertiary,30 mph,True,85.95799999999998,"LINESTRING (-70.865676 43.265394, -70.865588 43.265447, -70.865509 43.265485, -70.865319 43.265511, -70.86513 43.265483, -70.864955 43.265428, -70.8648892 43.2654056, -70.8648233 43.2653832, -70.864705 43.265343)",
18873918,False,,,Linden Street,residential,,False,76.753,"LINESTRING (-70.865676 43.265394, -70.865961 43.265228, -70.866101 43.265136, -70.866182 43.265012, -70.866234 43.264867)",
765806849,False,,,Winter Street,tertiary,30 mph,False,208.16400000000002,"LINESTRING (-70.865676 43.265394, -70.8658066 43.2653986, -70.866274 43.265415, -70.866571 43.265412, -70.866768 43.265397, -70.867064 43.265367, -70.867926 43.26527, -70.868227 43.26523)",
18874050,False,,,Page Street,residential,,False,140.176,"LINESTRING (-70.869425 43.265343, -70.8697324 43.2642827, -70.8697923 43.2641112)",
765806849,False,,,Winter Street,tertiary,30 mph,True,97.908,"LINESTRING (-70.869425 43.265343, -70.869184 43.265326, -70.868415 43.265236, -70.868227 43.26523)",
18872578,False,,,Cliff Street,residential,,False,164.405,"LINESTRING (-70.866234 43.264867, -70.866527 43.264909, -70.867587 43.265033, -70.868084 43.265087, -70.868237 43.265108)",
18873918,False,,,Linden Street,residential,,False,122.90299999999999,"LINESTRING (-70.866234 43.264867, -70.866265 43.264683, -70.866331 43.264395, -70.8664624 43.2637744)",
18873918,False,,,Linden Street,residential,,True,76.753,"LINESTRING (-70.866234 43.264867, -70.866182 43.265012, -70.866101 43.265136, -70.865961 43.265228, -70.865676 43.265394)",
1193608553,False,2,NH 9;NH 236,High Street,primary,30 mph,False,63.481,"LINESTRING (-70.8657891 43.2610114, -70.8661277 43.2604965)",
18872609,False,,,Grove Street,residential,,False,172.58900000000003,"LINESTRING (-70.8657891 43.2610114, -70.866868 43.261378, -70.867583 43.261605, -70.867732 43.261649)",
1193608553,False,2,NH 9;NH 236,High Street,primary,30 mph,True,87.816,"LINESTRING (-70.8657891 43.2610114, -70.865373 43.2616471, -70.8653225 43.2617243)",
18874137,False,,,Grand Street,residential,,False,63.408,"LINESTRING (-70.867732 43.261649, -70.8680612 43.2611316)",
18872609,False,,,Grove Street,residential,,False,175.428,"LINESTRING (-70.867732 43.261649, -70.869316 43.262167, -70.869502 43.262236, -70.869568 43.262277, -70.8696307 43.2623637)",
18872609,False,,,Grove Street,residential,,True,172.589,"LINESTRING (-70.867732 43.261649, -70.867583 43.261605, -70.866868 43.261378, -70.8657891 43.2610114)",
18874137,False,,,Grand Street,residential,,True,89.90100000000001,"LINESTRING (-70.867732 43.261649, -70.867419 43.262182, -70.8673279 43.2623594, -70.8673089 43.2623963)",
18873173,False,,,Pleasant Street,residential,,True,178.06199999999998,"LINESTRING (-70.8674624 43.2581048, -70.8673134 43.2580677, -70.8670998 43.2580351, -70.8669285 43.2580234, -70.8668354 43.2580523, -70.8655297 43.2586604)",
1193608554,False,2,NH 9,High Street,primary,30 mph,True,84.79,"LINESTRING (-70.8674624 43.2581048, -70.867259 43.258481, -70.8671601 43.2586816, -70.8671094 43.2588219)",
18873343,False,,,Highland Street,residential,,False,34.146,"LINESTRING (-70.8653225 43.2617243, -70.8654092 43.2617645, -70.8654376 43.2617776, -70.8656944 43.2618681)",
18873450,False,2,,Constitutional Way,unclassified,30 mph,False,184.379,"LINESTRING (-70.8653225 43.2617243, -70.8652453 43.2616572, -70.8652367 43.2616498, -70.865225 43.2616347, -70.8651204 43.2614991, -70.864576 43.260742, -70.864335 43.26042, -70.8643074 43.2603754, -70.864241 43.260268)",
18873980,False,2,NH 9;NH 236,High Street,primary,30 mph,True,113.191,"LINESTRING (-70.8653225 43.2617243, -70.8652722 43.2617994, -70.864924 43.262319, -70.8647543 43.2625717, -70.8647091 43.262639)",
1193608553,False,2,NH 9;NH 236,High Street,primary,30 mph,False,87.816,"LINESTRING (-70.8653225 43.2617243, -70.865373 43.2616471, -70.8657891 43.2610114)",
18873343,False,,,Highland Street,residential,,False,143.368,"LINESTRING (-70.8656944 43.2618681, -70.8658961 43.2619346, -70.8661051 43.2619962, -70.8668093 43.2622176, -70.8672481 43.2623746, -70.8673089 43.2623963)",
18873343,False,,,Highland Street,residential,,True,34.146,"LINESTRING (-70.8656944 43.2618681, -70.8654376 43.2617776, -70.8654092 43.2617645, -70.8653225 43.2617243)",
18873442,False,,,Lords Court,residential,,False,56.07899999999999,"LINESTRING (-70.8656944 43.2618681, -70.8656627 43.2619189, -70.86552 43.262148, -70.865476 43.262271, -70.865491 43.26234)",
18874137,False,,,Grand Street,residential,,True,82.073,"LINESTRING (-70.8673089 43.2623963, -70.866874 43.263063)",
18873343,False,,,Highland Street,residential,,False,46.25,"LINESTRING (-70.8673089 43.2623963, -70.8673782 43.2624206, -70.8676543 43.2625175, -70.867822 43.262579)",
18873343,False,,,Highland Street,residential,,True,143.368,"LINESTRING (-70.8673089 43.2623963, -70.8672481 43.2623746, -70.8668093 43.2622176, -70.8661051 43.2619962, -70.8658961 43.2619346, -70.8656944 43.2618681)",
18874137,False,,,Grand Street,residential,,False,89.90100000000001,"LINESTRING (-70.8673089 43.2623963, -70.8673279 43.2623594, -70.867419 43.262182, -70.867732 43.261649)",
18873343,False,,,Highland Street,residential,,False,35.204,"LINESTRING (-70.867822 43.262579, -70.868246 43.262649)",
18873343,False,,,Highland Street,residential,,True,46.25000000000001,"LINESTRING (-70.867822 43.262579, -70.8676543 43.2625175, -70.8673782 43.2624206, -70.8673089 43.2623963)",
18873348,False,,,Highland Street,residential,,False,16.895,"LINESTRING (-70.867822 43.262579, -70.867834 43.262638, -70.86788 43.262724)",
18873442,False,,,Lords Court,residential,,True,56.07899999999999,"LINESTRING (-70.865491 43.26234, -70.865476 43.262271, -70.86552 43.262148, -70.8656627 43.2619189, -70.8656944 43.2618681)",
18873980,False,2,NH 9;NH 236,High Street,primary,30 mph,True,18.853,"LINESTRING (-70.8641249 43.2635584, -70.8640523 43.2637195)",
18873528,False,,,Beacon Street,residential,,False,128.16,"LINESTRING (-70.8641249 43.2635584, -70.864237 43.2635767, -70.8642983 43.2635867, -70.8649305 43.2636409, -70.8654637 43.263689, -70.8654863 43.263691, -70.8655108 43.2636906, -70.8656947 43.2636878)",
18873980,False,2,NH 9;NH 236,High Street,primary,30 mph,False,84.957,"LINESTRING (-70.8641249 43.2635584, -70.8642804 43.2633052, -70.864415 43.2630909, -70.8645601 43.2628632)",
18874058,False,2,,Washington Street,tertiary,30 mph,False,72.127,"LINESTRING (-70.8634658 43.2605814, -70.863676 43.260523, -70.863768 43.260491, -70.863939 43.260418, -70.864241 43.260268)",
18874058,False,2,,Washington Street,tertiary,30 mph,True,77.62299999999999,"LINESTRING (-70.8634658 43.2605814, -70.8634149 43.2605952, -70.86299 43.26071, -70.862684 43.2607876, -70.862564 43.260818)",
18874288,False,,,Elm Street,residential,,False,86.98700000000001,"LINESTRING (-70.8634658 43.2605814, -70.8634397 43.2605194, -70.8634217 43.2604766, -70.863149 43.2598339)",
1150828283,False,2,ME 9,Saw Mill Hill,primary,25 mph,False,9.303,"LINESTRING (-70.8642307 43.2658821, -70.8643077 43.26582)",
11510061,False,2,ME 9,Saw Mill Hill,primary,25 mph,True,50.21,"LINESTRING (-70.8642307 43.2658821, -70.8641919 43.2658977, -70.8641699 43.2658978, -70.864132 43.2658979, -70.8639694 43.2658984, -70.8636171 43.2658793)",
232801539,True,,,Sullivan Street,tertiary,25 mph,False,53.444,"LINESTRING (-70.8642307 43.2658821, -70.864279 43.2659732, -70.8643124 43.2660407, -70.8643555 43.2661353, -70.8644149 43.2662566, -70.8644537 43.2663344)",
11527816,True,,,Eleanor's Way,tertiary,25 mph,False,34.452999999999996,"LINESTRING (-70.86475 43.2669871, -70.8648269 43.2670371, -70.8648769 43.2670571, -70.8648908 43.2670627, -70.8649537 43.2670732, -70.8650205 43.267068, -70.8651368 43.2670545)",
18873435,False,2,NH 9;NH 236,Market Street,primary,30 mph,False,33.222,"LINESTRING (-70.8640864 43.2645417, -70.8640659 43.2645001, -70.8640386 43.2643977, -70.864036 43.2643812, -70.8640154 43.2642484)",
18873435,False,2,NH 9;NH 236,Market Street,primary,30 mph,True,104.33199999999998,"LINESTRING (-70.8640864 43.2645417, -70.8641216 43.2646132, -70.8642322 43.264735, -70.8645985 43.2650714, -70.864678 43.265195, -70.8646888 43.2652258, -70.8647051 43.2652721, -70.864705 43.265343)",
"[318664072, 304237372, 318664069]",False,,,Canal Street,unclassified,,False,325.60900000000004,"LINESTRING (-70.8640864 43.2645417, -70.8639447 43.2645208, -70.8636808 43.2644817, -70.8636163 43.2644722, -70.86355 43.2644676, -70.8633975 43.2644561, -70.8633634 43.2644531, -70.8632933 43.2644259, -70.8632419 43.2643817, -70.8631999 43.2643001, -70.8631392 43.2641436, -70.8630692 43.2639362, -70.8629991 43.2637356, -70.8628964 43.2634941, -70.8628544 43.2633775, -70.8628123 43.2632833, -70.8627329 43.2631132, -70.8626466 43.2628892, -70.8626374 43.2628654, -70.8626162 43.2628105, -70.8625134 43.2626133, -70.8623406 43.2622018)",yes
"[318664072, 304237372, 318664069]",False,,,Canal Street,unclassified,,True,325.6089999999999,"LINESTRING (-70.8623406 43.2622018, -70.8625134 43.2626133, -70.8626162 43.2628105, -70.8626374 43.2628654, -70.8626466 43.2628892, -70.8627329 43.2631132, -70.8628123 43.2632833, -70.8628544 43.2633775, -70.8628964 43.2634941, -70.8629991 43.2637356, -70.8630692 43.2639362, -70.8631392 43.2641436, -70.8631999 43.2643001, -70.8632419 43.2643817, -70.8632933 43.2644259, -70.8633634 43.2644531, -70.8633975 43.2644561, -70.86355 43.2644676, -70.8636163 43.2644722, -70.8636808 43.2644817, -70.8639447 43.2645208, -70.8640864 43.2645417)",yes
