osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction
"[4740680, 110534367]",2,B5018,Union Street,secondary,False,False,294.44100000000003,"LINESTRING (-1.6343028 52.8042041, -1.6344026 52.8040451, -1.6347003 52.803534, -1.6348117 52.803321, -1.6348536 52.8032541, -1.6350821 52.8028798, -1.6351271 52.8028079, -1.6351736 52.8027336, -1.6353635 52.8024087, -1.6354314 52.8022999, -1.6357965 52.8017152)",,,
4740686,,B5416,Station Street,secondary,False,True,54.464,"LINESTRING (-1.6343028 52.8042041, -1.6344694 52.8042601, -1.6350054 52.804448)",,,
4740687,,,Station Street,tertiary,False,True,60.269000000000005,"LINESTRING (-1.6343028 52.8042041, -1.6340736 52.8041154, -1.6336451 52.8039613, -1.6335219 52.8039458)",,,
4740688,2,B5018,Guild Street,secondary,False,True,78.524,"LINESTRING (-1.6343028 52.8042041, -1.6342571 52.8042785, -1.633742 52.8048225)",,,
4740688,2,B5018,Guild Street,secondary,False,False,165.093,"LINESTRING (-1.6324687 52.8060921, -1.6331425 52.8054203, -1.633742 52.8048225)",,,
29197630,,,,unclassified,False,False,139.123,"LINESTRING (-1.6324687 52.8060921, -1.6316046 52.8057508, -1.6313238 52.8056399, -1.6312535 52.8056121, -1.6307218 52.8054216)",,,
4740694,,A511,,trunk,True,False,18.453,"LINESTRING (-1.626134 52.8069797, -1.626047 52.8071371)",30 mph,,
"[1105456184, 16301689, 880497738]","['3', '2']",,High Street,tertiary,False,True,187.844,"LINESTRING (-1.626134 52.8069797, -1.6262294 52.8068355, -1.6264416 52.8065148, -1.6265847 52.8063305, -1.6266889 52.8061964, -1.6267652 52.8061055, -1.6271527 52.8056435, -1.627315 52.80545)",30 mph,,
"[29124154, 29124155]",4,A511,Bridge Street,trunk,False,True,95.365,"LINESTRING (-1.624453 52.8068624, -1.6243061 52.8068417, -1.6238594 52.8067542, -1.6231 52.8066053)",30 mph,yes,
706040835,,A511,Bridge Street,trunk,True,False,48.82299999999999,"LINESTRING (-1.624453 52.8068624, -1.6247928 52.8069182, -1.6249251 52.806942, -1.6250181 52.8069527, -1.6251594 52.8069577)",30 mph,,
4740695,,A511,Bridge Street,trunk,True,False,31.204,"LINESTRING (-1.6251594 52.8069577, -1.6256226 52.8069763)",30 mph,,
4740695,,A511,Bridge Street,trunk,True,False,34.377,"LINESTRING (-1.6256226 52.8069763, -1.626134 52.8069797)",30 mph,,
29124158,,,,trunk_link,True,False,39.864,"LINESTRING (-1.6256226 52.8069763, -1.6259835 52.8070138, -1.6260416 52.8070517, -1.626047 52.8071371)",30 mph,,
"[29124154, 29124155]",4,A511,Bridge Street,trunk,False,False,95.365,"LINESTRING (-1.6231 52.8066053, -1.6238594 52.8067542, -1.6243061 52.8068417, -1.624453 52.8068624)",30 mph,yes,
4740687,,,Station Street,tertiary,False,False,95.793,"LINESTRING (-1.6323148 52.8034884, -1.6330673 52.8037621, -1.6335219 52.8039458)",,,
