osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
882255035,Avalon Boulevard,residential,False,True,13.02,"LINESTRING (-84.2764144 34.0707971, -84.276512 34.0707124)",,,,,
505627797,Avalon Boulevard,residential,False,False,131.02100000000002,"LINESTRING (-84.2764144 34.0707971, -84.2763101 34.0707939, -84.2762788 34.0707939, -84.274992 34.0707949)",,,,,
505627807,Avalon Boulevard,residential,True,False,157.09299999999996,"LINESTRING (-84.2764144 34.0707971, -84.2765277 34.0708603, -84.2765683 34.0708834, -84.2766177 34.0708925, -84.2766776 34.0708913, -84.2769738 34.0708856, -84.2779478 34.0708796, -84.2779843 34.0708555, -84.2780032 34.0708325, -84.2780222 34.0707866)",,,,,
9235685,,motorway_link,True,False,57.158,"LINESTRING (-84.2733197 34.0686181, -84.273191 34.0685769, -84.2731327 34.0685562, -84.2730922 34.0685406, -84.2730531 34.0685245, -84.273017 34.0685027, -84.2729836 34.0684779, -84.2729568 34.0684539, -84.2729354 34.0684276, -84.2729067 34.0683866, -84.2728631 34.0683063)",1,,,,
880052558,Old Milton Parkway,trunk,True,False,48.216,"LINESTRING (-84.2733197 34.0686181, -84.2729551 34.0686277, -84.2727965 34.0686318)",3,GA 120,45 mph,,
261997599,,motorway_link,True,False,43.791,"LINESTRING (-84.2726369 34.0690248, -84.272743 34.0689596, -84.2728001 34.068924, -84.272872 34.0688826, -84.2729168 34.0688568, -84.2730288 34.0688026)",1,,,,
483244413,,motorway_link,True,False,24.786,"LINESTRING (-84.2726369 34.0690248, -84.2726599 34.0689754, -84.272673 34.0689397, -84.2726813 34.0689116, -84.2726941 34.0688606, -84.2727059 34.0688099)",2,,,,
"[483244416, 9236229]",,motorway_link,True,False,386.183,"LINESTRING (-84.2703754 34.0719422, -84.2712784 34.0706987, -84.2715233 34.0703127, -84.2717808 34.0699606, -84.2721394 34.0695686, -84.2726369 34.0690248)","['1', '3']",,,,
335360039,,motorway_link,True,False,17.541,"LINESTRING (-84.2711604 34.0683795, -84.2710767 34.0685212)",3,,,,
483240753,,motorway_link,True,False,30.132,"LINESTRING (-84.2710767 34.0685212, -84.2710269 34.0685717, -84.2709719 34.0686128, -84.2709196 34.0686451, -84.27087 34.0686651, -84.2708176 34.0686757)",1,,,,
