osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,bridge,junction,ref
51217950,True,2,trunk,False,62.298,"LINESTRING (-79.064334 43.0880167, -79.0638208 43.0880407, -79.0635684 43.0880525)",,,,,
5715659,False,2,unclassified,False,143.99800000000002,"LINESTRING (-79.0648056 43.0859927, -79.0646809 43.0859975, -79.063133 43.0860573, -79.0630349 43.0860611)",Old Falls Street,,,,
586720706,True,2,secondary,False,110.613,"LINESTRING (-79.0648056 43.0859927, -79.0648154 43.0861099, -79.0648168 43.0861488, -79.064806 43.0861942, -79.0647947 43.0862166, -79.0647742 43.0862503, -79.0647423 43.0863019, -79.0646694 43.0864088, -79.0646549 43.0864314, -79.0646448 43.0864516, -79.0646405 43.0864715, -79.0646395 43.086501, -79.0646403 43.0865361, -79.0646646 43.0868495, -79.0646731 43.0869598)",Prospect Street,,,,
5715659,False,2,unclassified,True,143.998,"LINESTRING (-79.0630349 43.0860611, -79.063133 43.0860573, -79.0646809 43.0859975, -79.0648056 43.0859927)",Old Falls Street,,,,
49001355,False,2,unclassified,False,110.14999999999999,"LINESTRING (-79.0630349 43.0860611, -79.0629118 43.0860655, -79.0622861 43.0860883, -79.0622362 43.0860883, -79.0621922 43.086086, -79.0619677 43.0860671, -79.0619087 43.0860638, -79.0618582 43.0860637, -79.0616814 43.0860696)",Old Falls Street,,,,
776620428,False,2,secondary,False,35.21,"LINESTRING (-79.0630349 43.0860611, -79.0630316 43.0860191, -79.0630229 43.0859719, -79.0630163 43.0859453, -79.063008 43.0859161, -79.0629931 43.0858638, -79.062975 43.085808, -79.0629539 43.0857507)",Rainbow Boulevard,,,,
776620428,False,2,secondary,True,107.155,"LINESTRING (-79.0630349 43.0860611, -79.0630421 43.0861732, -79.0630859 43.0868505, -79.0630971 43.0870237)",Rainbow Boulevard,,,,
5717925,False,,unclassified,False,211.966,"LINESTRING (-79.0616814 43.0860696, -79.0590751 43.0861729)",Old Falls Street,20 mph,,,
49001355,False,2,unclassified,True,110.14999999999999,"LINESTRING (-79.0616814 43.0860696, -79.0618582 43.0860637, -79.0619087 43.0860638, -79.0619677 43.0860671, -79.0621922 43.086086, -79.0622362 43.0860883, -79.0622861 43.0860883, -79.0629118 43.0860655, -79.0630349 43.0860611)",Old Falls Street,,,,
"[981021808, 51217939]",False,"['3', '2']",secondary,False,237.83600000000004,"LINESTRING (-79.0616814 43.0860696, -79.0617212 43.0867467, -79.0617522 43.0872758, -79.0617688 43.0875582, -79.0617708 43.0875918, -79.0617779 43.0877144, -79.0618237 43.0880815, -79.0618294 43.0882054)",1st Street,30 mph,,,
51217939,False,2,secondary,True,110.898,"LINESTRING (-79.0616814 43.0860696, -79.061674 43.0859426, -79.0616452 43.0854527, -79.0616326 43.0852387, -79.0616229 43.0850732)",1st Street,30 mph,,,
5717231,False,,residential,False,133.46,"LINESTRING (-79.0602423 43.0841476, -79.0603003 43.0850119, -79.0603227 43.0853464)",2nd Street,,,,
33179313,False,,secondary,False,113.248,"LINESTRING (-79.0602423 43.0841476, -79.0599725 43.0840442, -79.0596511 43.083921, -79.0595878 43.0838967, -79.0594875 43.0838583, -79.0593616 43.0838122, -79.0592348 43.0837673, -79.059104 43.0837239, -79.0589967 43.0836905)",Rainbow Boulevard,30 mph,,,
33179313,False,,secondary,True,54.28,"LINESTRING (-79.0602423 43.0841476, -79.0604764 43.0842389, -79.0607719 43.0843599, -79.0608278 43.084383)",Rainbow Boulevard,30 mph,,,
33179291,True,,secondary,False,118.112,"LINESTRING (-79.0589967 43.0836905, -79.05895 43.0836564, -79.0589121 43.0836348, -79.0588707 43.0836165, -79.0588231 43.0835996, -79.0587671 43.0835851, -79.0586294 43.0835575, -79.0584919 43.0835357, -79.0583422 43.0835167, -79.0582117 43.0835034, -79.0581925 43.0835014, -79.0580446 43.0834906, -79.057895 43.0834841, -79.0577428 43.0834822, -79.0576006 43.0834835)",Rainbow Boulevard,30 mph,,,
33179313,False,,secondary,True,113.248,"LINESTRING (-79.0589967 43.0836905, -79.059104 43.0837239, -79.0592348 43.0837673, -79.0593616 43.0838122, -79.0594875 43.0838583, -79.0595878 43.0838967, -79.0596511 43.083921, -79.0599725 43.0840442, -79.0602423 43.0841476)",Rainbow Boulevard,30 mph,,,
178872179,False,2,tertiary,True,173.048,"LINESTRING (-79.0589967 43.0836905, -79.0589617 43.0837464, -79.058942 43.0837815, -79.0589294 43.0838187, -79.0589218 43.0838563, -79.0589201 43.0838982, -79.0589671 43.0845565, -79.0589826 43.0847744, -79.0590155 43.085235)",3rd Street,,,,
178872180,False,2,residential,True,123.481,"LINESTRING (-79.0589967 43.0836905, -79.059032 43.0836348, -79.059064 43.0835881, -79.0590961 43.0835422, -79.0592054 43.0833898, -79.0593268 43.0832204, -79.0597032 43.0827073)",3rd Street,,,,
1122448110,False,2,unclassified,False,12.501,"LINESTRING (-79.0576077 43.0835958, -79.0576006 43.0834835)",4th Street,30 mph,,,
51217968,True,2,secondary,False,113.51800000000001,"LINESTRING (-79.0576077 43.0835958, -79.0577323 43.0835934, -79.0578787 43.083595, -79.0580287 43.0836015, -79.0580958 43.0836065, -79.0581775 43.0836126, -79.0583338 43.0836265, -79.0584969 43.0836443, -79.0585071 43.0836454, -79.0586671 43.0836646, -79.0588412 43.0836838, -79.0589075 43.0836891, -79.0589513 43.0836911, -79.0589967 43.0836905)",Rainbow Boulevard,30 mph,,,
393288732,False,2,unclassified,True,188.475,"LINESTRING (-79.0576077 43.0835958, -79.0576136 43.08369, -79.0576344 43.0840204, -79.0576594 43.0844173, -79.0576651 43.0845066, -79.0576776 43.084705, -79.05771 43.0852204, -79.0577144 43.085289)",4th Street,30 mph,,,
5717812,False,2,unclassified,True,12.867,"LINESTRING (-79.0562978 43.0836486, -79.0562908 43.083533)",5th Street,,,,
5717812,False,2,unclassified,False,190.317,"LINESTRING (-79.0562978 43.0836486, -79.0563034 43.0837414, -79.0563049 43.0837665, -79.056366 43.0847793, -79.0563704 43.0848532, -79.0564009 43.0853585)",5th Street,,,,
51217968,True,2,secondary,False,106.542,"LINESTRING (-79.0562978 43.0836486, -79.0574034 43.0836025, -79.0575084 43.0835988, -79.0576077 43.0835958)",Rainbow Boulevard,30 mph,,,
178872179,False,2,tertiary,True,104.402,"LINESTRING (-79.0590155 43.085235, -79.0590751 43.0861729)",3rd Street,,,,
178872179,False,2,tertiary,False,173.048,"LINESTRING (-79.0590155 43.085235, -79.0589826 43.0847744, -79.0589671 43.0845565, -79.0589201 43.0838982, -79.0589218 43.0838563, -79.0589294 43.0838187, -79.058942 43.0837815, -79.0589617 43.0837464, -79.0589967 43.0836905)",3rd Street,,,,
1122154791,False,2,unclassified,False,105.832,"LINESTRING (-79.0590155 43.085235, -79.0586199 43.0852514, -79.0577144 43.085289)",Duggan Drive,,,,
5715937,False,2,unclassified,False,107.108,"LINESTRING (-79.0577144 43.085289, -79.0575352 43.0853163, -79.0574101 43.0853236, -79.0573269 43.0853267, -79.0566266 43.0853528, -79.0564009 43.0853585)",Duggan Drive,,,,
393288732,False,2,unclassified,False,188.475,"LINESTRING (-79.0577144 43.085289, -79.05771 43.0852204, -79.0576776 43.084705, -79.0576651 43.0845066, -79.0576594 43.0844173, -79.0576344 43.0840204, -79.0576136 43.08369, -79.0576077 43.0835958)",4th Street,30 mph,,,
1122154791,False,2,unclassified,True,105.832,"LINESTRING (-79.0577144 43.085289, -79.0586199 43.0852514, -79.0590155 43.085235)",Duggan Drive,,,,
178872180,False,2,residential,False,123.481,"LINESTRING (-79.0597032 43.0827073, -79.0593268 43.0832204, -79.0592054 43.0833898, -79.0590961 43.0835422, -79.059064 43.0835881, -79.059032 43.0836348, -79.0589967 43.0836905)",3rd Street,,,,
1097503263,False,2,residential,False,233.396,"LINESTRING (-79.0597032 43.0827073, -79.059939 43.0827936, -79.0607386 43.0831063, -79.0609682 43.0831948, -79.0611764 43.083275, -79.0621908 43.0836659, -79.0622449 43.0836868)",Buffalo Avenue,,,,
