osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,junction,maxspeed
16482756,West Smith Street,residential,False,False,211.85399999999998,"LINESTRING (-78.7037883 34.3376286, -78.7042619 34.3376879, -78.7044803 34.3377152, -78.704784 34.3377532, -78.7048036 34.3377557, -78.7051857 34.3378064, -78.7053509 34.3378266, -78.7054478 34.3378384, -78.7056124 34.3378547, -78.7058048 34.3378753, -78.7060719 34.3378996)",,,,
16484106,Madison Street,secondary,False,False,69.19399999999999,"LINESTRING (-78.7037883 34.3376286, -78.703777 34.3376895, -78.7036996 34.3381065, -78.7036742 34.3382437)",US 701 Business,,,
16487329,East Smith Street,residential,False,True,253.286,"LINESTRING (-78.7037883 34.3376286, -78.7032028 34.3375544, -78.7030239 34.3375318, -78.7028503 34.3375098, -78.7018597 34.3373843, -78.7010616 34.3372832)",,,,
16487379,North Madison Street,secondary,False,True,121.99999999999999,"LINESTRING (-78.7037883 34.3376286, -78.703871 34.3371651, -78.7039628 34.3366504, -78.7039789 34.3365428)",US 701 Business,,,
16484453,Smith Street,residential,False,False,55.896,"LINESTRING (-78.7060719 34.3378996, -78.7066737 34.3379755)",,,,
819993650,North Lee Street,residential,False,True,118.362,"LINESTRING (-78.7060719 34.3378996, -78.706253 34.3368457)",,,,
16482756,West Smith Street,residential,False,True,211.85399999999998,"LINESTRING (-78.7060719 34.3378996, -78.7058048 34.3378753, -78.7056124 34.3378547, -78.7054478 34.3378384, -78.7053509 34.3378266, -78.7051857 34.3378064, -78.7048036 34.3377557, -78.704784 34.3377532, -78.7044803 34.3377152, -78.7042619 34.3376879, -78.7037883 34.3376286)",,,,
819993650,North Lee Street,residential,False,False,128.377,"LINESTRING (-78.7060719 34.3378996, -78.7059725 34.3384105, -78.7059041 34.338762, -78.7058682 34.3389467, -78.7058501 34.3390395)",,,,
238573984,Pinckney Street,secondary,False,False,117.538,"LINESTRING (-78.7030101 34.3419156, -78.7028119 34.3429599)",US 701 Business,,,
238573984,Pinckney Street,secondary,False,True,109.786,"LINESTRING (-78.7030101 34.3419156, -78.7031767 34.3409379)",US 701 Business,,,
16483143,West Oliver Street,residential,False,False,214.753,"LINESTRING (-78.7030101 34.3419156, -78.7032053 34.3419033, -78.7053452 34.3420026)",,,,
16485180,East Oliver Street,residential,False,True,255.749,"LINESTRING (-78.7030101 34.3419156, -78.7028341 34.3419087, -78.700251 34.3416038)",,,,
16483143,West Oliver Street,residential,False,False,105.328,"LINESTRING (-78.7053452 34.3420026, -78.7064902 34.3420614)",,,,
819993650,North Lee Street,residential,False,False,135.138,"LINESTRING (-78.7053452 34.3420026, -78.7051238 34.3432041)",,,,
819993650,North Lee Street,residential,False,True,86.336,"LINESTRING (-78.7053452 34.3420026, -78.7054521 34.3412312)",,,,
16483143,West Oliver Street,residential,False,True,214.753,"LINESTRING (-78.7053452 34.3420026, -78.7032053 34.3419033, -78.7030101 34.3419156)",,,,
16486737,James Street,residential,False,True,10.386,"LINESTRING (-78.7064905 34.3421548, -78.7064902 34.3420614)",,,,
16484293,East Church Street,residential,False,False,220.079,"LINESTRING (-78.7015078 34.334872, -78.7038892 34.3350964)",,,,
16483231,North Franklin Street,residential,False,False,150.642,"LINESTRING (-78.7015078 34.334872, -78.7014246 34.335256, -78.7013789 34.3355075, -78.701259 34.3362109)",,,,
16484293,East Church Street,residential,False,True,274.869,"LINESTRING (-78.7015078 34.334872, -78.7013163 34.3348505, -78.6985567 34.3344577)",,,,
16483231,North Franklin Street,residential,False,False,120.604,"LINESTRING (-78.701259 34.3362109, -78.7010616 34.3372832)",,,,
