osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,width
764842622,Bowden Street,residential,25 mph,False,False,22.264,"LINESTRING (-78.7760974 35.7916431, -78.7760906 35.7917269, -78.7761057 35.7918425)",,,
"[18888885, 764842622]",Bowden Street,residential,25 mph,False,True,120.729,"LINESTRING (-78.7760974 35.7916431, -78.776189 35.791489, -78.7762555 35.7913281, -78.7763811 35.7910243, -78.7765475 35.7906218)",,,
18915781,Chapel Hill Road,secondary,45 mph,False,True,197.595,"LINESTRING (-78.7761057 35.7918425, -78.7768042 35.7916656, -78.7768821 35.7916464, -78.7770128 35.7916143, -78.7771266 35.7915914, -78.7773262 35.7915513, -78.7776094 35.7915032, -78.7777975 35.7914765, -78.7779257 35.7914583, -78.7782304 35.7914236)",,,
764842622,Bowden Street,residential,25 mph,False,True,22.264,"LINESTRING (-78.7761057 35.7918425, -78.7760906 35.7917269, -78.7760974 35.7916431)",,,
18891147,South Harrison Avenue,tertiary,25 mph,False,True,11.62,"LINESTRING (-78.7833258 35.7850601, -78.7833264 35.7849556)",,,
18891147,South Harrison Avenue,tertiary,25 mph,False,False,237.672,"LINESTRING (-78.7833258 35.7850601, -78.7833259 35.7851121, -78.7833269 35.7856584, -78.7833273 35.785855, -78.7833278 35.7861288, -78.7833285 35.7862243, -78.7833295 35.7863545, -78.7833314 35.7866144, -78.7833319 35.7866282, -78.7833374 35.7867891, -78.7833484 35.7871104, -78.7833514 35.7871973)",,,
390919666,West Park Street,residential,25 mph,False,False,188.985,"LINESTRING (-78.7833258 35.7850601, -78.7825468 35.7850664, -78.7813436 35.7850762, -78.7812308 35.7850771)",,,
18891147,South Harrison Avenue,tertiary,25 mph,False,True,237.672,"LINESTRING (-78.7833514 35.7871973, -78.7833484 35.7871104, -78.7833374 35.7867891, -78.7833319 35.7866282, -78.7833314 35.7866144, -78.7833295 35.7863545, -78.7833285 35.7862243, -78.7833278 35.7861288, -78.7833273 35.785855, -78.7833269 35.7856584, -78.7833259 35.7851121, -78.7833258 35.7850601)",,,
"[18898762, 32345399]","['South Harrison Avenue', 'North Harrison Avenue']",secondary,35 mph,False,True,132.033,"LINESTRING (-78.7833514 35.7871973, -78.7833388 35.7873133, -78.7833037 35.7876367, -78.7832989 35.787681, -78.7832891 35.7877712, -78.7832763 35.7878918, -78.7832778 35.7880188, -78.783282 35.788382)",SR 1652,,
200525787,West Chatham Street,secondary,25 mph,False,False,193.52199999999996,"LINESTRING (-78.7833514 35.7871973, -78.7832028 35.7872059, -78.7825105 35.7872503, -78.7822356 35.7872666, -78.7821099 35.787274, -78.7817981 35.7872918, -78.781354 35.7873171, -78.781212 35.7873276)",,,
