osmid,oneway,name,highway,reversed,length,ref,geometry,bridge
11591491,True,Somerset Street,residential,False,46.049,,"LINESTRING (-75.1193119 39.8951553, -75.1197785 39.8953635)",
11596261,False,South Johnson Boulevard,tertiary,True,21.889,,"LINESTRING (-75.1131767 39.8917381, -75.113397 39.891839)",
11594813,True,Atlantic Street,residential,False,70.608,,"LINESTRING (-75.1214178 39.8961766, -75.121877 39.8956483)",
585515495,False,South Broadway,primary,False,79.138,CR 551,"LINESTRING (-75.1203707 39.8956572, -75.120375 39.8949455)",
360917508,True,Somerset Street,residential,False,106.37200000000001,,"LINESTRING (-75.1203707 39.8956572, -75.1209366 39.8959379, -75.1211195 39.8960286, -75.1212703 39.8961034, -75.1214178 39.8961766)",
11595883,True,South Champion Road,residential,False,68.882,,"LINESTRING (-75.1197785 39.8953635, -75.1193417 39.8958845)",
360917508,True,Somerset Street,residential,False,60.157,,"LINESTRING (-75.1197785 39.8953635, -75.1203707 39.8956572)",
11591493,False,Somerset Street,residential,False,82.257,,"LINESTRING (-75.117554 39.894228, -75.116748 39.893822)",
11599320,False,Washington Avenue,residential,False,36.105,,"LINESTRING (-75.117554 39.894228, -75.1176937 39.8939215)",
11591493,False,Somerset Street,residential,True,110.464,,"LINESTRING (-75.117554 39.894228, -75.1177994 39.8943513, -75.117942 39.894423, -75.118439 39.8946853, -75.1185288 39.8947954, -75.1185237 39.8948401)",
11591493,False,Somerset Street,residential,True,82.257,,"LINESTRING (-75.116748 39.893822, -75.117554 39.894228)",
11600080,False,South Brown Street,residential,True,88.36,,"LINESTRING (-75.116748 39.893822, -75.1167177 39.8946163)",
608232261,True,Somerset Street,residential,False,215.958,,"LINESTRING (-75.116748 39.893822, -75.115061 39.892973, -75.114619 39.892772)",
608232262,False,South Brown Street,residential,False,83.57900000000001,,"LINESTRING (-75.116748 39.893822, -75.116754 39.893492, -75.116733 39.8930707)",
11596261,False,South Johnson Boulevard,tertiary,False,83.85499999999999,,"LINESTRING (-75.114619 39.892772, -75.114522 39.892649, -75.114259 39.892393, -75.114059 39.892231, -75.1139991 39.8921905)",
11596261,False,South Johnson Boulevard,tertiary,True,113.831,,"LINESTRING (-75.114619 39.892772, -75.114697 39.892902, -75.114853 39.893213, -75.114918 39.893385, -75.114946 39.893528, -75.1149686 39.893751)",
11597326,False,Baynes Avenue,residential,True,128.376,,"LINESTRING (-75.1122398 39.8879829, -75.1119055 39.8884142, -75.1118834 39.8884549, -75.1118614 39.8884964, -75.1118412 39.8885501, -75.111825 39.8886014, -75.111813 39.888704, -75.111784 39.888867, -75.111784 39.888985, -75.111796 39.889054)",
62089043,False,Market Street,tertiary,False,87.166,CR 634,"LINESTRING (-75.1122398 39.8879829, -75.1126533 39.8882139, -75.1126848 39.8882322, -75.1130605 39.8884497)",
62089043,False,Market Street,tertiary,False,68.311,CR 634,"LINESTRING (-75.1130605 39.8884497, -75.1136892 39.8888301)",
11596364,False,Amon Avenue,residential,True,132.014,,"LINESTRING (-75.1130605 39.8884497, -75.112724 39.888768, -75.112621 39.888835, -75.112493 39.888896, -75.112357 39.888935, -75.111983 39.88902, -75.111796 39.889054)",
62089043,False,Market Street,tertiary,True,87.166,CR 634,"LINESTRING (-75.1130605 39.8884497, -75.1126848 39.8882322, -75.1126533 39.8882139, -75.1122398 39.8879829)",
62089043,False,Market Street,tertiary,True,68.311,CR 634,"LINESTRING (-75.1136892 39.8888301, -75.1130605 39.8884497)",
11591989,False,Hickman Avenue,residential,True,169.083,,"LINESTRING (-75.1136892 39.8888301, -75.11341 39.889105, -75.113242 39.8892806, -75.1131281 39.8894031, -75.1130521 39.8894548, -75.1129803 39.8894863, -75.1128554 39.8895353, -75.1127428 39.8895656, -75.1121515 39.8896589)",
62089043,False,Market Street,tertiary,False,70.804,CR 634,"LINESTRING (-75.1136892 39.8888301, -75.1139689 39.8889959, -75.1143484 39.8892169)",
62089043,False,Market Street,tertiary,False,65.961,CR 634,"LINESTRING (-75.1143484 39.8892169, -75.1149562 39.8895835)",
