osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,access,bridge,tunnel
"[460624365, 1052686445]",True,"['3', '2']",Church Street,secondary,25 mph,False,86.882,"LINESTRING (-74.0116583 40.7096669, -74.0116042 40.7097461, -74.0115619 40.7098075, -74.0115309 40.7098636, -74.0115086 40.7099101, -74.0114818 40.7099523, -74.0113731 40.7101198, -74.0112785 40.7102648, -74.0112429 40.7103165, -74.0112079 40.7103692)",,,,
"[1126410242, 460624363]",False,2,Liberty Street,unclassified,25 mph,"[False, True]",106.88999999999999,"LINESTRING (-74.0116583 40.7096669, -74.0116015 40.7096408, -74.0115886 40.7096349, -74.0106482 40.7092023, -74.0105706 40.7091731)",,,,
"[1126410242, 460624363]",False,2,Liberty Street,unclassified,25 mph,"[False, True]",106.88999999999999,"LINESTRING (-74.0105706 40.7091731, -74.0106482 40.7092023, -74.0115886 40.7096349, -74.0116015 40.7096408, -74.0116583 40.7096669)",,,,
1127576633,True,1,Liberty Street,residential,25 mph,False,117.527,"LINESTRING (-74.0105706 40.7091731, -74.0104927 40.7091457, -74.0104416 40.7091252, -74.0096155 40.7087461, -74.0094818 40.7086795, -74.0094455 40.7086607, -74.0093797 40.7086249)",,,,
1149014898,True,2,Broadway,secondary,25 mph,False,46.185,"LINESTRING (-74.0105706 40.7091731, -74.010628 40.7091033, -74.0108222 40.7088672, -74.0108604 40.7088206)",,,,
1135576553,True,1,Nassau Street,residential,25 mph,False,63.239000000000004,"LINESTRING (-74.0093797 40.7086249, -74.0093374 40.7086653, -74.0093038 40.7086967, -74.0089448 40.7090153, -74.0088957 40.7090594)",,,,
5670703,True,1,Dover Street,secondary,25 mph,False,105.235,"LINESTRING (-74.001657 40.7094916, -74.0016279 40.7094292, -74.0016012 40.7093954, -74.0008364 40.7087864)",,,,
"[194923778, 1135361330]",False,5,Pearl Street,primary,25 mph,False,101.19099999999999,"LINESTRING (-74.001657 40.7094916, -74.0017345 40.7094292, -74.0018086 40.7093738, -74.0021248 40.7091344, -74.0024522 40.7088867, -74.002503 40.708846)",,,,
414743582,False,,Frankfort Street,secondary,25 mph,True,158.859,"LINESTRING (-74.001657 40.7094916, -74.0017847 40.7095853, -74.0023784 40.7100525, -74.0024423 40.7101038, -74.0029673 40.7105184)",,,,
524361790,False,4,Pearl Street,primary,25 mph,False,15.532,"LINESTRING (-74.001657 40.7094916, -74.001619 40.7095243, -74.0015788 40.7095666, -74.0015481 40.7096039)",,,,
"[5672410, 5671543]",True,1,"['Hogan Place', 'Baxter Street']",residential,25 mph,False,112.56200000000001,"LINESTRING (-74.0005026 40.7143955, -74.0004911 40.7144108, -74.0004805 40.7144288, -74.0004735 40.7144474, -74.0004706 40.7144611, -74.0004661 40.7144828, -74.0004658 40.7145043, -74.0005231 40.715148, -74.000526 40.7151572, -74.0005314 40.7151664, -74.0005412 40.715173, -74.0005516 40.7151795, -74.0005755 40.7151912, -74.0007903 40.7152927)",,,,
414751576,False,2,Worth Street,residential,25 mph,False,159.98000000000002,"LINESTRING (-74.0005026 40.7143955, -74.0005958 40.714442, -74.0011476 40.7147059, -74.0020107 40.7151119, -74.0021128 40.7151572)",,,,
"[652875877, 480682390, 5669631]",True,1,Spruce Street,residential,25 mph,False,215.61299999999997,"LINESTRING (-74.0058474 40.7116883, -74.0058167 40.71166, -74.0056719 40.7115274, -74.0056076 40.7114677, -74.0053968 40.7112718, -74.0051452 40.7110418, -74.0050914 40.7109897, -74.0043205 40.7102537, -74.0042431 40.7101781)",,,,
480682391,False,2,Gold Street,residential,25 mph,True,35.537,"LINESTRING (-74.0042431 40.7101781, -74.0041872 40.7102264, -74.003965 40.7104183)",,,,
480682392,False,,Gold Street,residential,25 mph,False,75.149,"LINESTRING (-74.0042431 40.7101781, -74.0042988 40.7101294, -74.0044324 40.7100085, -74.0046859 40.7097856, -74.0047833 40.7097015, -74.004822 40.7096642)",,,,
40956098,True,2,Centre Street,secondary,25 mph,False,63.062,"LINESTRING (-74.0035657 40.7135883, -74.0035151 40.7136381, -74.0034742 40.7136758, -74.0034211 40.7137243, -74.0033619 40.7137734, -74.003297 40.7138205, -74.0032414 40.713857, -74.003181 40.7138925, -74.003111 40.7139287, -74.0030237 40.7139735)",,,,
"[5671314, 986838188]",True,1,Reade Street,unclassified,25 mph,False,11.089,"LINESTRING (-74.0035657 40.7135883, -74.0035697 40.7136009, -74.0035778 40.7136149, -74.0035891 40.7136264, -74.0036108 40.713643, -74.003649 40.7136604)",,,,
"[1135342276, 194923798]",False,3,Worth Street,residential,25 mph,"[False, True]",91.486,"LINESTRING (-74.0021128 40.7151572, -74.0021902 40.7151941, -74.0022433 40.7152194, -74.0025842 40.7153816, -74.0029028 40.7155372, -74.0029457 40.715555, -74.0030368 40.7155879)",,,,
414751576,False,2,Worth Street,residential,25 mph,True,159.98000000000002,"LINESTRING (-74.0021128 40.7151572, -74.0020107 40.7151119, -74.0011476 40.7147059, -74.0005958 40.714442, -74.0005026 40.7143955)",,,,
1238742498,True,1,Centre Street,secondary,25 mph,False,75.36,"LINESTRING (-74.0021128 40.7151572, -74.0020666 40.7152199, -74.0017335 40.715682, -74.0016876 40.7157533)",,,,
