osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,junction
37392221,2,Via Real,secondary,25 mph,False,False,286.889,"LINESTRING (-119.5131645 34.3993095, -119.5132388 34.3993751, -119.5133939 34.3995107, -119.5135058 34.3996066, -119.5136201 34.3997004, -119.5137633 34.3998138, -119.5139617 34.3999637, -119.5141244 34.4000813, -119.5142776 34.4001868, -119.5144654 34.400311, -119.5146539 34.4004311, -119.5151449 34.400742, -119.5152825 34.4008302, -119.5153781 34.4008915, -119.5154223 34.4009211, -119.5154614 34.4009523, -119.515487 34.4009796, -119.515509 34.4010072)",,,
16258625,2,Ogan Road,residential,25 mph,False,False,15.096,"LINESTRING (-119.5148382 34.4012809, -119.5147601 34.4012651, -119.514723 34.4012573, -119.5146787 34.4012476)",,,
939745479,1,Ogan Road,residential,25 mph,True,False,51.466,"LINESTRING (-119.5148382 34.4012809, -119.5150725 34.4013542, -119.5152024 34.4013903, -119.5152487 34.4014047, -119.5152649 34.4014111, -119.5152833 34.4014198, -119.5153175 34.401442, -119.5153483 34.4014645)",,,
"[37392225, 1033113293]",2,Linden Avenue,secondary,25 mph,False,False,136.99899999999997,"LINESTRING (-119.5165713 34.4007874, -119.5165143 34.4008908, -119.516473 34.4009848, -119.5164147 34.401128, -119.5163724 34.4012366, -119.5163376 34.401339, -119.5162754 34.4015168, -119.5162406 34.4016639, -119.5162109 34.4017948, -119.516185 34.4019724)",yes,,
70348877,2,Linden Avenue,secondary,25 mph,False,True,87.00200000000001,"LINESTRING (-119.5165713 34.4007874, -119.5166232 34.4006908, -119.516754 34.4004808, -119.5168028 34.4004058, -119.5168785 34.4003025, -119.5169516 34.4002081, -119.5170376 34.4001079)",,,
"[939751275, 16244047]","['1', '2']",,motorway_link,,True,False,304.049,"LINESTRING (-119.519579 34.4018976, -119.5191559 34.4017586, -119.5188123 34.4016468, -119.5185803 34.4015868, -119.5182852 34.4014934, -119.5181169 34.401441, -119.5179576 34.4013956, -119.517788 34.4013499, -119.5176468 34.4013116, -119.517552 34.4012817, -119.5174541 34.4012465, -119.5173367 34.401199, -119.5172385 34.4011566, -119.5171419 34.4011113, -119.5170437 34.4010604, -119.5169478 34.4010066, -119.5168496 34.4009475, -119.5166709 34.4008334, -119.5166548 34.4008262, -119.5165713 34.4007874)",,,
1159315502,3,US 101 Freeway,motorway,65 mph,True,False,588.462,"LINESTRING (-119.519579 34.4018976, -119.5188273 34.4017428, -119.518123 34.4015905, -119.5175154 34.4014162, -119.5172128 34.4013257, -119.5167457 34.401162, -119.5163587 34.4009991, -119.5159035 34.4007921, -119.515415 34.4005291, -119.5149255 34.4002404, -119.5145759 34.4000071, -119.514276 34.3997839, -119.5139474 34.3995354)",,US 101,
16249461,,Sixth Place,residential,,False,False,79.91,"LINESTRING (-119.5223073 34.3974157, -119.5216829 34.3969147)",,,
933837330,,Elm Avenue,residential,,False,False,69.564,"LINESTRING (-119.5223073 34.3974157, -119.5217711 34.397858)",,,
933837330,,Elm Avenue,residential,,False,True,58.744,"LINESTRING (-119.5223073 34.3974157, -119.5227887 34.3970674)",,,
16249461,,Sixth Place,residential,,False,True,79.91,"LINESTRING (-119.5216829 34.3969147, -119.5223073 34.3974157)",,,
16254290,,Nipomo Drive,residential,,False,False,79.888,"LINESTRING (-119.5191888 34.4025193, -119.5183437 34.4023462)",,,
16258654,,Sixth Street,residential,,False,True,110.024,"LINESTRING (-119.519588 34.394811, -119.5200331 34.3951859, -119.5204273 34.3955177)",,,
"[351709822, 16249599]",,"['Maple Avenue', 'Walnut Avenue']",residential,,False,"[False, True]",323.846,"LINESTRING (-119.519588 34.394811, -119.520479 34.394091, -119.5206586 34.3942441, -119.5209482 34.3945476, -119.5211125 34.394778, -119.5211883 34.394893, -119.5207245 34.3952735, -119.5204273 34.3955177)",,,
