osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,access,bridge,ref,junction
17350705,North School Street,residential,False,False,44.436,"LINESTRING (-86.012408 39.955083, -86.0124135 39.9553789, -86.0124082 39.955415, -86.0123947 39.9554447, -86.0123759 39.9554776)",,,,,,
"[17352488, 17351634]",Fishers Center Drive,residential,False,"[False, True]",217.06599999999995,"LINESTRING (-86.0179994 39.958566, -86.0180888 39.9585208, -86.0181274 39.9584981, -86.0181659 39.9584753, -86.0184263 39.9582818, -86.0184901 39.9582474, -86.0185276 39.9582322, -86.0185651 39.9582171, -86.018577 39.9582117, -86.0186821 39.9581636, -86.0186548 39.9581067, -86.0186498 39.9580554, -86.0186509 39.9574038, -86.0186718 39.957282, -86.0186745 39.9570392, -86.0186733 39.9569887, -86.0186721 39.9569383, -86.0186707 39.9568803)",,,,,,
17371151,Municipal Drive,residential,False,True,68.03699999999999,"LINESTRING (-86.0179994 39.958566, -86.0179286 39.9584965, -86.0178141 39.958415, -86.0177007 39.9583425, -86.0175848 39.958289, -86.0174662 39.9582521, -86.0173556 39.9582253)",25 mph,,,,,
17363723,Meadows Drive,residential,False,False,49.537,"LINESTRING (-86.0152113 39.9513868, -86.0152105 39.9518323)",25 mph,,,,,
17353398,Royal Drive,residential,False,True,60.42099999999999,"LINESTRING (-86.0152113 39.9513868, -86.0157045 39.9513819, -86.0159187 39.9513632)",25 mph,,,,,
17353637,Salatheal Court,residential,False,False,56.31,"LINESTRING (-86.0182612 39.9523515, -86.0183345 39.9523805, -86.0188482 39.9525838)",25 mph,,,,,
17365653,Autumn Harvest Drive,residential,False,False,58.44799999999999,"LINESTRING (-86.0182612 39.9523515, -86.0182689 39.9523402, -86.0184882 39.952019, -86.0185361 39.95194, -86.0185671 39.9518814)",25 mph,,,,,
17365653,Autumn Harvest Drive,residential,False,True,65.035,"LINESTRING (-86.0182612 39.9523515, -86.0182488 39.9523699, -86.0179216 39.9528558, -86.0179112 39.9528712)",25 mph,,,,,
17353637,Salatheal Court,residential,False,True,56.31,"LINESTRING (-86.0188482 39.9525838, -86.0183345 39.9523805, -86.0182612 39.9523515)",25 mph,,,,,
17353857,Appel Drive,residential,False,True,54.674,"LINESTRING (-86.013143 39.9512412, -86.0137844 39.9512415)",25 mph,,,,,
413040749,Lantern Road,tertiary,False,False,104.488,"LINESTRING (-86.0132688 39.9577407, -86.0132667 39.957422, -86.0132713 39.9572203, -86.0132727 39.9571543, -86.0132788 39.9569478, -86.0132833 39.9569044, -86.0132984 39.9568019)",25 mph,2,,,,
413040749,Lantern Road,tertiary,False,True,60.763,"LINESTRING (-86.0132688 39.9577407, -86.013278 39.9582182, -86.013285 39.9582869)",25 mph,2,,,,
543906899,Station Street,residential,False,False,99.773,"LINESTRING (-86.0132688 39.9577407, -86.0133848 39.9577408, -86.0135639 39.9577409, -86.0137866 39.9577411, -86.0138942 39.9577412, -86.0144394 39.9577416)",25 mph,,,,,
17361456,Maple Street,residential,False,False,65.821,"LINESTRING (-86.0144394 39.9577416, -86.0144449 39.9581097, -86.0144468 39.9582406, -86.0144482 39.9583335)",25 mph,,,,,
