osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry
9043773,True,2,North Water Street,secondary,40 mph,9.1,False,35.105,"LINESTRING (-70.5114078 41.3901837, -70.511058 41.390234, -70.5109945 41.3902431)"
9043865,False,1,Simpsons Lane,residential,,9.1,True,152.22699999999998,"LINESTRING (-70.5114078 41.3901837, -70.5114194 41.3902137, -70.5114398 41.3902485, -70.5114603 41.39027, -70.5115682 41.3903835, -70.5116392 41.3904532, -70.5117547 41.3905494, -70.5120762 41.3907875, -70.5123383 41.3909878, -70.512617 41.3911989)"
9043701,False,1,Cottage Street,residential,,6.1,True,127.691,"LINESTRING (-70.511 41.39321, -70.510487 41.392799, -70.509945 41.392378)"
9043764,False,2,Peases Point Way North,residential,,9.1,False,92.792,"LINESTRING (-70.511 41.39321, -70.511404 41.392947, -70.5118388 41.3926619)"
9043773,True,2,North Water Street,secondary,40 mph,9.1,False,52.757000000000005,"LINESTRING (-70.5119672 41.3899807, -70.51172 41.390115, -70.5116684 41.3901362, -70.511606 41.390151, -70.5114078 41.3901837)"
9043811,False,1,Kelley Street,residential,,9.1,True,92.14699999999999,"LINESTRING (-70.5119672 41.3899807, -70.511928 41.3899457, -70.5116741 41.3897187, -70.5115507 41.3896163, -70.5112302 41.3893639)"
9043731,False,1,Beach Street,residential,,6.1,False,104.537,"LINESTRING (-70.514451 41.385121, -70.5143066 41.3851806, -70.513763 41.385405, -70.513368 41.385593)"
9043775,False,1,Dunham Road,residential,,7.6,True,156.42899999999997,"LINESTRING (-70.514451 41.385121, -70.515115 41.385455, -70.515659 41.385717, -70.5160204 41.3858907)"
9043764,False,2,Peases Point Way North,residential,,9.1,True,111.896,"LINESTRING (-70.516286 41.391718, -70.516189 41.391683, -70.516069 41.391664, -70.516011 41.391663, -70.515434 41.391666, -70.514958 41.391671)"
9043817,False,1,Plantingfield Way,residential,,9.1,False,81.472,"LINESTRING (-70.516286 41.391718, -70.516268 41.39184, -70.51618 41.392115, -70.516103 41.392437)"
9045608,False,1,Oliver Street,residential,,6.1,True,67.961,"LINESTRING (-70.516286 41.391718, -70.516428 41.391742, -70.516606 41.391747, -70.517097 41.391744)"
630372547,False,2,Peases Point Way,residential,,9.1,False,99.489,"LINESTRING (-70.516286 41.391718, -70.516451 41.391177, -70.516564 41.390848)"
9043693,False,1,Tilton Way,residential,,6.1,False,121.31299999999999,"LINESTRING (-70.518577 41.390041, -70.518187 41.390457, -70.517862 41.390797, -70.517727 41.390926)"
9043781,False,2,Cooke Street,tertiary,,10.7,False,80.184,"LINESTRING (-70.518577 41.390041, -70.518132 41.389826, -70.5177693 41.3896501)"
9043711,False,2,Dock Street,residential,,6.1,False,52.24799999999999,"LINESTRING (-70.5118196 41.3892089, -70.5117369 41.3892228, -70.5116485 41.3892398, -70.5116029 41.3892506, -70.511497 41.3892776, -70.5113913 41.3893095, -70.5113281 41.3893324, -70.5112302 41.3893639)"
"[9043845, 9043711]",False,2,"['Dock Street', 'Main Street']",residential,,"['6.1', '13.7']",True,109.42299999999999,"LINESTRING (-70.5118196 41.3892089, -70.5120531 41.3891523, -70.5121901 41.389121, -70.5122215 41.389116, -70.512254 41.389117, -70.512287 41.3891223, -70.5123319 41.3891383, -70.5124243 41.389177, -70.512873 41.389365, -70.5129496 41.3893988, -70.513007 41.3894238)"
9043784,True,1,Mayhew Lane,residential,,9.1,False,81.654,"LINESTRING (-70.5118196 41.3892089, -70.5118411 41.3892413, -70.511854 41.3892661, -70.5118799 41.3892825, -70.5120039 41.3893411, -70.512196 41.389429, -70.512403 41.389547, -70.5125266 41.3896301, -70.512574 41.389662)"
9043817,False,1,Plantingfield Way,residential,,9.1,True,78.28,"LINESTRING (-70.516185 41.393821, -70.516141 41.393571, -70.516087 41.393121)"
9045273,False,,Shurtleffs Way,residential,,,True,193.51899999999998,"LINESTRING (-70.516185 41.393821, -70.516366 41.393779, -70.5166444 41.3937119, -70.516937 41.3936413, -70.516955 41.393637, -70.517315 41.393548, -70.51776 41.393436, -70.518001 41.393408, -70.518167 41.393423, -70.5182468 41.3934404, -70.5184086 41.3934775)"
9043773,True,2,North Water Street,secondary,40 mph,9.1,False,126.636,"LINESTRING (-70.5109945 41.3902431, -70.5109334 41.3902556, -70.5108688 41.390273, -70.510799 41.3903019, -70.5107106 41.3903427, -70.510168 41.390602, -70.509696 41.390827)"
9043788,True,1,Daggett Street,residential,,9.1,False,104.02399999999999,"LINESTRING (-70.5109945 41.3902431, -70.510932 41.390158, -70.510679 41.389944, -70.5104264 41.3897361, -70.5101785 41.389539)"
9043764,False,2,Peases Point Way North,residential,,9.1,False,13.422,"LINESTRING (-70.5118388 41.3926619, -70.511957 41.39258)"
9043764,False,2,Peases Point Way North,residential,,9.1,True,92.792,"LINESTRING (-70.5118388 41.3926619, -70.511404 41.392947, -70.511 41.39321)"
