osmid,highway,oneway,reversed,length,name,maxspeed,geometry,ref,bridge,lanes
5563891,unclassified,False,False,11.343,,,"LINESTRING (-73.7029563 42.73284, -73.7029474 42.7329418)",,,
5593911,residential,True,False,49.811,23rd Street,30 mph,"LINESTRING (-73.7029563 42.73284, -73.7023497 42.7327937)",,,
5563891,unclassified,False,True,11.343,,,"LINESTRING (-73.7029474 42.7329418, -73.7029563 42.73284)",,,
39474327,residential,True,False,41.943,23rd Street,30 mph,"LINESTRING (-73.7029474 42.7329418, -73.7033197 42.7329687, -73.7034495 42.7329313)",,,
669453499,tertiary,False,False,58.572,23rd Street,30 mph,"LINESTRING (-73.6989233 42.7326502, -73.6996339 42.7327211)",,,
5593907,tertiary,False,True,124.197,23rd Street,30 mph,"LINESTRING (-73.6989233 42.7326502, -73.6985299 42.7326279, -73.6983697 42.7326211, -73.6982039 42.7326221, -73.6980404 42.7326319, -73.6978879 42.7326503, -73.6977296 42.7326751, -73.697573 42.7327087, -73.6974277 42.7327508)",,,
247573053,motorway_link,True,False,468.5319999999999,,40 mph,"LINESTRING (-73.6989233 42.7326502, -73.6989158 42.7325117, -73.6989147 42.7323544, -73.6989237 42.7322306, -73.699023 42.7311915, -73.6990438 42.7310105, -73.6990728 42.7308412, -73.6991041 42.7306697, -73.6991399 42.7305032, -73.6991852 42.7303367, -73.6995211 42.7293355, -73.6995721 42.7291365, -73.699611 42.7289336, -73.6996445 42.72871, -73.6996623 42.7284855)",,,
5593907,tertiary,False,False,124.197,23rd Street,30 mph,"LINESTRING (-73.6974277 42.7327508, -73.697573 42.7327087, -73.6977296 42.7326751, -73.6978879 42.7326503, -73.6980404 42.7326319, -73.6982039 42.7326221, -73.6983697 42.7326211, -73.6985299 42.7326279, -73.6989233 42.7326502)",,,
162800535,residential,False,False,14.151,15th Street,30 mph,"LINESTRING (-73.7031441 42.7260422, -73.703316 42.726058)",,,
162800538,residential,True,False,52.989,15th Street,30 mph,"LINESTRING (-73.7031441 42.7260422, -73.7026999 42.726015, -73.7026507 42.7260125, -73.7026068 42.7260118, -73.7024974 42.7260181)",,,
5567386,unclassified,False,False,11.515,,,"LINESTRING (-73.701751 42.7327469, -73.7017319 42.7328495)",,,
5593911,residential,True,False,53.14,23rd Street,30 mph,"LINESTRING (-73.701751 42.7327469, -73.7014555 42.7327238, -73.7013184 42.7327131, -73.701123 42.73278)",,,
5567386,unclassified,False,True,11.515,,,"LINESTRING (-73.7017319 42.7328495, -73.701751 42.7327469)",,,
39474327,residential,True,False,49.596,23rd Street,30 mph,"LINESTRING (-73.7017319 42.7328495, -73.7023361 42.732894)",,,
512236566,residential,False,False,119.98599999999999,15th Street,30 mph,"LINESTRING (-73.7010443 42.7258959, -73.7015557 42.7259625, -73.7016224 42.7259706, -73.701803 42.7259949, -73.7019921 42.726019, -73.7020657 42.726025, -73.702139 42.7260283, -73.7022531 42.7260282, -73.7023111 42.7260274, -73.7023671 42.726026, -73.7024974 42.7260181)",,,
512236566,residential,False,True,63.304,15th Street,30 mph,"LINESTRING (-73.7010443 42.7258959, -73.7009112 42.7258793, -73.7007644 42.7258595, -73.7006943 42.7258481, -73.7006225 42.7258348, -73.7004546 42.7258, -73.70029 42.7257676)",,,
5571202,residential,False,False,49.418,22nd Street,,"LINESTRING (-73.6992047 42.7315651, -73.699237 42.7315675, -73.6994203 42.7315813, -73.6997442 42.7316073, -73.6998063 42.7316123)",,,
5571202,residential,False,True,49.418000000000006,22nd Street,,"LINESTRING (-73.6998063 42.7316123, -73.6997442 42.7316073, -73.6994203 42.7315813, -73.699237 42.7315675, -73.6992047 42.7315651)",,,
"[1153358744, 1090555656, 669246282]",tertiary,False,False,124.09899999999999,Broadway,30 mph,"LINESTRING (-73.6998063 42.7316123, -73.6997678 42.731868, -73.6996983 42.7323288, -73.6996809 42.7324246, -73.6996714 42.7324774, -73.6996635 42.7325208, -73.699652 42.732601, -73.6996339 42.7327211)",,,
669246282,tertiary,False,True,64.51,Broadway,30 mph,"LINESTRING (-73.6998063 42.7316123, -73.6998072 42.7316056, -73.6998502 42.731269, -73.6998802 42.7310347)",,,
5571770,residential,False,False,96.926,6th Avenue,30 mph,"LINESTRING (-73.7072346 42.7257407, -73.707207 42.7258203, -73.706959 42.7265096, -73.7069323 42.7265836)",,,
162800535,residential,False,False,26.773,15th Street,30 mph,"LINESTRING (-73.7069323 42.7265836, -73.7072534 42.7266319)",,,
5571770,residential,False,True,96.926,6th Avenue,30 mph,"LINESTRING (-73.7069323 42.7265836, -73.706959 42.7265096, -73.707207 42.7258203, -73.7072346 42.7257407)",,,
162800535,residential,False,True,61.752,15th Street,30 mph,"LINESTRING (-73.7069323 42.7265836, -73.7067363 42.7265542, -73.7064369 42.7265082, -73.7061917 42.7264721)",,,
