osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry
9951239,South Perry Road,residential,False,False,15.84,,,"LINESTRING (-96.8945987 32.953754, -96.8945781 32.9536126)"
9972634,Perry Road,tertiary,False,True,111.075,2,30 mph,"LINESTRING (-96.8945987 32.953754, -96.8946169 32.9538368, -96.8947059 32.954244, -96.8948447 32.954731)"
444604952,South Perry Road,residential,False,False,43.7,2,30 mph,"LINESTRING (-96.8945759 32.952768, -96.894577 32.952375)"
9998008,Highland Drive,residential,False,False,393.798,,,"LINESTRING (-96.8945759 32.952768, -96.8905395 32.9527224, -96.8903558 32.9527191)"
"[444604952, 1165493539]",South Perry Road,residential,False,True,93.916,"['3', '2']",30 mph,"LINESTRING (-96.8945759 32.952768, -96.894575 32.95305, -96.8945746 32.9531982, -96.8945775 32.9535467, -96.8945781 32.9536126)"
444604952,South Perry Road,residential,False,True,43.7,2,30 mph,"LINESTRING (-96.894577 32.952375, -96.8945759 32.952768)"
337309627,South Perry Road,residential,False,False,57.03,2,30 mph,"LINESTRING (-96.894577 32.952375, -96.8945738 32.9522956, -96.8945569 32.9518624)"
9956536,Tartan Drive,residential,False,False,385.754,2,30 mph,"LINESTRING (-96.8945569 32.9518624, -96.890493 32.9518457, -96.8904227 32.951845)"
337309627,South Perry Road,residential,False,False,99.67599999999999,2,30 mph,"LINESTRING (-96.8945569 32.9518624, -96.894556 32.9515742, -96.8945555 32.9514157, -96.894554 32.950966)"
337309627,South Perry Road,residential,False,True,57.03,2,30 mph,"LINESTRING (-96.8945569 32.9518624, -96.8945738 32.9522956, -96.894577 32.952375)"
337309627,South Perry Road,residential,False,False,32.47,2,30 mph,"LINESTRING (-96.894554 32.950966, -96.894551 32.950674)"
"[9976760, 961828770]",Glengarry Drive,residential,False,False,386.05600000000004,,,"LINESTRING (-96.894554 32.950966, -96.8905802 32.9509296, -96.8904936 32.9509288, -96.8904168 32.9509281)"
337309627,South Perry Road,residential,False,True,99.676,2,30 mph,"LINESTRING (-96.894554 32.950966, -96.8945555 32.9514157, -96.894556 32.9515742, -96.8945569 32.9518624)"
337309627,South Perry Road,residential,False,True,32.47,2,30 mph,"LINESTRING (-96.894551 32.950674, -96.894554 32.950966)"
337309627,South Perry Road,residential,False,False,63.272999999999996,2,30 mph,"LINESTRING (-96.894551 32.950674, -96.8945492 32.9504992, -96.894545 32.950105)"
10011001,Balmoral Drive,residential,False,False,388.308,,,"LINESTRING (-96.894545 32.950105, -96.8923471 32.9500703, -96.8905727 32.9500423, -96.8904615 32.9500405, -96.8903842 32.9500393)"
337309627,South Perry Road,residential,False,True,63.272999999999996,2,30 mph,"LINESTRING (-96.894545 32.950105, -96.8945492 32.9504992, -96.894551 32.950674)"
1067507189,Spring Circle,residential,False,False,14.152,,,"LINESTRING (-96.890215 32.958019, -96.8900634 32.9580147)"
9995292,Spring Avenue,residential,False,True,235.418,2,30 mph,"LINESTRING (-96.890215 32.958019, -96.890844 32.958005, -96.892738 32.958005)"
"[1074193171, 590082507, 1074193172, 1074193447]",North Josey Lane,secondary,True,False,215.88600000000002,"['4', '3']",40 mph,"LINESTRING (-96.890215 32.958019, -96.8902237 32.9575667, -96.8902252 32.9574869, -96.8902271 32.9573717, -96.8902325 32.9567348, -96.8902342 32.9565416, -96.8902353 32.9564154, -96.8902379 32.9561486, -96.8902385 32.9560776)"
9956046,Spring Circle,residential,False,False,68.745,,,"LINESTRING (-96.8900634 32.9580147, -96.889327 32.957994)"
1067507189,Spring Circle,residential,False,True,14.152,,,"LINESTRING (-96.8900634 32.9580147, -96.890215 32.958019)"
9956046,Spring Circle,residential,False,True,68.745,,,"LINESTRING (-96.889327 32.957994, -96.8900634 32.9580147)"
386136848,Tartan Drive,residential,False,False,14.181,,,"LINESTRING (-96.8904227 32.951845, -96.8902709 32.9518513)"
9956536,Tartan Drive,residential,False,True,385.754,2,30 mph,"LINESTRING (-96.8904227 32.951845, -96.890493 32.9518457, -96.8945569 32.9518624)"
386136844,South Josey Lane,secondary,True,False,57.0,3,35 mph,"LINESTRING (-96.8904227 32.951845, -96.8904223 32.9517766, -96.8904194 32.9513324)"
386136848,Tartan Drive,residential,False,True,14.181,,,"LINESTRING (-96.8902709 32.9518513, -96.8904227 32.951845)"
386136847,South Josey Lane,secondary,True,False,152.282,3,,"LINESTRING (-96.8902709 32.9518513, -96.8902238 32.9527246, -96.8902024 32.953121, -96.8901971 32.9532194)"
385845552,South Josey Lane,secondary,True,False,16.939,3,40 mph,"LINESTRING (-96.8903348 32.9537509, -96.8903388 32.9535986)"
