osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes
24072101,West 145th Place,residential,False,False,145.13,"LINESTRING (-87.6293098 41.6307776, -87.631056 41.6307754)",,
24078445,South School Street,residential,False,False,101.577,"LINESTRING (-87.6293098 41.6307776, -87.6293083 41.6303465, -87.6293066 41.6298641)",,
24078445,South School Street,residential,False,True,99.364,"LINESTRING (-87.6293098 41.6307776, -87.6293114 41.631227, -87.6293129 41.6316712)",,
24072101,West 145th Place,residential,False,True,145.13,"LINESTRING (-87.631056 41.6307754, -87.6293098 41.6307776)",,
"[24083012, 24077933]","['South Illinois Street', 'West 146th Street']",residential,False,"[False, True]",187.668,"LINESTRING (-87.631056 41.6307754, -87.6312916 41.6303453, -87.6313954 41.6301558, -87.6314214 41.630048, -87.6314391 41.6299745, -87.6314037 41.6298562, -87.6304501 41.6298598)",,
"[24095355, 24077933]","['South Illinois Street', 'West 145th Street']",residential,False,True,211.059,"LINESTRING (-87.631056 41.6307754, -87.6307984 41.631239, -87.6305606 41.6316671, -87.6293129 41.6316712)",,
661268127,South Tracy Avenue,residential,True,False,187.00900000000001,"LINESTRING (-87.6305479 41.6371106, -87.6305438 41.6361026, -87.6305411 41.6354288)",,
1100577015,West 142nd Street,residential,False,False,101.196,"LINESTRING (-87.6305479 41.6371106, -87.6311874 41.6371086, -87.6315285 41.6371075, -87.6317656 41.6371068)",,
1100577015,West 142nd Street,residential,False,True,100.315,"LINESTRING (-87.6305479 41.6371106, -87.6299433 41.6371125, -87.6293408 41.6371144)",,
24073510,South Tracy Avenue,residential,False,False,223.09500000000003,"LINESTRING (-87.6305411 41.6354288, -87.6305371 41.6348254, -87.6305505 41.6346741, -87.6305947 41.6345047, -87.6306578 41.6343353, -87.6307302 41.6341418, -87.6307999 41.6340005, -87.6308462 41.633943, -87.6308871 41.6338922, -87.6309522 41.6338139, -87.6311042 41.633632, -87.6311216 41.63361, -87.631187 41.6335312)",,
