osmid,oneway,highway,reversed,length,lanes,name,maxspeed,ref,geometry
24115748,True,residential,False,21.986,,,,,"LINESTRING (-73.474059 40.672731, -73.4743197 40.6727304)"
891746987,False,secondary,True,22.562,4,Broadway,30 mph,,"LINESTRING (-73.474059 40.672731, -73.473915 40.672902)"
787559828,False,primary,True,31.566,,Hicksville Road,,NY 107,"LINESTRING (-73.4743197 40.6727304, -73.474298 40.672447)"
891746985,False,primary,False,48.511,,Hicksville Road,,NY 107,"LINESTRING (-73.4743197 40.6727304, -73.47437 40.673165)"
787559828,False,primary,False,31.566,,Hicksville Road,,NY 107,"LINESTRING (-73.474298 40.672447, -73.4743197 40.6727304)"
891746986,True,secondary,False,37.464,4,Broadway,30 mph,,"LINESTRING (-73.474298 40.672447, -73.474059 40.672731)"
891746988,False,primary,True,19.256,,Hicksville Road,,NY 107,"LINESTRING (-73.474298 40.672447, -73.4743435 40.6722773)"
24129336,False,residential,False,103.161,,Park Avenue,,,"LINESTRING (-73.473915 40.672902, -73.472694 40.672846)"
668556416,False,secondary,True,152.142,4,Broadway,30 mph,,"LINESTRING (-73.473915 40.672902, -73.473034 40.674096)"
891746987,False,secondary,False,22.562,4,Broadway,30 mph,,"LINESTRING (-73.473915 40.672902, -73.474059 40.672731)"
24135224,False,residential,False,36.565,,Seaview Avenue,,,"LINESTRING (-73.473034 40.674096, -73.472601 40.674079)"
668556416,False,secondary,False,152.142,4,Broadway,30 mph,,"LINESTRING (-73.473034 40.674096, -73.473915 40.672902)"
668556416,False,secondary,True,90.215,4,Broadway,30 mph,,"LINESTRING (-73.473034 40.674096, -73.472722 40.674546, -73.4726536 40.674654, -73.472549 40.674819)"
24126856,False,residential,True,82.401,,Massapequa Avenue,,,"LINESTRING (-73.472549 40.674819, -73.472561 40.6746478, -73.472601 40.674079)"
668556416,False,secondary,False,90.215,4,Broadway,30 mph,,"LINESTRING (-73.472549 40.674819, -73.4726536 40.674654, -73.472722 40.674546, -73.473034 40.674096)"
668556416,False,secondary,True,60.094,4,Broadway,30 mph,,"LINESTRING (-73.472549 40.674819, -73.4724789 40.6749302, -73.4724395 40.6749897, -73.472232 40.675303)"
24125394,False,residential,False,67.565,,Berkshire Place,,,"LINESTRING (-73.472232 40.675303, -73.471432 40.67527)"
