osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,junction,bridge,ref
"[1206088481, 1206088479, 526837583]",4,Alma Street,secondary,25 mph,False,False,140.546,"LINESTRING (-122.1615257 37.4418981, -122.1614656 37.4418576, -122.1613553 37.4417882, -122.1607673 37.4414179, -122.1605327 37.4412691, -122.1603643 37.4411681, -122.1602802 37.4411111)",,,,
"[94840738, 526837583]",4,Alma Street,secondary,25 mph,False,True,139.708,"LINESTRING (-122.1615257 37.4418981, -122.1616199 37.4419567, -122.1619369 37.4421536, -122.1626932 37.4426459, -122.1627601 37.442684)",,,,
678467591,2,Forest Avenue,residential,25 mph,False,False,86.81900000000002,"LINESTRING (-122.1615257 37.4418981, -122.1614546 37.4419655, -122.1614426 37.4419778, -122.1612027 37.4422133, -122.1609636 37.4424485, -122.1609505 37.4424617, -122.1609072 37.4425051)",,,,
8923331,,Forest Avenue,residential,25 mph,False,False,86.335,"LINESTRING (-122.1609072 37.4425051, -122.1608504 37.4425627, -122.1608347 37.4425786, -122.1606171 37.4428035, -122.1603746 37.4430459, -122.1603598 37.4430611, -122.1603034 37.4431158)",,,,
506448455,2,High Street,tertiary,25 mph,True,False,140.755,"LINESTRING (-122.1609072 37.4425051, -122.1608551 37.4424726, -122.1602321 37.4420843, -122.1601536 37.4420354, -122.1600606 37.4419774, -122.1597607 37.4417904, -122.1596533 37.4417233)",,,,
678467591,2,Forest Avenue,residential,25 mph,False,True,86.819,"LINESTRING (-122.1609072 37.4425051, -122.1609505 37.4424617, -122.1609636 37.4424485, -122.1612027 37.4422133, -122.1614426 37.4419778, -122.1614546 37.4419655, -122.1615257 37.4418981)",,,,
8923331,,Forest Avenue,residential,25 mph,False,False,85.824,"LINESTRING (-122.1603034 37.4431158, -122.1602484 37.4431724, -122.1602333 37.4431874, -122.1601655 37.4432559, -122.1597811 37.443646, -122.1597419 37.4436826, -122.1597077 37.4437254)",,,,
8923331,,Forest Avenue,residential,25 mph,False,True,86.335,"LINESTRING (-122.1603034 37.4431158, -122.1603598 37.4430611, -122.1603746 37.4430459, -122.1606171 37.4428035, -122.1608347 37.4425786, -122.1608504 37.4425627, -122.1609072 37.4425051)",,,,
596085793,,Emerson Street,residential,25 mph,False,False,139.038,"LINESTRING (-122.1603034 37.4431158, -122.1602442 37.4430786, -122.1602128 37.4430589, -122.1599453 37.4428904, -122.159905 37.442865, -122.1591525 37.4423914, -122.1591378 37.4423822, -122.1590693 37.442339)",,,,
596085793,,Emerson Street,residential,25 mph,False,True,140.869,"LINESTRING (-122.1603034 37.4431158, -122.1603794 37.4431637, -122.1603979 37.4431753, -122.1606534 37.4433361, -122.1612487 37.4437109, -122.1614771 37.4438547, -122.1615537 37.4439029)",,,,
