osmid,highway,oneway,reversed,length,geometry,name,ref,maxspeed
18279552,residential,False,False,290.24300000000005,"LINESTRING (-92.777834 44.904593, -92.7785199 44.9052535, -92.7786 44.9053307, -92.778754 44.905479, -92.779135 44.905751, -92.779615 44.905831, -92.779686 44.905827, -92.77991 44.905814, -92.780095 44.905753, -92.780219 44.905622, -92.7803005 44.9053622)",,,
"[18300994, 18307108]",residential,False,False,227.09099999999998,"LINESTRING (-92.7832469 44.9028402, -92.7830828 44.9028383, -92.7830526 44.902838, -92.7827827 44.9028388, -92.7824905 44.9028397, -92.7821922 44.9028423, -92.7819461 44.9028468, -92.7818663 44.9028473, -92.7818462 44.9039115)","['Pike Avenue South', 'Afton Boulevard South']",,
732974620,secondary,False,True,116.92699999999999,"LINESTRING (-92.7832469 44.9028402, -92.7832306 44.9033849, -92.7832302 44.9034111, -92.7832238 44.9038916)",Saint Croix Trail South,CH 18;CH 21,30 mph
893599920,secondary,False,False,114.71499999999999,"LINESTRING (-92.7832469 44.9028402, -92.7832479 44.9027119, -92.7832351 44.9018086)",Saint Croix Trail South,CH 21,30 mph
1211655905,secondary,False,True,115.077,"LINESTRING (-92.7832469 44.9028402, -92.7833659 44.9028389, -92.7834604 44.9028378, -92.7839503 44.9028372, -92.7841075 44.9028425, -92.7842828 44.902853, -92.7844753 44.9028774, -92.7846977 44.9029155)",Afton Boulevard,CH 18,35 mph
18304433,residential,False,True,106.203,"LINESTRING (-92.7805102 44.9039851, -92.7808374 44.9039373, -92.7809682 44.9039239, -92.7810545 44.9039178, -92.7811521 44.9039217, -92.7813325 44.9039333, -92.781468 44.9039399, -92.7815928 44.9039365, -92.7817127 44.9039262, -92.781794 44.9039172, -92.7818462 44.9039115)",31st Street South,,
18304435,residential,False,False,115.83299999999998,"LINESTRING (-92.7805102 44.9039851, -92.780255 44.904024, -92.779905 44.9040742, -92.7796742 44.9041027, -92.7793519 44.9041313, -92.7792786 44.9041428, -92.779217 44.9041543, -92.7791485 44.9041766, -92.7790839 44.9042092)",31st Street South,,
18306412,residential,False,False,224.66699999999997,"LINESTRING (-92.7805102 44.9039851, -92.7804641 44.9039041, -92.7804398 44.9038605, -92.7804263 44.903821, -92.7804204 44.903783, -92.7804203 44.9037503, -92.7804388 44.903611, -92.7804708 44.9034381, -92.7805008 44.9032761, -92.7806358 44.9025463, -92.7807368 44.9019899)",Quadrant Avenue South,,
18306413,residential,False,True,155.572,"LINESTRING (-92.7805102 44.9039851, -92.7805536 44.904068, -92.7805667 44.9041039, -92.7805703 44.9041384, -92.7805655 44.9041938, -92.7805525 44.9042635, -92.7804242 44.9048659, -92.7803005 44.9053622)",Quadrant Avenue South,,
"[295578850, 732974614, 732974615]",secondary,True,False,126.141,"LINESTRING (-92.7822392 44.9071189, -92.7823854 44.9069875, -92.7825275 44.9067872, -92.7826615 44.906579, -92.7828256 44.9062733, -92.7828624 44.906201, -92.7829152 44.9060973)",Saint Croix Trail South,CH 18,"['50 mph', '30 mph']"
