osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,access,maxspeed,junction
11115867,Southwest 66th Avenue,residential,False,True,13.002,,,"LINESTRING (-80.3003973 25.7037556, -80.3004034 25.7038724)",,,
534928092,Southwest 72nd Street,secondary,True,False,98.702,2,FL 986,"LINESTRING (-80.3003973 25.7037556, -80.3000234 25.7037742, -80.2994136 25.7038033)",,,
11142359,Southwest 61st Avenue,unclassified,False,True,99.817,2,,"LINESTRING (-80.2920108 25.7060075, -80.2920548 25.7069043)",,,
83070573,Southwest 70th Street,tertiary,False,False,78.869,2,,"LINESTRING (-80.2920108 25.7060075, -80.2927974 25.70598)",,,
11142359,Southwest 61st Avenue,unclassified,False,False,86.92399999999999,2,,"LINESTRING (-80.2920108 25.7060075, -80.2919892 25.7056512, -80.2919733 25.7053647, -80.2919665 25.7052268)",,,
83070573,Southwest 70th Street,tertiary,False,True,78.869,2,,"LINESTRING (-80.2927974 25.70598, -80.2920108 25.7060075)",,,
11164984,Southwest 61st Court,unclassified,False,False,195.38100000000003,2,,"LINESTRING (-80.2927974 25.70598, -80.2927755 25.7055495, -80.2927705 25.7053888, -80.2927414 25.7046743, -80.2927262 25.7043019, -80.292723 25.7042242)",,,
83070573,Southwest 70th Street,tertiary,False,False,70.744,2,,"LINESTRING (-80.2927974 25.70598, -80.2930753 25.7059717, -80.2933498 25.70596, -80.2935023 25.7059465)",,,
83070573,Southwest 70th Street,tertiary,False,True,70.744,2,,"LINESTRING (-80.2935023 25.7059465, -80.2933498 25.70596, -80.2930753 25.7059717, -80.2927974 25.70598)",,,
83070593,Southwest 70th Street,residential,False,False,60.146,,,"LINESTRING (-80.2935023 25.7059465, -80.2936287 25.705937, -80.2939096 25.7059301, -80.2940343 25.705927, -80.294102 25.7059253)",destination,,
190545372,Southwest 62nd Avenue,tertiary,False,True,96.25,2,,"LINESTRING (-80.2935023 25.7059465, -80.2935087 25.7061056, -80.293528 25.706581, -80.2935381 25.7068115)",,30 mph,
"[898449768, 946636581, 190638166]",Southwest 62nd Avenue,tertiary,False,False,195.12199999999999,4,,"LINESTRING (-80.2935023 25.7059465, -80.2934887 25.7056822, -80.2934778 25.7054689, -80.2934721 25.7053649, -80.293433 25.7046486, -80.2934186 25.7043343, -80.2934173 25.7043057, -80.2934122 25.7041936)",,30 mph,
665785476,Southwest 70th Street,residential,True,False,46.642,,,"LINESTRING (-80.2945675 25.70592, -80.294102 25.7059253)",,,
11160607,Southwest 62nd Court,residential,False,True,84.17599999999999,,,"LINESTRING (-80.2945675 25.70592, -80.294587 25.706095, -80.294604 25.706289, -80.294576 25.706518, -80.294509 25.706662)",,,
665785478,Southwest 70th Street,residential,False,False,101.874,,,"LINESTRING (-80.295991 25.705811, -80.2970071 25.705777)",,,
535234726,Southwest 70th Street,residential,True,False,143.138,,,"LINESTRING (-80.295991 25.705811, -80.2954242 25.7058566, -80.2950144 25.7058895, -80.2949752 25.7058922, -80.2945675 25.70592)",,,
665785477,Southwest 63rd Avenue,residential,False,False,191.956,2,,"LINESTRING (-80.295991 25.705811, -80.2959249 25.7045263, -80.295917 25.704373, -80.2959038 25.7041596, -80.2958992 25.7040867)",,,
1146041708,Southwest 63rd Avenue,residential,False,True,86.62,,,"LINESTRING (-80.295991 25.705811, -80.295987 25.706206, -80.295896 25.706527, -80.295877 25.7065768)",,,
665785478,Southwest 70th Street,residential,False,False,50.011,,,"LINESTRING (-80.2970071 25.705777, -80.2975056 25.7057539)",,,
665785478,Southwest 70th Street,residential,False,True,101.874,,,"LINESTRING (-80.2970071 25.705777, -80.295991 25.705811)",,,
11129171,Southwest 63rd Court,residential,False,False,194.44699999999997,,,"LINESTRING (-80.2970071 25.705777, -80.2969906 25.7055967, -80.2969098 25.7051833, -80.2969213 25.7049214, -80.2969614 25.7044873, -80.2969604 25.7044022, -80.2969577 25.7041071, -80.296957 25.704037)",,,
