osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,bridge,maxspeed
21720209,Lafayette Avenue,residential,False,False,118.7,,"LINESTRING (-88.380237 39.479932, -88.38162 39.47994)",,,
21727712,South 21st Street,primary,False,False,58.378,IL 16,"LINESTRING (-88.380237 39.479932, -88.380234 39.480457)",,,
21720209,Lafayette Avenue,residential,False,False,115.611,,"LINESTRING (-88.38162 39.47994, -88.382967 39.479948)",,,
21720209,Lafayette Avenue,residential,False,True,118.7,,"LINESTRING (-88.38162 39.47994, -88.380237 39.479932)",,,
164706409,South 22nd Street,residential,False,False,90.403,,"LINESTRING (-88.38162 39.47994, -88.381615 39.480753)",,,
21720209,Lafayette Avenue,residential,False,True,115.611,,"LINESTRING (-88.382967 39.479948, -88.38162 39.47994)",,,
21727189,South 23rd Street,residential,False,False,58.267,,"LINESTRING (-88.382967 39.479948, -88.382964 39.480472)",,,
21728058,North 21st Street,residential,False,False,38.875,,"LINESTRING (-88.3802008 39.4859071, -88.3802037 39.4862567)",,,
21728058,North 21st Street,residential,False,True,76.302,,"LINESTRING (-88.3802008 39.4859071, -88.3802033 39.4852209)",,,
21722877,Champaign Avenue,residential,False,False,119.993,,"LINESTRING (-88.3802008 39.4859071, -88.3794908 39.4859046, -88.3788026 39.485908)",,,
21722877,Champaign Avenue,residential,False,False,82.085,,"LINESTRING (-88.3788026 39.485908, -88.3778461 39.4859065)",,,
21725409,North 20th Street,residential,False,True,119.201,,"LINESTRING (-88.3788026 39.485908, -88.3788058 39.484836)",,,
21722877,Champaign Avenue,residential,False,True,119.993,,"LINESTRING (-88.3788026 39.485908, -88.3794908 39.4859046, -88.3802008 39.4859071)",,,
21725409,North 20th Street,residential,False,False,116.239,,"LINESTRING (-88.3788026 39.485908, -88.3788186 39.4864366, -88.3787995 39.486953)",,,
21722877,Champaign Avenue,residential,False,True,82.085,,"LINESTRING (-88.3778461 39.4859065, -88.3788026 39.485908)",,,
21722877,Champaign Avenue,residential,False,False,114.663,,"LINESTRING (-88.3778461 39.4859065, -88.377335 39.4859067, -88.3771101 39.4859068, -88.37651 39.485907)",,,
21724067,North 19th Street,primary,False,False,116.259,US 45;IL 121,"LINESTRING (-88.3778461 39.4859065, -88.3778545 39.4864257, -88.377856 39.486952)",4,,
21724067,North 19th Street,primary,False,True,118.531,US 45;IL 121,"LINESTRING (-88.3778461 39.4859065, -88.3778498 39.4856024, -88.3778525 39.4853862, -88.3778625 39.4848406)",4,,
21722877,Champaign Avenue,residential,False,False,50.204,,"LINESTRING (-88.37651 39.485907, -88.375925 39.485907)",,,
21722877,Champaign Avenue,residential,False,True,114.66300000000001,,"LINESTRING (-88.37651 39.485907, -88.3771101 39.4859068, -88.377335 39.4859067, -88.3778461 39.4859065)",,,
21725677,North 18th Street,residential,False,False,116.09,,"LINESTRING (-88.37651 39.485907, -88.3765048 39.4864194, -88.376508 39.486951)",,,
21725677,North 18th Street,residential,False,True,120.232,,"LINESTRING (-88.37651 39.485907, -88.3765178 39.4853755, -88.3765259 39.4848258)",,,
21722877,Champaign Avenue,residential,False,False,30.465,,"LINESTRING (-88.375925 39.485907, -88.37557 39.485907)",,,
21722877,Champaign Avenue,residential,False,True,50.204,,"LINESTRING (-88.375925 39.485907, -88.37651 39.485907)",,,
21727659,North 17th Street,residential,False,True,121.19200000000001,,"LINESTRING (-88.375925 39.485907, -88.3759271 39.4853735, -88.3759292 39.4848171)",,,
21722877,Champaign Avenue,residential,False,True,30.465,,"LINESTRING (-88.37557 39.485907, -88.375925 39.485907)",,,
"[112482646, 21722877, 112482654]",Champaign Avenue,residential,False,False,150.281,,"LINESTRING (-88.37557 39.485907, -88.3751121 39.4858961, -88.3750273 39.485894, -88.3744371 39.4858992, -88.3738192 39.4858928)",,yes,
