osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,name,bridge,access,width,junction,tunnel
4641348,True,A40,trunk_link,30 mph,False,182.61599999999999,"LINESTRING (-0.2294569 51.5149555, -0.2282681 51.5151599, -0.2279338 51.5152022, -0.2268762 51.5152779)",,,,,,,
"[102900875, 22762461]",True,A40,trunk,30 mph,False,305.504,"LINESTRING (-0.2294569 51.5149555, -0.2287052 51.515018, -0.2282798 51.5150534, -0.227923 51.5150831, -0.2250746 51.5152882)",3,Westway,viaduct,,,,
"[689792441, 1065580292, 4059893]",False,A219,primary,30 mph,False,136.728,"LINESTRING (-0.2257529 51.514081, -0.2257064 51.5139582, -0.2256928 51.5139197, -0.22559 51.5136903, -0.2255629 51.5136291, -0.2254623 51.5134131, -0.2253225 51.513131, -0.2253042 51.5130843, -0.2252881 51.5130435, -0.2252277 51.512896)",,Wood Lane,,,,,
"[4641349, 598224648, 1209536715, 1209536716, 313508690, 1209536725, 313508694]",True,A219,primary,30 mph,False,107.027,"LINESTRING (-0.2257529 51.514081, -0.2258012 51.5141068, -0.2258102 51.5141251, -0.2258618 51.5142531, -0.2259317 51.5144124, -0.2261207 51.5148155, -0.2261324 51.5148355, -0.2261452 51.5148598, -0.2261521 51.5148728, -0.2261764 51.5149195, -0.2261839 51.5149342, -0.2262134 51.5149931)","['1', '2']",Wood Lane,,,,,
50895822,True,A40,primary_link,30 mph,False,12.73,"LINESTRING (-0.2263722 51.5153102, -0.2261887 51.5153184)",,Wood Lane,,,,,
"[85727690, 1209536717, 1209536718]",True,A219,primary,30 mph,False,16.576,"LINESTRING (-0.2263722 51.5153102, -0.2263875 51.5153407, -0.2263955 51.5153567, -0.226401 51.5153676, -0.2264461 51.515452)",2,Wood Lane,,,,,
"[4641360, 1065580291]",True,A40,primary,30 mph,False,22.245,"LINESTRING (-0.2263341 51.5155536, -0.2262702 51.5155204, -0.2262455 51.5154707, -0.2262309 51.5154467, -0.2262072 51.5154058, -0.2262182 51.5153796)",1,Wood Lane,,,,,
"[50895824, 1209536712, 1209536711]",True,A219,primary,30 mph,False,22.457,"LINESTRING (-0.2263341 51.5155536, -0.2263396 51.5154984, -0.2263192 51.5154679, -0.2262954 51.5154322, -0.2262788 51.5154072, -0.2262716 51.5153988, -0.2262182 51.5153796)",1,Wood Lane,,,,,
3997263,True,A40,trunk_link,30 mph,False,219.15699999999998,"LINESTRING (-0.2250746 51.5152882, -0.2239303 51.5154353, -0.223551 51.5154663, -0.222682 51.5155248, -0.2224437 51.5155502, -0.2222237 51.5155839, -0.2219687 51.5156458)",2,,viaduct,no,,,
"[102900872, 14963109]",True,A40,trunk,30 mph,False,320.276,"LINESTRING (-0.2248429 51.5151919, -0.2279016 51.5149696, -0.2294385 51.5148497)",3,Westway,viaduct,,,,
