osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,bridge,geometry,junction
18575400,South Mine la Motte Avenue,residential,False,False,143.117,,,,,"LINESTRING (-90.2929656 37.5564786, -90.2928991 37.5577646)",
18577062,Franklin Street,residential,False,True,154.116,,,,,"LINESTRING (-90.2929656 37.5564786, -90.2912182 37.5564334)",
18575400,South Mine la Motte Avenue,residential,False,True,143.117,,,,,"LINESTRING (-90.2928991 37.5577646, -90.2929656 37.5564786)",
673001760,East College Avenue,residential,False,False,152.556,,,,,"LINESTRING (-90.2928991 37.5577646, -90.2911693 37.5577213)",
673001761,East College Avenue,tertiary,False,True,141.267,2,MO Z,30 mph,,"LINESTRING (-90.2928991 37.5577646, -90.2945015 37.5577846)",
673001762,South Mine La Motte Avenue,tertiary,False,False,213.471,2,MO Z,20 mph,,"LINESTRING (-90.2928991 37.5577646, -90.2928253 37.5596835)",
673001762,South Mine La Motte Avenue,tertiary,False,True,213.471,2,MO Z,20 mph,,"LINESTRING (-90.2928253 37.5596835, -90.2928991 37.5577646)",
673001763,East Main Street,tertiary,False,False,155.104,2,MO Z,35 mph,,"LINESTRING (-90.2928253 37.5596835, -90.2910659 37.5596614)",
673006681,East Main Street,tertiary,False,True,117.708,2,,,,"LINESTRING (-90.2928253 37.5596835, -90.2941606 37.5596945)",
"[673039669, 673039670, 673039671]","['Lincoln Drive', 'North Mine La Motte Avenue']",tertiary,False,False,288.11799999999994,2,,"['35 mph', '25 mph']",yes,"LINESTRING (-90.2928253 37.5596835, -90.292773 37.5609697, -90.2927603 37.5611138, -90.2927284 37.5612327, -90.2926805 37.5613566, -90.2926136 37.5615032, -90.2925402 37.5616398, -90.2924605 37.5617434, -90.2923601 37.5618517, -90.2922699 37.5619393, -90.292081 37.562121)",
18575439,,residential,False,False,69.756,,,,,"LINESTRING (-90.292081 37.562121, -90.2922324 37.5621921, -90.2923607 37.5622147, -90.2925603 37.5622268, -90.292706 37.5622696, -90.2928043 37.5623351)",
673039671,Lincoln Drive,tertiary,False,False,280.46299999999997,2,,35 mph,,"LINESTRING (-90.292081 37.562121, -90.2906967 37.5632708, -90.2902185 37.5636739, -90.2898905 37.5639504)",
"[673039669, 673039670, 673039671]","['Lincoln Drive', 'North Mine La Motte Avenue']",tertiary,False,True,288.118,2,,"['35 mph', '25 mph']",yes,"LINESTRING (-90.292081 37.562121, -90.2922699 37.5619393, -90.2923601 37.5618517, -90.2924605 37.5617434, -90.2925402 37.5616398, -90.2926136 37.5615032, -90.2926805 37.5613566, -90.2927284 37.5612327, -90.2927603 37.5611138, -90.292773 37.5609697, -90.2928253 37.5596835)",
18577167,North Mine la Motte Avenue,residential,False,False,133.823,,,,,"LINESTRING (-90.2928043 37.5623351, -90.2927395 37.5635375)",
18577167,North Mine la Motte Avenue,residential,False,True,21.486,,,,,"LINESTRING (-90.2928043 37.5623351, -90.2927901 37.5621422)",
18575439,,residential,False,True,69.756,,,,,"LINESTRING (-90.2928043 37.5623351, -90.292706 37.5622696, -90.2925603 37.5622268, -90.2923607 37.5622147, -90.2922324 37.5621921, -90.292081 37.562121)",
673006679,South Main Street,secondary,False,False,276.949,2,US 67 Bus,35 mph,,"LINESTRING (-90.294579 37.5552947, -90.2945015 37.5577846)",
673001761,East College Avenue,tertiary,False,False,141.267,2,MO Z,30 mph,,"LINESTRING (-90.2945015 37.5577846, -90.2928991 37.5577646)",
673006679,South Main Street,secondary,False,True,276.949,2,US 67 Bus,35 mph,,"LINESTRING (-90.2945015 37.5577846, -90.294579 37.5552947)",
673006680,South Main Street,tertiary,False,False,185.337,2,,,,"LINESTRING (-90.2945015 37.5577846, -90.2944568 37.559451)",
673006687,West College Avenue,secondary,False,False,143.245,2,US 67 Bus,30 mph,,"LINESTRING (-90.2945015 37.5577846, -90.2961258 37.5578233)",
18576518,Church Street,residential,False,False,136.354,,,,,"LINESTRING (-90.2927395 37.5635375, -90.2942855 37.5635813)",
18577167,North Mine la Motte Avenue,residential,False,True,133.823,,,,,"LINESTRING (-90.2927395 37.5635375, -90.2928043 37.5623351)",
18576518,Church Street,residential,False,True,136.354,,,,,"LINESTRING (-90.2942855 37.5635813, -90.2927395 37.5635375)",
"[216197912, 18577232, 216197908]",North Main Street,residential,False,True,313.566,,,,yes,"LINESTRING (-90.2942855 37.5635813, -90.2943392 37.5621168, -90.2943521 37.561759, -90.2944428 37.5607647)",
18576925,Jennifer Street,residential,False,True,69.063,,,,,"LINESTRING (-90.2888173 37.5632769, -90.2887133 37.5626613)",
18576925,Jennifer Street,residential,False,False,133.30100000000002,,,,,"LINESTRING (-90.2888173 37.5632769, -90.2888742 37.5635109, -90.2889654 37.5636428, -90.2890941 37.5637448, -90.2891162 37.563751, -90.2892424 37.5637863, -90.2897593 37.5638979, -90.2898905 37.5639504)",
18576610,Baker Drive,residential,False,False,156.705,,,,,"LINESTRING (-90.2884866 37.5609136, -90.2902644 37.5609185)",
18576925,Jennifer Street,residential,False,False,73.852,,,,,"LINESTRING (-90.2884866 37.5609136, -90.2885958 37.5615721)",
18576925,Jennifer Street,residential,False,True,83.816,,,,,"LINESTRING (-90.2884866 37.5609136, -90.2883603 37.5601665)",
18576610,Baker Drive,residential,False,True,156.705,,,,,"LINESTRING (-90.2902644 37.5609185, -90.2884866 37.5609136)",
18576612,Sherlock Drive,residential,False,False,180.057,,,,,"LINESTRING (-90.2906364 37.5616465, -90.2885958 37.5615721)",
18576612,Sherlock Drive,residential,False,True,180.057,,,,,"LINESTRING (-90.2885958 37.5615721, -90.2906364 37.5616465)",
18576925,Jennifer Street,residential,False,True,73.852,,,,,"LINESTRING (-90.2885958 37.5615721, -90.2884866 37.5609136)",
18576925,Jennifer Street,residential,False,False,121.70599999999999,,,,,"LINESTRING (-90.2885958 37.5615721, -90.288618 37.562097, -90.2886544 37.5623126, -90.2887133 37.5626613)",
