osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,width,junction
131823447,False,2,A4118,Mansel Street,primary,20 mph,False,23.16,"LINESTRING (-3.9478194 51.6212256, -3.9475495 51.6213493)",,,
"[22821920, 162799385, 835377826]",False,"['3', '2']",A4118,Mansel Street,primary,20 mph,True,134.493,"LINESTRING (-3.9478194 51.6212256, -3.9481622 51.6211016, -3.948391 51.6210336, -3.9486253 51.6209792, -3.9489271 51.620923, -3.9492548 51.6208731, -3.9494417 51.6208438, -3.9496379 51.6208131)",,,
23035872,False,2,A4118,De La Beche Street,primary,20 mph,True,118.719,"LINESTRING (-3.9462076 51.6220152, -3.946363 51.6219544, -3.9464255 51.6219293, -3.9467066 51.6217842, -3.9473966 51.6214282, -3.9475495 51.6213493)",,,
23035876,False,2,A4118,Grove Place,primary,20 mph,False,66.257,"LINESTRING (-3.9462076 51.6220152, -3.9460488 51.6220583, -3.945955 51.6220959, -3.9457444 51.6221928, -3.9455154 51.6223567, -3.9454793 51.6223889)",,,
158732035,False,,,Mount Pleasant,tertiary,30 mph,True,129.673,"LINESTRING (-3.9462076 51.6220152, -3.946328 51.6220856, -3.9465284 51.622175, -3.9467991 51.622295, -3.9469085 51.6223506, -3.947027 51.6224382, -3.9472076 51.6226165, -3.9474047 51.6228805)",,,
"[936407800, 5666767]",False,2,,The Kingsway,tertiary,20 mph,False,172.043,"LINESTRING (-3.9436045 51.6216262, -3.943647 51.6215533, -3.9437011 51.6215073, -3.9437203 51.6214885, -3.9437935 51.6214409, -3.9438343 51.6214142, -3.9439699 51.6213373, -3.9446276 51.6211182, -3.9447655 51.6210723, -3.9449672 51.6210025, -3.9453938 51.6208551, -3.9456283 51.6207737)",,,
"[17364035, 1233443972, 936407797, 936407798, 17364094]",False,"['3', '2']",B4290,"['Bellevue Way', 'Grove Place']",secondary,20 mph,False,155.34300000000002,"LINESTRING (-3.9436045 51.6216262, -3.9438233 51.6216768, -3.9439891 51.6217342, -3.9441993 51.6218142, -3.9442873 51.6218559, -3.9445608 51.6219856, -3.9446931 51.622041, -3.9450336 51.6221864, -3.9452966 51.6222988, -3.9454793 51.6223889)",,,
"[9527812, 30130942, 137491583]",False,4,B4290,College Street,secondary,20 mph,True,96.727,"LINESTRING (-3.9436045 51.6216262, -3.9435415 51.6216159, -3.9434782 51.6216056, -3.9434193 51.6215959, -3.9433659 51.6215873, -3.9432062 51.6215807, -3.9430717 51.6215873, -3.9422221 51.6216678)",,,
"[842131933, 21553911]",False,"['3', '2']",,Orchard Street,tertiary,20 mph,True,229.99400000000003,"LINESTRING (-3.9436045 51.6216262, -3.9435783 51.6216852, -3.9435607 51.6217306, -3.9435465 51.6217691, -3.9435256 51.6218289, -3.9434816 51.622015, -3.9434627 51.6220986, -3.9434576 51.6221211, -3.9433936 51.6224066, -3.9433621 51.6225466, -3.9433312 51.6226863, -3.9432 51.6232485, -3.9431664 51.623462, -3.9431463 51.6236236, -3.9431396 51.6236727)",,,
9473194,True,2,,,unclassified,20 mph,False,15.961,"LINESTRING (-3.9465428 51.6165222, -3.9465018 51.6165955, -3.9464288 51.6166434)",,,
