osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,ref
"[435657099, 23888140, 25026653, 33116710]","['4', '3']",East Jackson Drive,secondary,False,False,289.8670000000001,yes,"LINESTRING (-87.6242078 41.8782927, -87.6240966 41.8782918, -87.6231381 41.8783018, -87.6230825 41.8783027, -87.622948 41.8783048, -87.622816 41.8783069, -87.6225179 41.8783116, -87.6223786 41.8783138, -87.6223275 41.8783142, -87.6221271 41.8783159, -87.6219204 41.8783176, -87.6218506 41.8783182, -87.6217792 41.8783188, -87.6217556 41.878319, -87.6216389 41.87832, -87.6213746 41.8783224, -87.6212114 41.8783238, -87.620899 41.8783266, -87.6207071 41.8783304)",,
"[163148296, 435562943]","['4', '3']",South Michigan Avenue,secondary,True,False,140.986,,"LINESTRING (-87.6242078 41.8782927, -87.6242165 41.8783771, -87.6242413 41.8787842, -87.6242767 41.8792117, -87.6242888 41.8794949, -87.62429 41.879559)",30 mph,
178424385,,East Jackson Boulevard,secondary,True,False,16.989,,"LINESTRING (-87.624413 41.8782936, -87.6242078 41.8782927)",,
"[372671690, 435559514]",3,South Michigan Avenue,secondary,True,False,142.765,,"LINESTRING (-87.624413 41.8782936, -87.6244091 41.8781944, -87.6243938 41.8773234, -87.6243858 41.8770955, -87.6243796 41.87701)",30 mph,
4630404,2,South Wabash Avenue,secondary,True,False,142.78099999999998,,"LINESTRING (-87.6260987 41.8782617, -87.6260977 41.8781802, -87.6260882 41.8779039, -87.6260844 41.8777582, -87.6260783 41.8775276, -87.6260664 41.8770545, -87.6260662 41.8769779)",,
"[435657098, 615645277]",3,East Jackson Boulevard,secondary,True,False,139.614,,"LINESTRING (-87.6260987 41.8782617, -87.6259507 41.8782649, -87.625354 41.8782775, -87.6252532 41.8782807, -87.6245387 41.8782943, -87.624413 41.8782936)",,Hist US 66
445290295,4,South State Street,secondary,False,False,141.583,,"LINESTRING (-87.6276919 41.8782108, -87.6276922 41.8781217, -87.6276905 41.8780194, -87.6276843 41.877753, -87.6276689 41.8770844, -87.6276671 41.8770158, -87.6276645 41.8769377)",,
"[519223973, 328987166]","['4', '5']",South State Street,secondary,False,True,141.19000000000003,,"LINESTRING (-87.6276919 41.8782108, -87.6276941 41.8782886, -87.6276997 41.8784415, -87.6277039 41.8786245, -87.6277087 41.8788321, -87.6277137 41.8789865, -87.6277201 41.8793526, -87.6277209 41.8794021, -87.6277233 41.8794803)",,
"[4476714, 519223974]",3,East Jackson Boulevard,secondary,True,False,132.067,,"LINESTRING (-87.6276919 41.8782108, -87.6275355 41.8782242, -87.6269392 41.8782443, -87.6262516 41.8782578, -87.6260987 41.8782617)",,Hist US 66
24091488,,South Plymouth Court,residential,False,False,141.98899999999998,,"LINESTRING (-87.6287692 41.8781883, -87.6287662 41.8781033, -87.6287649 41.8780774, -87.6287588 41.877859, -87.6287447 41.8773501, -87.6287417 41.8772131, -87.6287409 41.8769857, -87.6287391 41.8769116)",,
433783095,3,West Jackson Boulevard,secondary,True,False,89.25999999999999,,"LINESTRING (-87.6287692 41.8781883, -87.6284962 41.878191, -87.6279758 41.8781975, -87.6278499 41.8781998, -87.6276919 41.8782108)",,Hist US 66
615644380,3,West Jackson Boulevard,secondary,True,False,43.188,,"LINESTRING (-87.6292907 41.8781794, -87.6291853 41.8781812, -87.6287692 41.8781883)",,Hist US 66
"[1191598987, 1038761525, 1038761526]","['4', '3']",South Dearborn Street,secondary,True,False,140.685,,"LINESTRING (-87.6292907 41.8781794, -87.629293 41.8782643, -87.6293013 41.878662, -87.6293105 41.878948, -87.6293238 41.8793591, -87.629327 41.8794443)",,
1190700429,2,East Van Buren Street,secondary,True,False,132.51600000000002,,"LINESTRING (-87.6260662 41.8769779, -87.6262151 41.8769689, -87.6263735 41.8769682, -87.6269176 41.876966, -87.627123 41.8769644, -87.6275153 41.8769532, -87.6276645 41.8769377)",,
"[1051441731, 1190700430]","['4', '2']",South Wabash Avenue,secondary,True,False,142.788,,"LINESTRING (-87.6260662 41.8769779, -87.6260647 41.8769072, -87.6260674 41.8767533, -87.6260615 41.8765374, -87.6260456 41.8761715, -87.6260451 41.8760889, -87.6260389 41.8758181, -87.6260353 41.8756941)",,
4476710,2,East Van Buren Street,secondary,True,False,139.72,,"LINESTRING (-87.6243796 41.87701, -87.6245254 41.8770136, -87.6252264 41.8770007, -87.6253524 41.876998, -87.6257642 41.8769891, -87.6259197 41.8769858, -87.6260662 41.8769779)",,
236157423,3,South Michigan Avenue,secondary,True,False,143.069,,"LINESTRING (-87.6243796 41.87701, -87.6243661 41.8763823, -87.6243639 41.8763164, -87.6243485 41.8758534, -87.6243501 41.8757236)",30 mph,
