osmid,name,highway,access,oneway,reversed,length,geometry,ref,lanes,bridge
11729712,River Place,residential,customers,False,True,178.56400000000002,"LINESTRING (-74.2016411 39.9501775, -74.2003159 39.9503155, -74.1999762 39.9503703, -74.1998404 39.9503638, -74.1998046 39.9503515, -74.1996883 39.9503114, -74.1995903 39.9502776)",,,
11720665,,residential,,False,False,94.096,"LINESTRING (-74.1963639 39.9518776, -74.1952996 39.951653)",,,
"[11732822, 11740423]","['Court House Lane', 'Wilsey Way']",residential,,False,"[False, True]",124.49600000000001,"LINESTRING (-74.1963639 39.9518776, -74.1962901 39.9520681, -74.1963367 39.9520792, -74.1968565 39.9522032, -74.197243 39.9523004, -74.1974337 39.9523499)",,,
11759685,Horner Street,residential,,False,True,81.136,"LINESTRING (-74.1963639 39.9518776, -74.1965244 39.9514732, -74.1965552 39.9513956, -74.1966409 39.9511795)",,,
11720665,,residential,,False,True,94.096,"LINESTRING (-74.1952996 39.951653, -74.1963639 39.9518776)",,,
11725684,Allen Street,residential,,True,False,122.562,"LINESTRING (-74.1952996 39.951653, -74.1952585 39.9517767, -74.1952358 39.9518449, -74.195186 39.9519946, -74.1949446 39.9527211)",,,
24587936,South Main Street,primary,,False,False,12.554,"LINESTRING (-74.1996526 39.9501753, -74.1995903 39.9502776)",CR 530,,
11724112,Irons Street,residential,,False,False,81.559,"LINESTRING (-74.1993269 39.9543017, -74.1992816 39.9543152, -74.1990429 39.9543837, -74.1985016 39.9545362, -74.1984405 39.9545717)",,,
11739914,Snyder Street,residential,,False,True,69.047,"LINESTRING (-74.1993269 39.9543017, -74.1995595 39.954228, -74.2000876 39.954089)",,,
31449365,Irons Street,residential,,False,True,201.739,"LINESTRING (-74.1993269 39.9543017, -74.1993152 39.9540779, -74.1993128 39.9540318, -74.1993188 39.9539501, -74.1993353 39.9538751, -74.1993707 39.9537706, -74.19939 39.953723, -74.1994442 39.9536566, -74.199528 39.953554, -74.1996448 39.9534383, -74.19969 39.9533961, -74.1998029 39.9532942, -74.1999747 39.9531391, -74.2000921 39.9530331, -74.2002998 39.9528208, -74.2003731 39.9527549)",,,
11724112,Irons Street,residential,,False,True,81.559,"LINESTRING (-74.1984405 39.9545717, -74.1985016 39.9545362, -74.1990429 39.9543837, -74.1992816 39.9543152, -74.1993269 39.9543017)",,,
11754217,Legion Court,residential,,False,False,108.86000000000001,"LINESTRING (-74.1984405 39.9545717, -74.198381 39.9546043, -74.1981393 39.9546389, -74.1980957 39.9546451, -74.1971974 39.9547735)",,,
585684823,North Main Street,primary,,False,False,127.73200000000001,"LINESTRING (-74.1984405 39.9545717, -74.1984145 39.9544828, -74.1983745 39.9543396, -74.19833 39.95418, -74.1982999 39.9540724, -74.1982243 39.9538015, -74.1981554 39.9534955, -74.1981667 39.9534459)",NJ 166,2,
845346901,North Main Street,primary,,False,True,108.28300000000002,"LINESTRING (-74.1984405 39.9545717, -74.1985694 39.9550645, -74.1985958 39.9551607, -74.1986036 39.9551891, -74.1986394 39.9553193, -74.1986507 39.9553606, -74.198696 39.9555256)",NJ 166,2,
11724119,Irons Street,unclassified,,False,False,160.27099999999996,"LINESTRING (-74.202331 39.950759, -74.2021578 39.9509204, -74.2018593 39.9512454, -74.2017339 39.95137, -74.2016579 39.9514394, -74.2014739 39.9516334, -74.2013914 39.9517093, -74.201262 39.9518457, -74.2011958 39.951907)",,,
11724119,Irons Street,unclassified,,False,True,160.271,"LINESTRING (-74.2011958 39.951907, -74.201262 39.9518457, -74.2013914 39.9517093, -74.2014739 39.9516334, -74.2016579 39.9514394, -74.2017339 39.95137, -74.2018593 39.9512454, -74.2021578 39.9509204, -74.202331 39.950759)",,,
"[838615216, 31535772, 11750741]",Herflicker Boulevard,primary,,True,False,215.036,"LINESTRING (-74.2011958 39.951907, -74.2011255 39.9518581, -74.2009176 39.9517261, -74.2007311 39.951595, -74.2003641 39.9512888, -74.2000031 39.9509874, -74.1995136 39.9505935, -74.199433 39.9505265)",NJ 166,2,yes
31449363,West Water Street,secondary,,False,False,149.303,"LINESTRING (-74.2003731 39.9527549, -74.2004511 39.9527897, -74.2005178 39.9528235, -74.2011023 39.9531197, -74.2012783 39.9532089, -74.2016583 39.9534014, -74.201837 39.953492)",CR 527,,
31449365,Irons Street,residential,,False,False,201.73899999999998,"LINESTRING (-74.2003731 39.9527549, -74.2002998 39.9528208, -74.2000921 39.9530331, -74.1999747 39.9531391, -74.1998029 39.9532942, -74.19969 39.9533961, -74.1996448 39.9534383, -74.199528 39.953554, -74.1994442 39.9536566, -74.19939 39.953723, -74.1993707 39.9537706, -74.1993353 39.9538751, -74.1993188 39.9539501, -74.1993128 39.9540318, -74.1993152 39.9540779, -74.1993269 39.9543017)",,,
31449366,Irons Street,primary,,True,False,117.55,"LINESTRING (-74.2003731 39.9527549, -74.2004842 39.9526417, -74.2005713 39.9525461, -74.2008295 39.9522625, -74.2008694 39.9522244, -74.2010472 39.9520544, -74.2011958 39.951907)",NJ 166,2,
"[631145757, 916879374]",West Water Street,primary,,False,True,134.456,"LINESTRING (-74.2003731 39.9527549, -74.2002721 39.9527234, -74.1997807 39.952484, -74.1995144 39.9523543, -74.1992844 39.9522423, -74.1991872 39.952195, -74.1991311 39.9521676, -74.1990328 39.9521197)",NJ 166;CR 527,4,
11725684,Allen Street,residential,,True,False,87.11500000000001,"LINESTRING (-74.1955653 39.9508965, -74.1953529 39.9515012, -74.1953051 39.9516372, -74.1952996 39.951653)",,,
826317889,East Water Street,primary,,False,False,129.362,"LINESTRING (-74.1955653 39.9508965, -74.1953206 39.950866, -74.1952432 39.9508511, -74.1950838 39.9508204, -74.1947298 39.9507757, -74.1945561 39.9507677, -74.1940634 39.9507633)",CR 549,,
826317889,East Water Street,primary,,False,True,97.673,"LINESTRING (-74.1955653 39.9508965, -74.1957777 39.9509246, -74.1959541 39.9509541, -74.196139 39.9509945, -74.1961766 39.9510064, -74.1963375 39.9510571, -74.1966409 39.9511795)",CR 549,,
588360416,Washington Street,secondary,,False,True,87.869,"LINESTRING (-74.1949446 39.9527211, -74.1959297 39.9529539)",,,
588360416,Washington Street,secondary,,False,False,91.037,"LINESTRING (-74.1949446 39.9527211, -74.1943655 39.9525928, -74.1939186 39.9524937)",,,
11727198,East Water Street,primary,,False,False,51.755,"LINESTRING (-74.1986177 39.9519194, -74.1985295 39.9518731, -74.1980969 39.9516805)",CR 549,3,
11738375,West Water Street,primary,,False,False,41.834999999999994,"LINESTRING (-74.1986177 39.9519194, -74.1986969 39.9519638, -74.1990328 39.9521197)",NJ 166;CR 527,3,
631145763,North Main Street,primary,,False,True,35.74,"LINESTRING (-74.1986177 39.9519194, -74.1985683 39.9520002, -74.1984402 39.9522106)",NJ 166,2,
826317888,East Water Street,primary,,False,True,30.297,"LINESTRING (-74.1977745 39.9515658, -74.1980969 39.9516805)",CR 549,,
11732738,Robbins Street,residential,,False,False,91.91,"LINESTRING (-74.1977745 39.9515658, -74.19772 39.9516774, -74.1976886 39.9517511, -74.1976522 39.9518367, -74.1975864 39.9519911, -74.1975345 39.9521131, -74.1974526 39.9523056, -74.1974337 39.9523499)",,,
826317889,East Water Street,primary,,False,False,105.807,"LINESTRING (-74.1977745 39.9515658, -74.1973627 39.9514348, -74.1972665 39.951402, -74.196835 39.951255, -74.1967479 39.9512258, -74.1966409 39.9511795)",CR 549,,
11759685,Horner Street,residential,,False,False,81.136,"LINESTRING (-74.1966409 39.9511795, -74.1965552 39.9513956, -74.1965244 39.9514732, -74.1963639 39.9518776)",,,
826317889,East Water Street,primary,,False,False,97.673,"LINESTRING (-74.1966409 39.9511795, -74.1963375 39.9510571, -74.1961766 39.9510064, -74.196139 39.9509945, -74.1959541 39.9509541, -74.1957777 39.9509246, -74.1955653 39.9508965)",CR 549,,
826317889,East Water Street,primary,,False,True,105.80699999999999,"LINESTRING (-74.1966409 39.9511795, -74.1967479 39.9512258, -74.196835 39.951255, -74.1972665 39.951402, -74.1973627 39.9514348, -74.1977745 39.9515658)",CR 549,,
870953305,Robbins Parkway,residential,,False,True,48.157,"LINESTRING (-74.1966409 39.9511795, -74.1966761 39.9510949, -74.1967526 39.9509111, -74.1967937 39.9508123, -74.1968126 39.9507669)",,,
