osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,ref
5487306,2,Victoria Street,tertiary,30 mph,False,False,33.717,"LINESTRING (-0.6104464 51.4798443, -0.610338 51.479843, -0.6099596 51.4798386)",,
934485073,2,William Street,unclassified,,False,True,28.591,"LINESTRING (-0.6104464 51.4798443, -0.6104446 51.4798841, -0.6104332 51.4801013)",,
"[5487267, 89321214]",,"['River Street', 'Goswell Road']",tertiary,30 mph,False,"[False, True]",178.96699999999998,"LINESTRING (-0.6108461 51.4847864, -0.6105325 51.484838, -0.6099166 51.4849115, -0.6091701 51.4850052, -0.6090773 51.4849923, -0.6090161 51.4849513, -0.6087248 51.4846665, -0.6086368 51.4845952)",,
5487273,,Goswell Road,tertiary,30 mph,False,True,130.54000000000002,"LINESTRING (-0.6108461 51.4847864, -0.6109906 51.4842604, -0.6110611 51.4839952, -0.611086 51.4839056, -0.6111627 51.4836291)",,
194474793,2,Park Street,residential,30 mph,False,True,18.924,"LINESTRING (-0.605495 51.4809364, -0.6056213 51.4809519, -0.6056958 51.4809482, -0.6057656 51.4809492)",,
223153474,2,Saint Alban's Street,unclassified,,False,True,36.654,"LINESTRING (-0.605495 51.4809364, -0.6054827 51.4810973, -0.6055248 51.4811797, -0.6055441 51.4812609)",,
260278803,,Park Street,residential,30 mph,False,False,125.905,"LINESTRING (-0.605495 51.4809364, -0.6053185 51.480882, -0.6045805 51.4805635, -0.604346 51.4804733, -0.6039711 51.4803209)",,
5063316,,Castle Hill,unclassified,30 mph,False,True,54.75600000000001,"LINESTRING (-0.6064647 51.482784, -0.6065152 51.4827906, -0.6065623 51.4827862, -0.606799 51.4827369, -0.6068455 51.4827272, -0.6071229 51.4826695, -0.6072172 51.482648)",,
8371386,,Saint Alban's Street,unclassified,,True,False,182.16600000000003,"LINESTRING (-0.6064647 51.482784, -0.6063972 51.4826649, -0.6063383 51.4825824, -0.6061913 51.4823762, -0.6060757 51.482214, -0.6059161 51.4820088, -0.6058791 51.4819633, -0.6058164 51.4818863, -0.6056777 51.4817028, -0.605659 51.4816724, -0.6056447 51.4816388, -0.6056173 51.4815554, -0.6055791 51.481408, -0.6055441 51.4812609)",,
1164897819,,Castle Hill,unclassified,30 mph,False,False,20.442,"LINESTRING (-0.6064647 51.482784, -0.606428 51.482804, -0.6063749 51.482822, -0.6061991 51.4828598)",,
