osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction
25617192,2,R458,Carmody Street,secondary,False,False,128.46099999999998,"LINESTRING (-8.9856863 52.8417243, -8.9857974 52.8417757, -8.9865201 52.8421102, -8.9870991 52.8423715, -8.98719 52.8424354)",,,
55681690,,R458,Clare Road,secondary,False,True,125.81700000000001,"LINESTRING (-8.9856863 52.8417243, -8.9855357 52.8416705, -8.9852516 52.841569, -8.9847801 52.841418, -8.9841122 52.8412541, -8.9840069 52.8412283)",,,
"[222627832, 460637946, 222627830]",,R475,"['Linnane Terrace', 'Kilrush Road']",secondary,False,True,276.327,"LINESTRING (-8.9856863 52.8417243, -8.9857503 52.8416382, -8.9860018 52.8412999, -8.9860152 52.8412811, -8.9861498 52.8410922, -8.9862009 52.8410305, -8.9862265 52.8409996, -8.9868159 52.8402299, -8.9868844 52.8401392, -8.9869199 52.8400921, -8.9871487 52.8397892, -8.9873944 52.8394637)",,,
460637947,,,Upper Market Street,tertiary,False,False,57.515,"LINESTRING (-8.9856863 52.8417243, -8.9856187 52.8418068, -8.9854838 52.8419716, -8.9853003 52.842186)",,,
25617192,2,R458,Carmody Street,secondary,False,True,68.074,"LINESTRING (-8.9880057 52.8435707, -8.9876674 52.8429936)",,,
25617191,,R458,Cornmarket Street,secondary,False,False,51.79,"LINESTRING (-8.9880057 52.8435707, -8.9882254 52.8439058, -8.9882914 52.8440033)",,,
38537462,,,Old Mill Street,residential,False,False,17.908,"LINESTRING (-8.9880057 52.8435707, -8.988115 52.8435905, -8.9882668 52.8435815)",,,
8114440,,R469,Quin Road,secondary,False,False,37.611,"LINESTRING (-8.9777054 52.8404104, -8.9771455 52.8404051)",50,,
22794560,,R871,Clon Road,secondary,False,True,107.732,"LINESTRING (-8.9777054 52.8404104, -8.9783152 52.8395143)",,,
441524653,2,R469,Station Road,secondary,False,False,88.782,"LINESTRING (-8.9777054 52.8404104, -8.9781565 52.8404766, -8.9789899 52.8405988)",,,
"[22801395, 25616270, 25616271]",2,,Abbey Street,tertiary,False,False,36.160000000000004,"LINESTRING (-8.9824269 52.8463191, -8.9823146 52.8462999, -8.9822889 52.8462955, -8.981979 52.846242, -8.9819316 52.8462087)",,yes,
38159260,,R352,Harmony Row,secondary,False,True,194.303,"LINESTRING (-8.9824269 52.8463191, -8.9825712 52.8462992, -8.9827414 52.8462991, -8.983003 52.8462989, -8.9836911 52.8463089, -8.9838318 52.8462991, -8.9848279 52.8462286, -8.9851081 52.8462427, -8.9853042 52.8462646)",,,
140243727,,R352,Newbridge Road,secondary,False,False,85.723,"LINESTRING (-8.9824269 52.8463191, -8.9823856 52.8463792, -8.982109 52.847065)",,,
39646369,,R469,O'Connell Street,secondary,True,False,53.26,"LINESTRING (-8.9838264 52.8416947, -8.9840069 52.8412283)",,,
33360973,,,Old Barrack Street,tertiary,True,False,49.11,"LINESTRING (-8.9838264 52.8416947, -8.9842051 52.8418434, -8.9844138 52.8419557)",,,
26888793,,,Turnpike Road,residential,False,False,66.57400000000001,"LINESTRING (-8.9840069 52.8412283, -8.9842803 52.8409779, -8.9844309 52.840811, -8.9844998 52.8407106)",,,
55681690,,R458,Clare Road,secondary,False,False,125.817,"LINESTRING (-8.9840069 52.8412283, -8.9841122 52.8412541, -8.9847801 52.841418, -8.9852516 52.841569, -8.9855357 52.8416705, -8.9856863 52.8417243)",,,
55681690,,R458,Clare Road,secondary,False,True,187.438,"LINESTRING (-8.9840069 52.8412283, -8.9838431 52.8411582, -8.9837491 52.8410765, -8.983709 52.8408896, -8.9836136 52.8404449, -8.9835437 52.8400581, -8.9834672 52.8396216)",,,
39646369,,R469,O'Connell Street,secondary,True,False,48.896,"LINESTRING (-8.9835778 52.842108, -8.9838264 52.8416947)",,,
22794683,2,R469,Station Road,secondary,False,True,242.02800000000002,"LINESTRING (-8.9835778 52.842108, -8.9832879 52.8420387, -8.9830312 52.8419787, -8.9827188 52.841893, -8.982455 52.841789, -8.9822783 52.841725, -8.9811678 52.8412957, -8.9808824 52.8411854, -8.9805513 52.8410539, -8.9804688 52.8410211)",,,
22794683,2,R469,Station Road,secondary,False,False,242.028,"LINESTRING (-8.9804688 52.8410211, -8.9805513 52.8410539, -8.9808824 52.8411854, -8.9811678 52.8412957, -8.9822783 52.841725, -8.982455 52.841789, -8.9827188 52.841893, -8.9830312 52.8419787, -8.9832879 52.8420387, -8.9835778 52.842108)",,,
22800101,2,,Friars Walk,tertiary,False,True,172.604,"LINESTRING (-8.9804688 52.8410211, -8.9795719 52.8418501, -8.9794859 52.8419294, -8.9793206 52.8420821, -8.9790481 52.8423144)",,,
219771830,2,,,tertiary,False,False,176.42600000000002,"LINESTRING (-8.9804688 52.8410211, -8.9811238 52.8403157, -8.9815392 52.8398684, -8.9815983 52.839822, -8.9816729 52.8397923, -8.9819188 52.8397579)",,,
"[596212906, 441524653, 596212910]",2,R469,Station Road,secondary,False,True,110.522,"LINESTRING (-8.9804688 52.8410211, -8.9803488 52.840979, -8.9800221 52.8408645, -8.9797609 52.8407729, -8.9794227 52.8406708, -8.9789899 52.8405988)",,,
22800113,2,,The Causeway Link,tertiary,False,True,192.25600000000003,"LINESTRING (-8.9785569 52.8453742, -8.9785204 52.8453277, -8.9784735 52.8452833, -8.9781901 52.8450123, -8.9779218 52.8447545, -8.9775724 52.8444169, -8.9774414 52.8442922, -8.9773867 52.8441899, -8.9773563 52.8440818, -8.9774006 52.8439657, -8.9774506 52.8438519)",,,
218998266,2,,Francis Street,tertiary,False,False,181.689,"LINESTRING (-8.9785569 52.8453742, -8.9788111 52.8452932, -8.9790603 52.8452258, -8.9792313 52.8451956, -8.9794223 52.8451726, -8.9796361 52.8451447, -8.9801782 52.8451117, -8.9805047 52.8451164, -8.980745 52.8451311, -8.9811774 52.8451812)",50,,
218998266,2,,Francis Street,tertiary,False,True,100.558,"LINESTRING (-8.9785569 52.8453742, -8.9784073 52.8454226, -8.9780181 52.8455485, -8.9774493 52.8457324, -8.9772369 52.8458011)",50,,
22800074,2,R352,Gort Road,secondary,False,True,32.306,"LINESTRING (-8.9817755 52.8476814, -8.9816396 52.8479601)",50,,
38556224,,,Marian Avenue,residential,False,False,49.058,"LINESTRING (-8.9817755 52.8476814, -8.9819532 52.8477426, -8.9820871 52.8478269, -8.9821803 52.8479154, -8.9822331 52.8480059)",,,
140243727,,R352,Newbridge Road,secondary,False,True,72.597,"LINESTRING (-8.9817755 52.8476814, -8.9819218 52.8475205, -8.982065 52.8471721, -8.982109 52.847065)",,,
22801265,2,R352,Saint Anthony's Terrace,secondary,False,False,117.53399999999999,"LINESTRING (-8.9883976 52.8470145, -8.9880667 52.8468773, -8.9875689 52.8467632, -8.9868823 52.8466336, -8.9867929 52.8466109)",,,
55681693,,,The Maid Of Erin Roundabout,secondary,True,False,27.445,"LINESTRING (-8.9883976 52.8470145, -8.9884237 52.8470072, -8.9884527 52.847002, -8.9885083 52.8469992, -8.9885633 52.8470054, -8.988612 52.8470197, -8.9886529 52.8470411, -8.9886837 52.8470685, -8.9886977 52.8470903, -8.9887045 52.8471117)",,,roundabout
