osmid,oneway,lanes,highway,reversed,length,name,maxspeed,geometry,bridge,ref
35064137,True,3,motorway_link,False,19.185,,,"LINESTRING (-117.244168 33.5962913, -117.2443095 33.5964173)",,
"[35701324, 986523382]",True,,primary,False,350.74299999999994,Clinton Keith Road,35 mph,"LINESTRING (-117.244168 33.5962913, -117.2435167 33.5967552, -117.2434434 33.5968004, -117.2431929 33.5969535, -117.2429801 33.5970605, -117.2429452 33.597078, -117.2428079 33.5971286, -117.242411 33.5972819, -117.2420411 33.5973989, -117.2417968 33.5974741, -117.2413891 33.5975612, -117.2409833 33.5976214, -117.2409557 33.5976255, -117.2408239 33.5976451)",,
"[35077560, 332480850]",True,"['1', '3']",motorway_link,False,367.39,,,"LINESTRING (-117.2456225 33.5952208, -117.2454861 33.5951337, -117.2446276 33.5945856, -117.2442732 33.5943316, -117.2440202 33.5941159, -117.2437683 33.5938833, -117.2435668 33.593694, -117.2431276 33.5933306, -117.2426937 33.5930043)",,
"[80104689, 35701323, 35701324]",True,,primary,False,179.814,Clinton Keith Road,35 mph,"LINESTRING (-117.2456225 33.5952208, -117.2452838 33.595466, -117.2445306 33.5960416, -117.244286 33.59621, -117.244168 33.5962913)",yes,
332480848,True,4,motorway,False,384.682,Escondido Freeway,,"LINESTRING (-117.2397185 33.5906543, -117.2401584 33.5910222, -117.240586 33.5914143, -117.2412292 33.5920256, -117.2423586 33.5933169)",,I 15
"[7000224, 332480851]",True,"['3', '2']",motorway_link,False,371.37500000000006,,,"LINESTRING (-117.2423586 33.5933169, -117.2424972 33.5936378, -117.2429372 33.5942277, -117.2431442 33.5945653, -117.2433366 33.594901, -117.2435324 33.5952307, -117.2439502 33.5959202, -117.2441033 33.5961811, -117.2441138 33.5961991, -117.244168 33.5962913)",,
7189839,False,,residential,True,252.68400000000003,Catt Road,,"LINESTRING (-117.245159 33.597768, -117.2446909 33.5977645, -117.2438997 33.5977585, -117.2436365 33.5977565, -117.243091 33.5977537, -117.2430752 33.5976358, -117.2430336 33.5974818, -117.243024 33.597467, -117.2429416 33.5973406, -117.2429302 33.5973232, -117.2428769 33.5972416)",,
7189839,False,,residential,False,7.061,Catt Road,,"LINESTRING (-117.2428405 33.5971858, -117.2428769 33.5972416)",,
7117964,False,2,unclassified,False,205.08599999999996,Wildomar Trail,,"LINESTRING (-117.2408295 33.5969314, -117.2408355 33.5964884, -117.2408359 33.5964468, -117.2408482 33.5952247, -117.2408496 33.5950871)",,
660198514,False,,residential,True,22.97,,,"LINESTRING (-117.2408295 33.5969314, -117.2407021 33.5969088, -117.2405844 33.5969061)",,
1247292309,False,3,unclassified,True,79.36200000000001,Wildomar Trail,,"LINESTRING (-117.2408295 33.5969314, -117.2408252 33.597478, -117.2408248 33.5975266, -117.2408246 33.59755, -117.2408239 33.5976451)",,
7117964,False,2,unclassified,True,117.37100000000001,Wildomar Trail,,"LINESTRING (-117.2408603 33.5940316, -117.2408573 33.594329, -117.2408525 33.5947975, -117.2408496 33.5950871)",,
1171516533,True,4,motorway_link,False,17.96,,,"LINESTRING (-117.245754 33.5953395, -117.2456225 33.5952208)",,
"[371981594, 371981595, 475565492]",True,,primary,False,179.63500000000002,Clinton Keith Road,35 mph,"LINESTRING (-117.2443095 33.5964173, -117.2446405 33.5961629, -117.2453985 33.5955946, -117.2455695 33.5954687, -117.2456472 33.5954143, -117.245754 33.5953395)",yes,
"[610626931, 1247292286]",True,2,primary,False,233.80800000000002,Clinton Keith Road,45 mph,"LINESTRING (-117.2383048 33.5977956, -117.2396966 33.5978025, -117.2399801 33.5978009, -117.240115 33.5978002, -117.2403564 33.5977958, -117.2406624 33.5977763, -117.240689 33.5977746, -117.2408275 33.5977636)",,
986523383,False,4,secondary,True,13.181,Wildomar Trail,,"LINESTRING (-117.2408275 33.5977636, -117.2408239 33.5976451)",,
986523384,True,,primary,False,199.57399999999998,Clinton Keith Road,35 mph,"LINESTRING (-117.2408275 33.5977636, -117.2409611 33.5977465, -117.2411343 33.5977243, -117.2416117 33.5976394, -117.2419605 33.5975651, -117.2423761 33.5974361, -117.2426766 33.5973244, -117.2427744 33.597284, -117.2428769 33.5972416)",,
986523383,False,4,secondary,False,13.181,Wildomar Trail,,"LINESTRING (-117.2408239 33.5976451, -117.2408275 33.5977636)",,
"[610626930, 1253224820]",True,,primary,False,228.573,Clinton Keith Road,45 mph,"LINESTRING (-117.2408239 33.5976451, -117.24071 33.597657, -117.2405791 33.5976707, -117.2402974 33.5976885, -117.2397234 33.5976863, -117.2395546 33.5976802, -117.2391655 33.5976662, -117.2387257 33.597664, -117.2383593 33.5976644)",,
1247292309,False,3,unclassified,False,79.362,Wildomar Trail,,"LINESTRING (-117.2408239 33.5976451, -117.2408246 33.59755, -117.2408248 33.5975266, -117.2408252 33.597478, -117.2408295 33.5969314)",,
610626932,False,2,tertiary,True,11.543,Inland Valley Drive,,"LINESTRING (-117.2367972 33.5977913, -117.2367956 33.5976875)",,
1247292286,True,2,primary,False,139.63400000000001,Clinton Keith Road,45 mph,"LINESTRING (-117.2367972 33.5977913, -117.2372424 33.5977913, -117.2383048 33.5977956)",,
610626932,False,2,tertiary,False,11.543,Inland Valley Drive,,"LINESTRING (-117.2367956 33.5976875, -117.2367972 33.5977913)",,
7189839,False,,residential,True,7.061,Catt Road,,"LINESTRING (-117.2428769 33.5972416, -117.2428405 33.5971858)",,
7189839,False,,residential,False,252.684,Catt Road,,"LINESTRING (-117.2428769 33.5972416, -117.2429302 33.5973232, -117.2429416 33.5973406, -117.243024 33.597467, -117.2430336 33.5974818, -117.2430752 33.5976358, -117.243091 33.5977537, -117.2436365 33.5977565, -117.2438997 33.5977585, -117.2446909 33.5977645, -117.245159 33.597768)",,
475565492,True,,primary,False,161.983,Clinton Keith Road,35 mph,"LINESTRING (-117.2428769 33.5972416, -117.2430079 33.5971879, -117.2431842 33.5971157, -117.2434355 33.5969865, -117.243693 33.5968392, -117.2439925 33.5966541, -117.2441615 33.5965279, -117.2443095 33.5964173)",,
1253224820,True,,primary,False,12.443,Clinton Keith Road,45 mph,"LINESTRING (-117.2383593 33.5976644, -117.2382252 33.5976711)",,
1165510362,True,,residential,False,88.43299999999999,,,"LINESTRING (-117.2383593 33.5976644, -117.2383764 33.5969922, -117.2384206 33.5969293, -117.2384403 33.596882)",,
7117964,False,2,unclassified,False,117.37100000000001,Wildomar Trail,,"LINESTRING (-117.2408496 33.5950871, -117.2408525 33.5947975, -117.2408573 33.594329, -117.2408603 33.5940316)",,
7117964,False,2,unclassified,True,205.08599999999998,Wildomar Trail,,"LINESTRING (-117.2408496 33.5950871, -117.2408482 33.5952247, -117.2408359 33.5964468, -117.2408355 33.5964884, -117.2408295 33.5969314)",,
660198503,False,,residential,False,36.928,,,"LINESTRING (-117.2408496 33.5950871, -117.2405754 33.5950766, -117.2404868 33.5950041)",,
660198503,False,,residential,True,36.928,,,"LINESTRING (-117.2404868 33.5950041, -117.2405754 33.5950766, -117.2408496 33.5950871)",,
1159557111,False,,residential,True,14.121,,,"LINESTRING (-117.2385926 33.5968879, -117.2384403 33.596882)",,
660198510,False,,residential,True,14.385,,,"LINESTRING (-117.2380201 33.5968897, -117.2381753 33.5968849)",,
660198514,False,,residential,False,22.97,,,"LINESTRING (-117.2405844 33.5969061, -117.2407021 33.5969088, -117.2408295 33.5969314)",,
660198510,False,,residential,False,14.385,,,"LINESTRING (-117.2381753 33.5968849, -117.2380201 33.5968897)",,
660198502,True,,residential,False,88.851,,,"LINESTRING (-117.2381753 33.5968849, -117.2382384 33.5969867, -117.2382252 33.5976711)",,
1159557111,False,,residential,False,14.121,,,"LINESTRING (-117.2384403 33.596882, -117.2385926 33.5968879)",,
1165510363,True,,residential,False,35.928,,,"LINESTRING (-117.2384403 33.596882, -117.2384341 33.5968361, -117.2384105 33.5968139, -117.2383566 33.5967963, -117.2382649 33.5967937, -117.2382102 33.5968228, -117.2381753 33.5968849)",,
"[1247292289, 1253224820]",True,4,primary,False,132.439,Clinton Keith Road,45 mph,"LINESTRING (-117.2382252 33.5976711, -117.2379425 33.5976751, -117.2377359 33.5976841, -117.236938 33.597687, -117.2367956 33.5976875)",,
