osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,tunnel
12510879,South E Street,residential,False,True,86.419,"LINESTRING (-82.5871178 34.8304073, -82.58663 34.8297412)",,,,
12520067,Stewart Drive,residential,False,False,31.228,"LINESTRING (-82.581896 34.823881, -82.581776 34.823618)",,,,
12520067,Stewart Drive,residential,False,True,160.522,"LINESTRING (-82.581896 34.823881, -82.5825199 34.8252307)",,,,
12502638,Bowen Avenue,residential,False,False,153.623,"LINESTRING (-82.581896 34.823881, -82.582365 34.823772, -82.5830904 34.8236075, -82.58351 34.823491)",,,,
12502638,Bowen Avenue,residential,False,True,153.623,"LINESTRING (-82.58351 34.823491, -82.5830904 34.8236075, -82.582365 34.823772, -82.581896 34.823881)",,,,
12510879,South E Street,residential,False,False,155.699,"LINESTRING (-82.58351 34.823491, -82.583798 34.824195, -82.583985 34.824631, -82.5840589 34.8248167)",,,,
12510879,South E Street,residential,False,True,109.939,"LINESTRING (-82.58351 34.823491, -82.5834219 34.8232722, -82.583411 34.823245, -82.583288 34.822871, -82.583169 34.822543)",,,,
12504110,Burns Road,residential,False,False,105.079,"LINESTRING (-82.5772976 34.8269858, -82.5774846 34.8271398, -82.577897 34.82744, -82.5780256 34.8275386, -82.5781193 34.8276442)",,,,
12513117,Mae Avenue,residential,False,False,291.57599999999996,"LINESTRING (-82.5772976 34.8269858, -82.5774089 34.8268834, -82.577598 34.8267083, -82.5782845 34.8260915, -82.5788362 34.8255787, -82.5791002 34.8253596, -82.5792554 34.8252554, -82.579399 34.825179, -82.579525 34.825122)",,,,
12504110,Burns Road,residential,False,False,151.871,"LINESTRING (-82.5781193 34.8276442, -82.5782172 34.8279102, -82.5782732 34.828169, -82.5783338 34.8283935, -82.5783813 34.8285128, -82.578567 34.828957)",,,,
12504110,Burns Road,residential,False,True,105.079,"LINESTRING (-82.5781193 34.8276442, -82.5780256 34.8275386, -82.577897 34.82744, -82.5774846 34.8271398, -82.5772976 34.8269858)",,,,
12511344,Burns Avenue,residential,False,False,243.04,"LINESTRING (-82.5781193 34.8276442, -82.579082 34.826726, -82.5793559 34.8264977, -82.5794367 34.8264501, -82.5795833 34.8264024, -82.5798729 34.8263053, -82.580085 34.82624)",,,,
