osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,lanes,bridge
908308366,North Avenue,tertiary,False,False,12.571,"LINESTRING (-85.1802522 42.3233657, -85.1802474 42.3234787)",,,,
908308366,North Avenue,tertiary,False,True,124.102,"LINESTRING (-85.1802522 42.3233657, -85.1802348 42.3231373, -85.1801904 42.3230511, -85.1799955 42.3226724, -85.1799581 42.3225997, -85.179808 42.322308)",,,,
17737943,,residential,True,False,19.162,"LINESTRING (-85.1808083 42.3233389, -85.1806102 42.3234297)",,,,
139269287,McCamly Street,residential,False,True,152.276,"LINESTRING (-85.1808083 42.3233389, -85.1811483 42.3230481, -85.1820196 42.3223029)",,,,
908294509,Capital Avenue Southwest,tertiary,False,True,101.954,"LINESTRING (-85.183462 42.318678, -85.182427 42.319183)",,,,
17735679,,residential,False,False,147.65699999999998,"LINESTRING (-85.183462 42.318678, -85.1833175 42.3185302, -85.1830563 42.318263, -85.1829596 42.318164, -85.182939 42.318143, -85.1829275 42.318116, -85.182916 42.318089, -85.182933 42.318024, -85.18321 42.317519)",,,,
17743356,Jackson Street West,residential,False,False,235.535,"LINESTRING (-85.183462 42.318678, -85.1837567 42.3189958, -85.1844571 42.3197511, -85.185082 42.320425)",30 mph,,,
908294509,Capital Avenue Southwest,tertiary,False,False,123.83700000000002,"LINESTRING (-85.183462 42.318678, -85.1838379 42.3184726, -85.1840578 42.3183524, -85.1840892 42.3183353, -85.184333 42.318202, -85.18468 42.318023)",,,,
17735679,,residential,False,True,147.65699999999998,"LINESTRING (-85.18321 42.317519, -85.182933 42.318024, -85.182916 42.318089, -85.1829275 42.318116, -85.182939 42.318143, -85.1829596 42.318164, -85.1830563 42.318263, -85.1833175 42.3185302, -85.183462 42.318678)",,,,
17738525,Hamblin Avenue East,trunk,False,False,90.707,"LINESTRING (-85.18321 42.317519, -85.1825279 42.3173126, -85.182189 42.31721)",,,,
17738525,Hamblin Avenue East,trunk,False,True,133.228,"LINESTRING (-85.18321 42.317519, -85.1837884 42.3177215, -85.18468 42.318023)",,,,
