osmid,oneway,name,highway,reversed,length,geometry,ref
614677892,False,,secondary_link,True,12.344,"LINESTRING (-88.1368217 42.9065108, -88.1367937 42.9064017)",
614677892,False,,secondary_link,False,12.344,"LINESTRING (-88.1367937 42.9064017, -88.1368217 42.9065108)",
21674328,True,Janesville Road,secondary,False,98.541,"LINESTRING (-88.1367937 42.9064017, -88.1364681 42.9064386, -88.1362336 42.9064651, -88.1357719 42.9065173, -88.135598 42.906537)",CTH L
614677893,False,,secondary_link,True,12.416,"LINESTRING (-88.1375536 42.9064286, -88.1375282 42.9063185)",
551682582,True,Janesville Road,secondary,False,54.301,"LINESTRING (-88.1375536 42.9064286, -88.1377171 42.9064103, -88.137754 42.9064063, -88.1382131 42.906357)",CTH L
614677893,False,,secondary_link,False,12.416,"LINESTRING (-88.1375282 42.9063185, -88.1375536 42.9064286)",
21674328,True,Janesville Road,secondary,False,60.534,"LINESTRING (-88.1375282 42.9063185, -88.1374624 42.906326, -88.1367937 42.9064017)",CTH L
614677894,False,,secondary_link,True,12.755,"LINESTRING (-88.1382131 42.906357, -88.1381854 42.9062441)",
551682582,True,Janesville Road,secondary,False,89.74400000000001,"LINESTRING (-88.1382131 42.906357, -88.1386222 42.9063131, -88.1386573 42.9063093, -88.1390065 42.9062605, -88.1391433 42.9062414, -88.1392971 42.9062144)",CTH L
614677894,False,,secondary_link,False,12.755,"LINESTRING (-88.1381854 42.9062441, -88.1382131 42.906357)",
21674328,True,Janesville Road,secondary,False,54.162,"LINESTRING (-88.1381854 42.9062441, -88.137697 42.9062994, -88.1375282 42.9063185)",CTH L
