osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,bridge
9251559,1,Daniels Court,residential,6.1,False,False,101.099,"LINESTRING (-71.2401494 42.3752989, -71.2401039 42.375503, -71.2400867 42.3756976, -71.2400861 42.3757062, -71.2400823 42.3757601, -71.2400789 42.3757909, -71.2400744 42.3758211, -71.2400163 42.3761134, -71.2399982 42.3762004)",,
490780270,2,Main Street,primary,25.9,False,True,18.8,"LINESTRING (-71.2330281 42.3768346, -71.2332513 42.3767972)",US 20,
9252976,2,Liberty Street,residential,9.1,False,False,52.474999999999994,"LINESTRING (-71.2330281 42.3768346, -71.2330335 42.3768585, -71.2330371 42.3768772, -71.2330397 42.3768962, -71.2330409 42.3769175, -71.2330207 42.3773056)",,
490780270,2,Main Street,primary,25.9,False,False,94.94200000000001,"LINESTRING (-71.2330281 42.3768346, -71.2329659 42.3768437, -71.2328998 42.3768524, -71.2328308 42.376861, -71.2323858 42.3769118, -71.2319798 42.3769581, -71.2318867 42.3769687)",US 20,
9251133,2,Spring Street,residential,9.1,True,False,112.737,"LINESTRING (-71.2388822 42.3771585, -71.2387105 42.3781644)",,
9251121,2,Middle Street,residential,9.1,False,False,89.167,"LINESTRING (-71.2388822 42.3771585, -71.2381267 42.3771802, -71.2377975 42.3771896)",,
"[9251909, 426457013]","['1', '2']",Church Street,secondary,13.7,True,False,40.911,"LINESTRING (-71.2347422 42.3773246, -71.2346634 42.3774601, -71.2345516 42.3776645)",,
9250940,2,School Street,tertiary,12.2,False,True,1.303,"LINESTRING (-71.2386947 42.3781634, -71.2387105 42.3781644)",,
9251654,1,Macks Court,residential,3.7,False,False,55.625,"LINESTRING (-71.2386947 42.3781634, -71.2386264 42.3786611)",,
9250940,2,School Street,tertiary,12.2,False,False,41.707,"LINESTRING (-71.2386947 42.3781634, -71.2386341 42.3781593, -71.2381891 42.378129)",,
"[9251078, 9251471]",1,Mount Pleasant Street,residential,"['7.6', '6.1']",False,True,123.81200000000001,"LINESTRING (-71.2336763 42.3779469, -71.2336767 42.377894, -71.2336775 42.3773188, -71.2330606 42.3773064, -71.2330207 42.3773056)",,
130385671,1,School Street,tertiary,12.2,True,False,59.473,"LINESTRING (-71.2336763 42.3779469, -71.2339491 42.3779464, -71.2342111 42.3779408, -71.2342416 42.3779405, -71.2344002 42.3779387)",,
9251243,2,Amory Road,residential,12.2,False,False,19.832,"LINESTRING (-71.2299051 42.3743746, -71.229911 42.3745529)",,
9251243,2,Amory Road,residential,12.2,False,True,58.109,"LINESTRING (-71.2299051 42.3743746, -71.2299245 42.3743235, -71.2299489 42.3742751, -71.2301322 42.3739649, -71.2301467 42.3739414, -71.2301778 42.373893)",,
130385670,2,Church Street,tertiary,13.7,True,False,33.013,"LINESTRING (-71.2345516 42.3776645, -71.2344394 42.3778414, -71.2344274 42.3778677, -71.2344002 42.3779387)",,
426457015,1,,secondary,13.7,True,False,41.917,"LINESTRING (-71.2345516 42.3776645, -71.2345444 42.3776994, -71.2345419 42.3777248, -71.2345423 42.3777572, -71.2345456 42.3777859, -71.2345553 42.3778153, -71.2345679 42.3778389, -71.2345857 42.3778603, -71.2346074 42.3778806, -71.2346313 42.3778975, -71.2346592 42.3779124, -71.234691 42.3779239, -71.2347323 42.3779335, -71.2347855 42.3779427)",,
9251058,2,Elm Street,tertiary,15.2,False,False,23.045,"LINESTRING (-71.2331893 42.3736477, -71.2332526 42.3738496)",,
