osmid,name,highway,oneway,reversed,length,geometry,lanes,access,ref,maxspeed,bridge
10314361,Lincoln Street,residential,False,False,54.771,"LINESTRING (-120.7975378 38.7310781, -120.7975003 38.7315698)",,,,,
10331446,Norman Street,residential,False,False,194.69299999999998,"LINESTRING (-120.7975378 38.7310781, -120.7975861 38.7306596, -120.7976349 38.730628, -120.797706 38.7306385, -120.7977663 38.7306699, -120.7978851 38.7307464, -120.7978535 38.7310653, -120.7978508 38.7311459, -120.7978307 38.7315026, -120.7978173 38.7315403, -120.7977712 38.7315572, -120.7975003 38.7315698)",,,,,
10327513,Lincoln Alley,residential,False,True,106.697,"LINESTRING (-120.7975378 38.7310781, -120.796312 38.7309985)",,,,,
10314361,Lincoln Street,residential,False,False,74.273,"LINESTRING (-120.7975003 38.7315698, -120.7974654 38.7322372)",,,,,
10314361,Lincoln Street,residential,False,True,54.771,"LINESTRING (-120.7975003 38.7315698, -120.7975378 38.7310781)",,,,,
10331446,Norman Street,residential,False,True,194.69299999999998,"LINESTRING (-120.7975003 38.7315698, -120.7977712 38.7315572, -120.7978173 38.7315403, -120.7978307 38.7315026, -120.7978508 38.7311459, -120.7978535 38.7310653, -120.7978851 38.7307464, -120.7977663 38.7306699, -120.797706 38.7306385, -120.7976349 38.730628, -120.7975861 38.7306596, -120.7975378 38.7310781)",,,,,
10314361,Lincoln Street,residential,False,True,74.273,"LINESTRING (-120.7974654 38.7322372, -120.7975003 38.7315698)",,,,,
10329232,Coleman Street,residential,False,False,44.331,"LINESTRING (-120.7974654 38.7322372, -120.7970067 38.732413)",,,,,
10329232,Coleman Street,residential,False,True,125.406,"LINESTRING (-120.7974654 38.7322372, -120.798 38.7320486, -120.7984891 38.7318753, -120.7987887 38.7317836)",,,,,
10314387,Quartz Alley,residential,False,False,112.342,"LINESTRING (-120.8018874 38.7267683, -120.8023919 38.7276988)",,,,,
96187674,Pacific Street,tertiary,False,False,103.97699999999999,"LINESTRING (-120.8018874 38.7267683, -120.8018034 38.7267864, -120.8016951 38.7268037, -120.8015923 38.7268166, -120.8014707 38.7268269, -120.8012408 38.7268425, -120.8010827 38.7268528, -120.8009689 38.7268614, -120.8008893 38.7268718, -120.8007898 38.7268942, -120.8007091 38.7269184)",,,,,
96187674,Pacific Street,tertiary,False,True,56.691,"LINESTRING (-120.8018874 38.7267683, -120.8019571 38.7267442, -120.8020294 38.7267114, -120.8020946 38.7266775, -120.8021864 38.7266219, -120.8022528 38.7265861, -120.8023156 38.7265579, -120.8023784 38.7265352, -120.8024507 38.7265153)",,,,,
