osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,ref,tunnel
87174931,True,4,East Brorein Street,secondary,35 mph,False,14.193999999999999,"LINESTRING (-82.4537357 27.9447779, -82.4538302 27.9447382, -82.4538662 27.9447231)",,,
190333969,False,4,South Morgan Street,tertiary,,True,82.09400000000001,"LINESTRING (-82.4537357 27.9447779, -82.4536941 27.9446864, -82.453616 27.9445055, -82.4535122 27.944259, -82.4534761 27.9441749, -82.4534388 27.9440878)",,,
1232309496,False,4,South Morgan Street,tertiary,,True,36.579,"LINESTRING (-82.4537357 27.9447779, -82.4538587 27.9450306, -82.4538828 27.9450801)",,,
"[190333910, 1105714430]",True,"['3', '2']",Lee Roy Selmon Expressway,motorway,,False,132.42000000000002,"LINESTRING (-82.455828 27.9435932, -82.4561146 27.943504, -82.4561967 27.943482, -82.45642 27.943422, -82.4565906 27.9433819, -82.4567679 27.9433467, -82.4569552 27.943315, -82.4571292 27.9432915)",yes,FL 618 Toll,
"[25895657, 28129679]",True,1,,motorway_link,,False,251.60999999999999,"LINESTRING (-82.4576002 27.944764, -82.4574763 27.9446861, -82.4574213 27.9446326, -82.4573841 27.9445921, -82.4573317 27.9445472, -82.4572752 27.9445028, -82.4572127 27.9444579, -82.4570851 27.9443798, -82.456683 27.9441605, -82.4566284 27.9441232, -82.4565819 27.9440835, -82.4565407 27.9440373, -82.4565103 27.9439875, -82.4564865 27.9439453, -82.4564747 27.9439032, -82.45647 27.9438499, -82.4564733 27.9437942, -82.456484 27.9437361, -82.4565147 27.943662, -82.4565629 27.9435878, -82.4566258 27.9435231, -82.4567048 27.9434619, -82.4567941 27.9434173, -82.4568928 27.9433785, -82.4571292 27.9432915)",yes,,
47222464,True,3,South Tampa Street,secondary,,False,145.274,"LINESTRING (-82.4576002 27.944764, -82.4573208 27.9441485, -82.4572889 27.9440733, -82.4570961 27.9436186, -82.457075 27.9435434)",,,
10975352,False,,West Tyler Street,secondary,,False,22.64,"LINESTRING (-82.4615441 27.9516017, -82.4617587 27.9515274)",,,
121039537,False,3,East Tyler Street,secondary,,True,84.26400000000001,"LINESTRING (-82.4615441 27.9516017, -82.4614824 27.9516212, -82.4614659 27.9516267, -82.4609861 27.951786, -82.4608433 27.9518335, -82.4607407 27.9518674)",,,
"[25895656, 10966726]",True,2,,motorway_link,,False,107.919,"LINESTRING (-82.4553621 27.9435426, -82.4547142 27.943685, -82.4546089 27.9437075, -82.4545398 27.94372, -82.4544653 27.9437312, -82.4544322 27.9437348, -82.454399 27.9437359, -82.4543454 27.9437318, -82.4542904 27.9437218)",yes,,
106952976,True,2,South Plant Avenue,tertiary,30 mph,False,96.202,"LINESTRING (-82.462768 27.9433383, -82.462767 27.9434677, -82.462762 27.9438611, -82.4627566 27.9441731, -82.4627565 27.9442034)",,,
