osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed
9284530,Garvin Street,residential,False,True,53.944,"LINESTRING (-70.56608 41.4528414, -70.566708 41.4529589)",1,7.6,
9284530,Garvin Street,residential,False,False,217.345,"LINESTRING (-70.56608 41.4528414, -70.5651413 41.4526739, -70.564473 41.4525597, -70.5638494 41.4524599, -70.563536 41.452412)",1,7.6,
9285628,Greenleaf Avenue,residential,False,True,76.80799999999999,"LINESTRING (-70.5638097 41.4563981, -70.5638952 41.4564659, -70.5640285 41.4565372, -70.5643158 41.4566479, -70.5645941 41.4567509)",1,7.6,
"[629045939, 1117641878]",Huntington Avenue,residential,False,True,88.707,"LINESTRING (-70.5638097 41.4563981, -70.564036 41.456054, -70.564089 41.456006, -70.564129 41.456, -70.564542 41.456086)",,,
9284484,Bird Street,residential,False,False,50.84,"LINESTRING (-70.568339 41.453643, -70.5677405 41.4535545)",1,7.6,
9284484,Bird Street,residential,False,True,53.404,"LINESTRING (-70.568339 41.453643, -70.5689685 41.4537328)",1,7.6,
9284547,Pacific Avenue,residential,False,False,95.267,"LINESTRING (-70.568339 41.453643, -70.568135 41.454486)",2,9.1,
9284547,Pacific Avenue,residential,False,True,126.981,"LINESTRING (-70.568339 41.453643, -70.5686177 41.4525203)",2,9.1,
9285069,Frazier Circle,residential,False,True,43.085,"LINESTRING (-70.5654786 41.4542832, -70.56599 41.45434)",,,
629045932,Foster Avenue,residential,False,True,68.844,"LINESTRING (-70.5669685 41.4532736, -70.5677843 41.4533709)",,,
9284651,Second Avenue,residential,False,False,108.035,"LINESTRING (-70.5669685 41.4532736, -70.566851 41.453646, -70.566828 41.453723, -70.566729 41.454067, -70.566671 41.454219)",,,
"[9284530, 9284651]","['Garvin Street', 'Second Avenue']",residential,False,"[False, True]",48.512,"LINESTRING (-70.5669685 41.4532736, -70.566984 41.4532115, -70.5669916 41.4531633, -70.5669877 41.4531246, -70.5669718 41.4530868, -70.5669523 41.4530584, -70.5669277 41.4530348, -70.5669028 41.4530167, -70.5668644 41.4529986, -70.5668141 41.4529805, -70.566708 41.4529589)",1,7.6,
519615321,Dukes County Avenue,residential,False,False,42.88,"LINESTRING (-70.563663 41.451309, -70.563613 41.4516928)",2,7.6,
519615321,Dukes County Avenue,residential,False,True,57.905,"LINESTRING (-70.563663 41.451309, -70.563692 41.451142, -70.563733 41.450791)",2,7.6,
9284462,Richmond Street,residential,False,False,39.27,"LINESTRING (-70.570231 41.450516, -70.5697741 41.4504297)",2,7.6,
9285594,Norris Avenue,residential,False,False,114.79899999999999,"LINESTRING (-70.570231 41.450516, -70.57014 41.45096, -70.570045 41.451381, -70.57001 41.451535)",2,9.1,
9285594,Norris Avenue,residential,False,True,64.163,"LINESTRING (-70.570231 41.450516, -70.570276 41.450314, -70.570359 41.449947)",2,9.1,
9284547,Pacific Avenue,residential,False,False,126.981,"LINESTRING (-70.5686177 41.4525203, -70.568339 41.453643)",2,9.1,
9285542,Vineyard Avenue,residential,False,False,51.746,"LINESTRING (-70.5686177 41.4525203, -70.5680114 41.45242)",2,9.1,
9285542,Vineyard Avenue,residential,False,True,56.516,"LINESTRING (-70.5686177 41.4525203, -70.5692799 41.4526298)",2,9.1,
9284462,Richmond Street,residential,False,False,33.583,"LINESTRING (-70.5697741 41.4504297, -70.5693834 41.4503558)",2,7.6,
9284462,Richmond Street,residential,False,True,39.27,"LINESTRING (-70.5697741 41.4504297, -70.570231 41.450516)",2,7.6,
9284594,Shaw Street,residential,False,False,112.554,"LINESTRING (-70.5697741 41.4504297, -70.569709 41.450628, -70.569583 41.451018, -70.569465 41.451415)",1,9.1,
