osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,maxspeed,bridge
438662452,Webster Avenue West,residential,False,False,88.148,,"LINESTRING (-74.268146 40.6661846, -74.2691754 40.6660477)",,,
1038324074,Locust Street,residential,False,True,37.438,CR 619,"LINESTRING (-74.268146 40.6661846, -74.268062 40.665854)",,,
268206274,Locust Street,residential,False,False,139.195,CR 619,"LINESTRING (-74.268146 40.6661846, -74.2681566 40.6662309, -74.2681706 40.6662923, -74.2682867 40.6668053, -74.2683206 40.6669482, -74.268428 40.667418)",,,
11781975,Elm Street,residential,False,False,137.893,,"LINESTRING (-74.2691754 40.6660477, -74.269459 40.667269)",,,
438662452,Webster Avenue West,residential,False,False,90.906,,"LINESTRING (-74.2691754 40.6660477, -74.270237 40.6659065)",,,
438662452,Webster Avenue West,residential,False,True,88.148,,"LINESTRING (-74.2691754 40.6660477, -74.268146 40.6661846)",,,
438662452,Webster Avenue West,residential,False,True,90.906,,"LINESTRING (-74.270237 40.6659065, -74.2691754 40.6660477)",,,
11780076,East 1st Avenue,tertiary,False,False,265.00300000000004,CR 610,"LINESTRING (-74.2635943 40.6601075, -74.2630498 40.6601812, -74.2629363 40.6601965, -74.2628592 40.6602069, -74.2626952 40.6602291, -74.2624812 40.6602581, -74.2622917 40.6602837, -74.2620584 40.6603153, -74.2619885 40.6603247, -74.2618126 40.6603485, -74.2615408 40.6603853, -74.261355 40.6604104, -74.2605014 40.6605258)",,,
11775583,Chestnut Street,tertiary,False,False,10.929,CR 627,"LINESTRING (-74.2639529 40.6616251, -74.2639768 40.6617217)",,,
"[11776840, 1011002633]",Westfield Avenue East,primary,True,False,264.244,NJ 28,"LINESTRING (-74.2639529 40.6616251, -74.2635074 40.6616853, -74.2633839 40.661702, -74.2632166 40.6617248, -74.262826 40.6617779, -74.2626842 40.6617972, -74.2622054 40.6618622, -74.2620166 40.6618879, -74.2617554 40.6619234, -74.2614112 40.6619702, -74.2610228 40.662023, -74.2608692 40.6620439)",2,35 mph,
11775583,Chestnut Street,tertiary,False,True,10.929,CR 627,"LINESTRING (-74.2639768 40.6617217, -74.2639529 40.6616251)",,,
51538780,Westfield Avenue West,primary,True,False,143.676,NJ 28,"LINESTRING (-74.2639768 40.6617217, -74.2656536 40.6614945)",2,35 mph,
1015951872,Chestnut Street,tertiary,False,False,62.411,CR 627,"LINESTRING (-74.2639768 40.6617217, -74.2641064 40.6622743)",,,
1015951872,Chestnut Street,tertiary,False,True,62.411,CR 627,"LINESTRING (-74.2641064 40.6622743, -74.2639768 40.6617217)",,,
"[11785417, 439914209]",Williams Street,residential,True,False,292.356,,"LINESTRING (-74.2641064 40.6622743, -74.2634867 40.6623696, -74.2632904 40.6623998, -74.2629452 40.6624529, -74.2628259 40.6624712, -74.2627394 40.6624845, -74.261973 40.6626023, -74.2620752 40.6630511, -74.2622441 40.6635577)",,,
1015951872,Chestnut Street,tertiary,False,False,57.590999999999994,CR 627,"LINESTRING (-74.2641064 40.6622743, -74.2642044 40.6626913, -74.2642262 40.6627842)",,,
11776362,Warren Avenue,residential,True,False,144.23,,"LINESTRING (-74.2642262 40.6627842, -74.265912 40.662567)",,,
1015951872,Chestnut Street,tertiary,False,False,45.529,CR 627,"LINESTRING (-74.2642262 40.6627842, -74.2643209 40.6631873)",,,
1015951872,Chestnut Street,tertiary,False,True,57.590999999999994,CR 627,"LINESTRING (-74.2642262 40.6627842, -74.2642044 40.6626913, -74.2641064 40.6622743)",,,
1015951872,Chestnut Street,tertiary,False,True,45.529,CR 627,"LINESTRING (-74.2643209 40.6631873, -74.2642262 40.6627842)",,,
